case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.05,0.1,0.09139930849810668,32.36883785575628
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.05,0.1,0.09139930849810668,29.399762861430645
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.05,0.1,0.09139930849810668,29.53651105053723
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.05,0.2,0.1909017021113788,29.666779097169638
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.05,0.2,0.1909017021113788,29.774564085528255
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.05,0.2,0.1909017021113788,29.7229690477252
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.05,0.3,0.294036637578428,29.84273503534496
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.05,0.3,0.294036637578428,29.89201294258237
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.05,0.3,0.294036637578428,29.685093089938164
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.05,0.4,0.3917734423013628,29.903534101322293
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.05,0.4,0.3917734423013628,29.700678074732423
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.05,0.4,0.3917734423013628,29.852835927158594
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.05,0.5,0.49641130069877026,29.664803994819522
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.05,0.5,0.49641130069877026,29.824035009369254
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.05,0.5,0.49641130069877026,29.978765873238444
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.05,0.6,0.6019006562457705,29.781941091641784
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.05,0.6,0.6019006562457705,29.655059101060033
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.05,0.6,0.6019006562457705,29.59084394387901
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.05,0.7,0.7019086964328263,30.202109133824706
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.05,0.7,0.7019086964328263,29.732802882790565
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.05,0.7,0.7019086964328263,29.68558599241078
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.05,0.8,0.7997933531071623,29.758892953395844
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.05,0.8,0.7997933531071623,29.564322903752327
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.05,0.8,0.7997933531071623,29.61703995242715
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.05,0.9,0.9044888017348849,30.387860955670476
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.05,0.9,0.9044888017348849,29.815054964274168
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.05,0.9,0.9044888017348849,29.653384815901518
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.05,1.0,0.9999553043012688,29.545710887759924
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.05,1.0,0.9999553043012688,29.438580153509974
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.05,1.0,0.9999553043012688,29.55248998478055
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.1,0.1,0.09686375561202709,29.964494984596968
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.1,0.1,0.09686375561202709,30.527640134096146
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.1,0.1,0.09686375561202709,29.726184904575348
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.1,0.2,0.19637655875390453,29.80177802965045
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.1,0.2,0.19637655875390453,29.812877997756004
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.1,0.2,0.19637655875390453,29.981780098751187
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.1,0.3,0.29884696205351213,30.05421906709671
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.1,0.3,0.29884696205351213,29.63128383271396
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.1,0.3,0.29884696205351213,29.79998686350882
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.1,0.4,0.39567045947212653,29.607994947582483
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.1,0.4,0.39567045947212653,29.793515102937818
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.1,0.4,0.39567045947212653,29.54107499681413
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.1,0.5,0.4989878422546219,29.713397147133946
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.1,0.5,0.4989878422546219,29.595417203381658
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.1,0.5,0.4989878422546219,29.68454617075622
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.1,0.6,0.6027047322094945,30.327072832733393
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.1,0.6,0.6027047322094945,29.709955910220742
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.1,0.6,0.6027047322094945,29.50631408020854
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.1,0.7,0.7016759535732274,29.614992905408144
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.1,0.7,0.7016759535732274,29.408361995592713
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.1,0.7,0.7016759535732274,29.5919559430331
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.1,0.8,0.7977997279757708,29.226477025076747
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.1,0.8,0.7977997279757708,29.411815106868744
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.1,0.8,0.7977997279757708,29.399822000414133
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.1,0.9,0.8998292035694858,29.88152508623898
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.1,0.9,0.8998292035694858,29.048369033262134
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.1,0.9,0.8998292035694858,29.607891105115414
100k-20seg-50L,LowDisAccQ-R,42,2025,AUC-ROC,0.1,1.0,0.9934930597817625,28.97567697800696
100k-20seg-50L,LowDisAccQ-R,42,2026,AUC-ROC,0.1,1.0,0.9934930597817625,29.580391943454742
100k-20seg-50L,LowDisAccQ-R,42,2027,AUC-ROC,0.1,1.0,0.9934930597817625,29.003538889810443
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.05,0.1,0.09977367614615662,30.492807971313596
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.05,0.1,0.09977367614615662,29.893869068473577
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.05,0.1,0.09977367614615662,30.040065059438348
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.05,0.2,0.20030380109459336,30.124207958579063
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.05,0.2,0.20030380109459336,30.994191067293286
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.05,0.2,0.20030380109459336,29.98567814938724
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.05,0.3,0.30359256577792326,30.259132850915194
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.05,0.3,0.30359256577792326,30.02288588322699
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.05,0.3,0.30359256577792326,30.23545118048787
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.05,0.4,0.40037115566479237,29.976194025948644
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.05,0.4,0.40037115566479237,30.19920503720641
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.05,0.4,0.40037115566479237,30.163816874846816
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.05,0.5,0.4998960787830671,30.17810801975429
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.05,0.5,0.4998960787830671,30.097757931798697
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.05,0.5,0.4998960787830671,30.400031013414264
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.05,0.6,0.5983466067139134,30.128476908430457
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.05,0.6,0.5983466067139134,30.179934110492468
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.05,0.6,0.5983466067139134,29.94096581824124
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.05,0.7,0.6983499126084546,30.115782981738448
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.05,0.7,0.6983499126084546,29.954541940242052
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.05,0.7,0.6983499126084546,30.177480075508356
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.05,0.8,0.7990638195341946,29.871824197471142
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.05,0.8,0.7990638195341946,30.0294179469347
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.05,0.8,0.7990638195341946,29.987779213115573
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.05,0.9,0.9026343683645378,29.94490903802216
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.05,0.9,0.9026343683645378,29.82516004703939
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.05,0.9,0.9026343683645378,29.92529794573784
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.05,1.0,0.9999777469265605,29.332325793802738
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.05,1.0,0.9999777469265605,30.39609012193978
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.05,1.0,0.9999777469265605,29.2774869594723
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.1,0.1,0.10416993418413031,30.163502087816596
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.1,0.1,0.10416993418413031,29.890480916947126
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.1,0.1,0.10416993418413031,30.144694028422236
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.1,0.2,0.20359420302322168,29.96633411385119
100k-200seg-50L,LowDisAccQ-R,43,2026,AUC-ROC,0.1,0.2,0.20359420302322168,30.135628068819642
100k-200seg-50L,LowDisAccQ-R,43,2027,AUC-ROC,0.1,0.2,0.20359420302322168,30.10368486866355
100k-200seg-50L,LowDisAccQ-R,43,2025,AUC-ROC,0.1,0.3,0.30556043961976154,29.871504986658692
