case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,LowDisAccQ,42,2025,AUC-ROC,0.1,0.09988121342214466,34.89627409726381
100k-20seg-50L,LowDisAccQ,42,2026,AUC-ROC,0.1,0.09584830552399327,31.018530018627644
100k-20seg-50L,LowDisAccQ,42,2027,AUC-ROC,0.1,0.09374432106678224,30.654402915388346
100k-20seg-50L,LowDisAccQ,42,2025,AUC-ROC,0.2,0.19551627820668765,30.848552007228136
100k-20seg-50L,LowDisAccQ,42,2026,AUC-ROC,0.2,0.19305843848665427,31.15141298621893
100k-20seg-50L,LowDisAccQ,42,2027,AUC-ROC,0.2,0.18295228637394195,30.98561312071979
100k-20seg-50L,LowDisAccQ,42,2025,AUC-ROC,0.3,0.295223094806906,29.92257196456194
100k-20seg-50L,LowDisAccQ,42,2026,AUC-ROC,0.3,0.28955560462704805,31.01978707127273
100k-20seg-50L,LowDisAccQ,42,2027,AUC-ROC,0.3,0.28548973894745966,30.942921992391348
100k-20seg-50L,LowDisAccQ,42,2025,AUC-ROC,0.4,0.40172297051667644,31.28304984420538
100k-20seg-50L,LowDisAccQ,42,2026,AUC-ROC,0.4,0.38568812807233543,29.96539114974439
100k-20seg-50L,LowDisAccQ,42,2027,AUC-ROC,0.4,0.40316830321671954,31.504031037911773
100k-20seg-50L,LowDisAccQ,42,2025,AUC-ROC,0.5,0.5033742160602903,30.87463998235762
100k-20seg-50L,LowDisAccQ,42,2026,AUC-ROC,0.5,0.4863587822793728,31.173362163826823
100k-20seg-50L,LowDisAccQ,42,2027,AUC-ROC,0.5,0.5019969861838072,30.250792857259512
100k-20seg-50L,LowDisAccQ,42,2025,AUC-ROC,0.6,0.6028258217094646,30.97371687181294
100k-20seg-50L,LowDisAccQ,42,2026,AUC-ROC,0.6,0.5922310172368853,31.102802138775587
100k-20seg-50L,LowDisAccQ,42,2027,AUC-ROC,0.6,0.5998196208483229,31.317939050495625
100k-20seg-50L,LowDisAccQ,42,2025,AUC-ROC,0.7,0.7088823935008172,31.434328062459826
100k-20seg-50L,LowDisAccQ,42,2026,AUC-ROC,0.7,0.6943569899623859,31.101417960599065
100k-20seg-50L,LowDisAccQ,42,2027,AUC-ROC,0.7,0.6983927378639412,31.029125908389688
100k-20seg-50L,LowDisAccQ,42,2025,AUC-ROC,0.8,0.8052844424304341,31.06917184777558
100k-20seg-50L,LowDisAccQ,42,2026,AUC-ROC,0.8,0.8034906710869639,30.058049131184816
100k-20seg-50L,LowDisAccQ,42,2027,AUC-ROC,0.8,0.8103154397506505,30.951716005802155
100k-20seg-50L,LowDisAccQ,42,2025,AUC-ROC,0.9,0.8995000551911144,31.810835003852844
100k-20seg-50L,LowDisAccQ,42,2026,AUC-ROC,0.9,0.9001728039006623,31.231327913701534
100k-20seg-50L,LowDisAccQ,42,2027,AUC-ROC,0.9,0.9060416365799032,30.06771393120289
100k-20seg-50L,LowDisAccQ,42,2025,AUC-ROC,1.0,1.0,30.900944024324417
100k-20seg-50L,LowDisAccQ,42,2026,AUC-ROC,1.0,1.0,30.909047927707434
100k-20seg-50L,LowDisAccQ,42,2027,AUC-ROC,1.0,1.0,31.04211180470884
100k-200seg-50L,LowDisAccQ,43,2025,AUC-ROC,0.1,0.09512556443769962,30.126953031867743
100k-200seg-50L,LowDisAccQ,43,2026,AUC-ROC,0.1,0.10063710241842953,32.96296717599034
100k-200seg-50L,LowDisAccQ,43,2027,AUC-ROC,0.1,0.10062230413784294,31.31681587547064
100k-200seg-50L,LowDisAccQ,43,2025,AUC-ROC,0.2,0.19585069727972979,31.578712165355682
100k-200seg-50L,LowDisAccQ,43,2026,AUC-ROC,0.2,0.1997253649542802,30.22475098259747
100k-200seg-50L,LowDisAccQ,43,2027,AUC-ROC,0.2,0.19890113332210502,31.220947857946157
100k-200seg-50L,LowDisAccQ,43,2025,AUC-ROC,0.3,0.29603365891180444,31.510286033153534
100k-200seg-50L,LowDisAccQ,43,2026,AUC-ROC,0.3,0.30148110899507274,30.588195892050862
100k-200seg-50L,LowDisAccQ,43,2027,AUC-ROC,0.3,0.2984745417452638,31.387479975819588
100k-200seg-50L,LowDisAccQ,43,2025,AUC-ROC,0.4,0.39816264744345636,30.936083989217877
100k-200seg-50L,LowDisAccQ,43,2026,AUC-ROC,0.4,0.4013809620817236,31.723798951134086
100k-200seg-50L,LowDisAccQ,43,2027,AUC-ROC,0.4,0.3966111852652757,30.93489515595138
100k-200seg-50L,LowDisAccQ,43,2025,AUC-ROC,0.5,0.5009439449254003,31.56134602613747
100k-200seg-50L,LowDisAccQ,43,2026,AUC-ROC,0.5,0.5019587136955547,30.447449069470167
100k-200seg-50L,LowDisAccQ,43,2027,AUC-ROC,0.5,0.495160272553958,31.576529145240784
100k-200seg-50L,LowDisAccQ,43,2025,AUC-ROC,0.6,0.6012437703071469,30.93519783578813
100k-200seg-50L,LowDisAccQ,43,2026,AUC-ROC,0.6,0.6021029954737072,32.6118019875139
100k-200seg-50L,LowDisAccQ,43,2027,AUC-ROC,0.6,0.5949117135149979,30.78179690055549
100k-200seg-50L,LowDisAccQ,43,2025,AUC-ROC,0.7,0.6993242113673557,34.87313189543784
100k-200seg-50L,LowDisAccQ,43,2026,AUC-ROC,0.7,0.7015195365573919,31.03078599087894
100k-200seg-50L,LowDisAccQ,43,2027,AUC-ROC,0.7,0.6935832417348519,31.689443858340383
100k-200seg-50L,LowDisAccQ,43,2025,AUC-ROC,0.8,0.7984667576747672,30.41401389054954
100k-200seg-50L,LowDisAccQ,43,2026,AUC-ROC,0.8,0.8032843175138005,31.342994887381792
100k-200seg-50L,LowDisAccQ,43,2027,AUC-ROC,0.8,0.7976388635741517,31.282539945095778
100k-200seg-50L,LowDisAccQ,43,2025,AUC-ROC,0.9,0.8978482257204105,31.607659999281168
100k-200seg-50L,LowDisAccQ,43,2026,AUC-ROC,0.9,0.9023893751970755,30.466550029814243
100k-200seg-50L,LowDisAccQ,43,2027,AUC-ROC,0.9,0.8992557690546304,31.49021090939641
100k-200seg-50L,LowDisAccQ,43,2025,AUC-ROC,1.0,1.0,30.56151303462684
100k-200seg-50L,LowDisAccQ,43,2026,AUC-ROC,1.0,1.0,31.10631089657545
100k-200seg-50L,LowDisAccQ,43,2027,AUC-ROC,1.0,1.0,29.842863092198968
100k-20seg-50H,LowDisAccQ,44,2025,AUC-ROC,0.1,0.09850594921803402,31.30892594344914
100k-20seg-50H,LowDisAccQ,44,2026,AUC-ROC,0.1,0.09511627466536324,31.01332881487906
100k-20seg-50H,LowDisAccQ,44,2027,AUC-ROC,0.1,0.10118785328255385,31.475416151806712
100k-20seg-50H,LowDisAccQ,44,2025,AUC-ROC,0.2,0.20351280465075516,30.267240945249796
100k-20seg-50H,LowDisAccQ,44,2026,AUC-ROC,0.2,0.20012696802952962,32.13686612434685
100k-20seg-50H,LowDisAccQ,44,2027,AUC-ROC,0.2,0.20203101596332618,30.697298934683204
100k-20seg-50H,LowDisAccQ,44,2025,AUC-ROC,0.3,0.2955872389975184,31.973901903256774
100k-20seg-50H,LowDisAccQ,44,2026,AUC-ROC,0.3,0.29677132763576014,30.181377893313766
100k-20seg-50H,LowDisAccQ,44,2027,AUC-ROC,0.3,0.299269811363548,31.184600898995996
100k-20seg-50H,LowDisAccQ,44,2025,AUC-ROC,0.4,0.39909339573385566,31.00227704271674
100k-20seg-50H,LowDisAccQ,44,2026,AUC-ROC,0.4,0.3955576387101712,31.411054078489542
100k-20seg-50H,LowDisAccQ,44,2027,AUC-ROC,0.4,0.40491625132148273,31.497236108407378
100k-20seg-50H,LowDisAccQ,44,2025,AUC-ROC,0.5,0.5032037277384548,31.415725126862526
100k-20seg-50H,LowDisAccQ,44,2026,AUC-ROC,0.5,0.49665721956948516,30.686395009979606
100k-20seg-50H,LowDisAccQ,44,2027,AUC-ROC,0.5,0.500893659444104,31.404396053403616
100k-20seg-50H,LowDisAccQ,44,2025,AUC-ROC,0.6,0.6035971870701131,30.157477129250765
100k-20seg-50H,LowDisAccQ,44,2026,AUC-ROC,0.6,0.5960785250802455,31.530229141935706
100k-20seg-50H,LowDisAccQ,44,2027,AUC-ROC,0.6,0.598682185487111,30.856980942189693
100k-20seg-50H,LowDisAccQ,44,2025,AUC-ROC,0.7,0.7016711664966405,31.176896998658776
100k-20seg-50H,LowDisAccQ,44,2026,AUC-ROC,0.7,0.7012520508825623,30.285995919257402
100k-20seg-50H,LowDisAccQ,44,2027,AUC-ROC,0.7,0.6998843201175803,31.273851171135902
100k-20seg-50H,LowDisAccQ,44,2025,AUC-ROC,0.8,0.8029206581153697,30.69035313092172
100k-20seg-50H,LowDisAccQ,44,2026,AUC-ROC,0.8,0.804913209905458,31.342011177912354
100k-20seg-50H,LowDisAccQ,44,2027,AUC-ROC,0.8,0.8016644395092632,30.170385958626866
100k-20seg-50H,LowDisAccQ,44,2025,AUC-ROC,0.9,0.9060010358943406,31.507153064012527
100k-20seg-50H,LowDisAccQ,44,2026,AUC-ROC,0.9,0.9058127072482981,30.758203007280827
100k-20seg-50H,LowDisAccQ,44,2027,AUC-ROC,0.9,0.9004937296300343,31.205779872834682
100k-20seg-50H,LowDisAccQ,44,2025,AUC-ROC,1.0,1.0,30.188580974936485
100k-20seg-50H,LowDisAccQ,44,2026,AUC-ROC,1.0,1.0,32.9234020318836
100k-20seg-50H,LowDisAccQ,44,2027,AUC-ROC,1.0,1.0,30.810199910774827
100k-200seg-50H,LowDisAccQ,45,2025,AUC-ROC,0.1,0.09794230477915951,31.4859701320529
100k-200seg-50H,LowDisAccQ,45,2026,AUC-ROC,0.1,0.10001510026623701,30.656555201858282
100k-200seg-50H,LowDisAccQ,45,2027,AUC-ROC,0.1,0.10146264098682542,31.63944510743022
100k-200seg-50H,LowDisAccQ,45,2025,AUC-ROC,0.2,0.1964758595195571,31.034412793815136
100k-200seg-50H,LowDisAccQ,45,2026,AUC-ROC,0.2,0.20015102659606576,31.783924903720617
100k-200seg-50H,LowDisAccQ,45,2027,AUC-ROC,0.2,0.20005635342677036,30.56431608274579
100k-200seg-50H,LowDisAccQ,45,2025,AUC-ROC,0.3,0.2953723213615139,31.52081207372248
100k-200seg-50H,LowDisAccQ,45,2026,AUC-ROC,0.3,0.29959271461336623,31.164921121671796
100k-200seg-50H,LowDisAccQ,45,2027,AUC-ROC,0.3,0.29994867975834133,31.759205041453242
100k-200seg-50H,LowDisAccQ,45,2025,AUC-ROC,0.4,0.39563349082510785,30.632240930572152
100k-200seg-50H,LowDisAccQ,45,2026,AUC-ROC,0.4,0.40175840080182906,31.733073061332107
100k-200seg-50H,LowDisAccQ,45,2027,AUC-ROC,0.4,0.39958685630817176,31.252247979864478
100k-200seg-50H,LowDisAccQ,45,2025,AUC-ROC,0.5,0.49949081062436756,31.688245944678783
100k-200seg-50H,LowDisAccQ,45,2026,AUC-ROC,0.5,0.5031061091014153,30.681299045681953
100k-200seg-50H,LowDisAccQ,45,2027,AUC-ROC,0.5,0.49651725272775526,31.801431206986308
100k-200seg-50H,LowDisAccQ,45,2025,AUC-ROC,0.6,0.6000789771673064,31.214851886034012
100k-200seg-50H,LowDisAccQ,45,2026,AUC-ROC,0.6,0.6021384408749872,31.599007081240416
100k-200seg-50H,LowDisAccQ,45,2027,AUC-ROC,0.6,0.5955424423073882,31.126055866479874
100k-200seg-50H,LowDisAccQ,45,2025,AUC-ROC,0.7,0.6990863396981656,31.052025966346264
100k-200seg-50H,LowDisAccQ,45,2026,AUC-ROC,0.7,0.7025349127335512,31.02303296327591
100k-200seg-50H,LowDisAccQ,45,2027,AUC-ROC,0.7,0.6951511128758538,31.155053060501814
100k-200seg-50H,LowDisAccQ,45,2025,AUC-ROC,0.8,0.7995544171457659,31.313873128965497
100k-200seg-50H,LowDisAccQ,45,2026,AUC-ROC,0.8,0.8023349912559783,31.072325073182583
100k-200seg-50H,LowDisAccQ,45,2027,AUC-ROC,0.8,0.7965290818976042,30.999833019450307
100k-200seg-50H,LowDisAccQ,45,2025,AUC-ROC,0.9,0.8988930575699553,31.059642089530826
100k-200seg-50H,LowDisAccQ,45,2026,AUC-ROC,0.9,0.9025448087242974,31.138781923800707
100k-200seg-50H,LowDisAccQ,45,2027,AUC-ROC,0.9,0.8973604408550725,30.91072803363204
100k-200seg-50H,LowDisAccQ,45,2025,AUC-ROC,1.0,1.0,30.472478829324245
100k-200seg-50H,LowDisAccQ,45,2026,AUC-ROC,1.0,1.0,30.536405043676496
100k-200seg-50H,LowDisAccQ,45,2027,AUC-ROC,1.0,1.0,30.53050208836794
100k-50seg-20L,LowDisAccQ,46,2025,AUC-ROC,0.1,0.10513143253793003,31.085177091881633
100k-50seg-20L,LowDisAccQ,46,2026,AUC-ROC,0.1,0.09374246347997595,30.69795691408217
100k-50seg-20L,LowDisAccQ,46,2027,AUC-ROC,0.1,0.09884948696763891,30.64380306750536
100k-50seg-20L,LowDisAccQ,46,2025,AUC-ROC,0.2,0.20638112552674182,30.61852906830609
100k-50seg-20L,LowDisAccQ,46,2026,AUC-ROC,0.2,0.18666579332904648,30.68318497389555
100k-50seg-20L,LowDisAccQ,46,2027,AUC-ROC,0.2,0.20717142015061601,30.798086896538734
100k-50seg-20L,LowDisAccQ,46,2025,AUC-ROC,0.3,0.3071995793071025,30.63096501864493
100k-50seg-20L,LowDisAccQ,46,2026,AUC-ROC,0.3,0.28756980934885606,30.887854984030128
100k-50seg-20L,LowDisAccQ,46,2027,AUC-ROC,0.3,0.3123292759829819,30.676574911922216
100k-50seg-20L,LowDisAccQ,46,2025,AUC-ROC,0.4,0.40621825818356294,30.74555820785463
100k-50seg-20L,LowDisAccQ,46,2026,AUC-ROC,0.4,0.3842375627410888,30.775482999160886
100k-50seg-20L,LowDisAccQ,46,2027,AUC-ROC,0.4,0.4063134717699999,30.81773710437119
100k-50seg-20L,LowDisAccQ,46,2025,AUC-ROC,0.5,0.5144196818182116,30.953372828662395
100k-50seg-20L,LowDisAccQ,46,2026,AUC-ROC,0.5,0.48607408983627926,30.834061093628407
100k-50seg-20L,LowDisAccQ,46,2027,AUC-ROC,0.5,0.5071950446694592,30.722645111382008
100k-50seg-20L,LowDisAccQ,46,2025,AUC-ROC,0.6,0.6211966517625251,30.743496026843786
100k-50seg-20L,LowDisAccQ,46,2026,AUC-ROC,0.6,0.5933420361105091,30.60158994048834
100k-50seg-20L,LowDisAccQ,46,2027,AUC-ROC,0.6,0.6050133789640736,30.812096782028675
100k-50seg-20L,LowDisAccQ,46,2025,AUC-ROC,0.7,0.7095934538605968,30.65739688463509
100k-50seg-20L,LowDisAccQ,46,2026,AUC-ROC,0.7,0.6905996144913813,31.327154953032732
100k-50seg-20L,LowDisAccQ,46,2027,AUC-ROC,0.7,0.7115128180413607,30.739320907741785
100k-50seg-20L,LowDisAccQ,46,2025,AUC-ROC,0.8,0.8084346928952317,30.874056974425912
100k-50seg-20L,LowDisAccQ,46,2026,AUC-ROC,0.8,0.7911017249556833,30.681743985041976
100k-50seg-20L,LowDisAccQ,46,2027,AUC-ROC,0.8,0.8069352830940806,30.78668308444321
100k-50seg-20L,LowDisAccQ,46,2025,AUC-ROC,0.9,0.8995966116570947,30.83424107171595
100k-50seg-20L,LowDisAccQ,46,2026,AUC-ROC,0.9,0.8940964712064142,30.622645979747176
100k-50seg-20L,LowDisAccQ,46,2027,AUC-ROC,0.9,0.9045138521619092,30.895812902599573
100k-50seg-20L,LowDisAccQ,46,2025,AUC-ROC,1.0,1.0,30.74648999609053
100k-50seg-20L,LowDisAccQ,46,2026,AUC-ROC,1.0,1.0,30.69988894276321
100k-50seg-20L,LowDisAccQ,46,2027,AUC-ROC,1.0,1.0,30.435822904109955
100k-500seg-20L,LowDisAccQ,47,2025,AUC-ROC,0.1,0.09856002986690285,31.18924214504659
100k-500seg-20L,LowDisAccQ,47,2026,AUC-ROC,0.1,0.09986974244717291,31.163638923317194
100k-500seg-20L,LowDisAccQ,47,2027,AUC-ROC,0.1,0.10209173988164909,31.07511205598712
100k-500seg-20L,LowDisAccQ,47,2025,AUC-ROC,0.2,0.19532387614554467,31.092716148123145
100k-500seg-20L,LowDisAccQ,47,2026,AUC-ROC,0.2,0.19814478946467493,31.324351904913783
100k-500seg-20L,LowDisAccQ,47,2027,AUC-ROC,0.2,0.20179031886101145,31.326604075729847
100k-500seg-20L,LowDisAccQ,47,2025,AUC-ROC,0.3,0.2945508923085646,31.297769863158464
100k-500seg-20L,LowDisAccQ,47,2026,AUC-ROC,0.3,0.29739681902396353,31.245667953044176
100k-500seg-20L,LowDisAccQ,47,2027,AUC-ROC,0.3,0.3000716043154989,31.302587129175663
100k-500seg-20L,LowDisAccQ,47,2025,AUC-ROC,0.4,0.3954986628602113,31.088537070900202
100k-500seg-20L,LowDisAccQ,47,2026,AUC-ROC,0.4,0.3960825266192103,31.589563935995102
100k-500seg-20L,LowDisAccQ,47,2027,AUC-ROC,0.4,0.40178896147256077,31.245151069015265
100k-500seg-20L,LowDisAccQ,47,2025,AUC-ROC,0.5,0.49655650532246753,31.170364934951067
100k-500seg-20L,LowDisAccQ,47,2026,AUC-ROC,0.5,0.4959278534500876,31.153814867138863
100k-500seg-20L,LowDisAccQ,47,2027,AUC-ROC,0.5,0.4988721506303767,31.337632797658443
100k-500seg-20L,LowDisAccQ,47,2025,AUC-ROC,0.6,0.5965579979570163,31.162997940555215
100k-500seg-20L,LowDisAccQ,47,2026,AUC-ROC,0.6,0.5942080263336056,31.255656853318214
100k-500seg-20L,LowDisAccQ,47,2027,AUC-ROC,0.6,0.5954236242274487,31.44373488612473
100k-500seg-20L,LowDisAccQ,47,2025,AUC-ROC,0.7,0.6946503136213728,31.1399910133332
100k-500seg-20L,LowDisAccQ,47,2026,AUC-ROC,0.7,0.6944689853006152,31.3771718647331
100k-500seg-20L,LowDisAccQ,47,2027,AUC-ROC,0.7,0.6982483538724762,31.308915000408888
100k-500seg-20L,LowDisAccQ,47,2025,AUC-ROC,0.8,0.7957651020821014,31.248606042936444
100k-500seg-20L,LowDisAccQ,47,2026,AUC-ROC,0.8,0.7971872063742216,31.224055914208293
100k-500seg-20L,LowDisAccQ,47,2027,AUC-ROC,0.8,0.8003838380217833,31.281362986192107
100k-500seg-20L,LowDisAccQ,47,2025,AUC-ROC,0.9,0.8971501519257802,31.135746045038104
100k-500seg-20L,LowDisAccQ,47,2026,AUC-ROC,0.9,0.8995412290267292,31.606591073796153
100k-500seg-20L,LowDisAccQ,47,2027,AUC-ROC,0.9,0.8995789163957884,31.10648598521948
100k-500seg-20L,LowDisAccQ,47,2025,AUC-ROC,1.0,1.0,30.641495948657393
100k-500seg-20L,LowDisAccQ,47,2026,AUC-ROC,1.0,1.0,30.959525844082236
100k-500seg-20L,LowDisAccQ,47,2027,AUC-ROC,1.0,1.0,30.953814974054694
100k-50seg-20H,LowDisAccQ,48,2025,AUC-ROC,0.1,0.10273311376901381,30.748828081414104
100k-50seg-20H,LowDisAccQ,48,2026,AUC-ROC,0.1,0.09798762041011275,30.776057159528136
100k-50seg-20H,LowDisAccQ,48,2027,AUC-ROC,0.1,0.0975300080537682,30.569694004952908
100k-50seg-20H,LowDisAccQ,48,2025,AUC-ROC,0.2,0.19987840266877055,30.50598199479282
100k-50seg-20H,LowDisAccQ,48,2026,AUC-ROC,0.2,0.19290934971174334,30.64002306200564
100k-50seg-20H,LowDisAccQ,48,2027,AUC-ROC,0.2,0.19635335984439148,30.49152996391058
100k-50seg-20H,LowDisAccQ,48,2025,AUC-ROC,0.3,0.2959426285322969,30.728323850780725
100k-50seg-20H,LowDisAccQ,48,2026,AUC-ROC,0.3,0.29466496010382487,30.583293875679374
100k-50seg-20H,LowDisAccQ,48,2027,AUC-ROC,0.3,0.30074817703608775,30.56971007026732
100k-50seg-20H,LowDisAccQ,48,2025,AUC-ROC,0.4,0.39974869603166385,30.62905091792345
100k-50seg-20H,LowDisAccQ,48,2026,AUC-ROC,0.4,0.3923509666534074,30.629093991592526
100k-50seg-20H,LowDisAccQ,48,2027,AUC-ROC,0.4,0.3964222104671942,30.604809056967497
100k-50seg-20H,LowDisAccQ,48,2025,AUC-ROC,0.5,0.5053425535805786,30.848312890157104
100k-50seg-20H,LowDisAccQ,48,2026,AUC-ROC,0.5,0.4885849748205046,30.651592882350087
100k-50seg-20H,LowDisAccQ,48,2027,AUC-ROC,0.5,0.49823711135497606,30.68903787061572
100k-50seg-20H,LowDisAccQ,48,2025,AUC-ROC,0.6,0.6049985177879134,30.492305988445878
100k-50seg-20H,LowDisAccQ,48,2026,AUC-ROC,0.6,0.5916600779394846,30.624320032075047
100k-50seg-20H,LowDisAccQ,48,2027,AUC-ROC,0.6,0.5956304685496568,30.588201945647597
100k-50seg-20H,LowDisAccQ,48,2025,AUC-ROC,0.7,0.7086692222584067,30.688056023791432
100k-50seg-20H,LowDisAccQ,48,2026,AUC-ROC,0.7,0.6962982346745388,30.916675925254822
100k-50seg-20H,LowDisAccQ,48,2027,AUC-ROC,0.7,0.692734999635383,30.728219775483012
100k-50seg-20H,LowDisAccQ,48,2025,AUC-ROC,0.8,0.8066596296135913,30.63251101411879
100k-50seg-20H,LowDisAccQ,48,2026,AUC-ROC,0.8,0.7969318129317149,30.6842268910259
100k-50seg-20H,LowDisAccQ,48,2027,AUC-ROC,0.8,0.7924759505756521,30.660314951092005
100k-50seg-20H,LowDisAccQ,48,2025,AUC-ROC,0.9,0.9009831315974134,30.65446694381535
100k-50seg-20H,LowDisAccQ,48,2026,AUC-ROC,0.9,0.8926782968735185,30.47401993535459
100k-50seg-20H,LowDisAccQ,48,2027,AUC-ROC,0.9,0.8960974659686842,30.78482486307621
