case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
100k-20seg-50L,PreQ-NegP-R,42,2025,AUC-ROC,0.05,0.1,0.01,0.5487147444353654,31.44718799740076
100k-20seg-50L,PreQ-NegP-R,42,2026,AUC-ROC,0.05,0.1,0.01,0.5487147444353654,28.10635883361101
100k-20seg-50L,PreQ-NegP-R,42,2027,AUC-ROC,0.05,0.1,0.01,0.5487147444353654,28.669788036495447
100k-20seg-50L,PreQ-NegP-R,42,2025,AUC-ROC,0.05,0.1,0.05,0.5320133829663627,28.050312073901296
100k-20seg-50L,PreQ-NegP-R,42,2026,AUC-ROC,0.05,0.1,0.05,0.5320133829663627,28.831837000325322
100k-20seg-50L,PreQ-NegP-R,42,2027,AUC-ROC,0.05,0.1,0.05,0.5320133829663627,28.571608010679483
100k-20seg-50L,PreQ-NegP-R,42,2025,AUC-ROC,0.05,0.1,0.1,0.5035826585681832,28.49270007573068
100k-20seg-50L,PreQ-NegP-R,42,2026,AUC-ROC,0.05,0.1,0.1,0.5035826585681832,28.832854004576802
100k-20seg-50L,PreQ-NegP-R,42,2027,AUC-ROC,0.05,0.1,0.1,0.5035826585681832,28.615443967282772
100k-20seg-50L,PreQ-NegP-R,42,2025,AUC-ROC,0.05,0.1,0.3,0.4065815578721865,28.95011706277728
100k-20seg-50L,PreQ-NegP-R,42,2026,AUC-ROC,0.05,0.1,0.3,0.4065815578721865,28.597360011190176
100k-20seg-50L,PreQ-NegP-R,42,2027,AUC-ROC,0.05,0.1,0.3,0.4065815578721865,28.931290144100785
100k-20seg-50L,PreQ-NegP-R,42,2025,AUC-ROC,0.05,0.2,0.01,0.6028839387146047,28.375116176903248
100k-20seg-50L,PreQ-NegP-R,42,2026,AUC-ROC,0.05,0.2,0.01,0.6028839387146047,28.710256097838283
100k-20seg-50L,PreQ-NegP-R,42,2027,AUC-ROC,0.05,0.2,0.01,0.6028839387146047,28.344363905489445
100k-20seg-50L,PreQ-NegP-R,42,2025,AUC-ROC,0.05,0.2,0.05,0.5683450941729669,28.583233011886477
100k-20seg-50L,PreQ-NegP-R,42,2026,AUC-ROC,0.05,0.2,0.05,0.5683450941729669,28.516835998743773
