case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.05,0.1,0.657187250010544,879.6449010260403
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.05,0.1,0.657187250010544,889.6086218301207
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.05,0.1,0.657187250010544,970.9392830263823
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.05,0.2,0.6590009301213816,880.1796820480376
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.05,0.2,0.6590009301213816,878.575136885047
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.05,0.2,0.6590009301213816,878.5592860076576
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.05,0.3,0.6612024601861037,887.2832001652569
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.05,0.3,0.6612024601861037,883.6222901009023
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.05,0.3,0.6612024601861037,880.3814069833606
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.05,0.4,0.6632771576110408,880.6510060094297
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.05,0.4,0.6632771576110408,884.1059959959239
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.05,0.4,0.6632771576110408,881.0293390415609
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.05,0.5,0.667913181489658,883.3491769619286
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.05,0.5,0.667913181489658,880.2639869973063
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.05,0.5,0.667913181489658,879.9635849427432
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.05,0.6,0.671389228879921,887.3460059985518
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.05,0.6,0.671389228879921,893.7070730607957
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.05,0.6,0.671389228879921,887.7622939180583
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.05,0.7,0.6769691517775022,878.2376360613853
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.05,0.7,0.6769691517775022,875.4227659665048
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.05,0.7,0.6769691517775022,882.4513270519674
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.05,0.8,0.6831661363993539,874.1728318855166
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.05,0.8,0.6831661363993539,865.2048700023443
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.05,0.8,0.6831661363993539,864.841785049066
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.05,0.9,0.6877621172010833,1005.3736390545964
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.05,0.9,0.6877621172010833,870.1976260636002
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.05,0.9,0.6877621172010833,865.257890895009
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.05,1.0,0.6898789297401268,864.4681291189045
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.05,1.0,0.6898789297401268,858.6679899599403
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.05,1.0,0.6898789297401268,858.5721692070365
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.1,0.1,0.6597218056654431,1166.7704700957984
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.1,0.1,0.6597218056654431,1172.086294973269
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.1,0.1,0.6597218056654431,1173.2663752045482
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.1,0.2,0.6616504113499849,1157.7284908853471
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.1,0.2,0.6616504113499849,1178.419979987666
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.1,0.2,0.6616504113499849,1198.6660400871187
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.1,0.3,0.660942977032314,896.2333779782057
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.1,0.3,0.660942977032314,909.0747931040823
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.1,0.3,0.660942977032314,911.1103911418468
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.1,0.4,0.6638772625687467,912.6667650416493
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.1,0.4,0.6638772625687467,994.5158772170544
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.1,0.4,0.6638772625687467,880.4932010825723
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.1,0.5,0.6685461099001341,910.437336191535
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.1,0.5,0.6685461099001341,924.5881519746035
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.1,0.5,0.6685461099001341,888.8934389688075
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.1,0.6,0.6725157002425153,922.520057996735
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.1,0.6,0.6725157002425153,885.0558290723711
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.1,0.6,0.6725157002425153,889.9199629668146
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.1,0.7,0.6765124907954204,878.3773637842387
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.1,0.7,0.6765124907954204,877.3204509634525
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.1,0.7,0.6765124907954204,875.9949118830264
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.1,0.8,0.6828230961244898,863.9790038578212
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.1,0.8,0.6828230961244898,863.8428589329123
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.1,0.8,0.6828230961244898,867.3175929579884
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.1,0.9,0.6874145340915268,862.9060569219291
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.1,0.9,0.6874145340915268,866.3006809074432
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.1,0.9,0.6874145340915268,866.9201980810612
100k-20seg-50L,AccQ-R,42,2025,Aff-F1,0.1,1.0,0.6909740109090662,858.8727859314531
100k-20seg-50L,AccQ-R,42,2026,Aff-F1,0.1,1.0,0.6909740109090662,861.544338054955
100k-20seg-50L,AccQ-R,42,2027,Aff-F1,0.1,1.0,0.6909740109090662,857.4313339777291
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.05,0.1,0.6093513283411365,5182.376499986276
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.05,0.1,0.6093513283411365,5184.272095095366
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.05,0.1,0.6093513283411365,5272.9318048805
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.05,0.2,0.6282449540928575,5218.230325030163
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.05,0.2,0.6282449540928575,5220.730350818485
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.05,0.2,0.6282449540928575,5225.3720560111105
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.05,0.3,0.6440639154941119,5259.161074878648
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.05,0.3,0.6440639154941119,5265.416949056089
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.05,0.3,0.6440639154941119,5369.105556979775
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.05,0.4,0.6591849089000587,5392.844422953203
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.05,0.4,0.6591849089000587,5319.514211965725
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.05,0.4,0.6591849089000587,5295.308084925637
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.05,0.5,0.6786789892408607,5361.800048965961
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.05,0.5,0.6786789892408607,5356.556738959625
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.05,0.5,0.6786789892408607,5321.60858809948
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.05,0.6,0.7042936420354776,5318.91502905637
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.05,0.6,0.7042936420354776,5330.69684705697
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.05,0.6,0.7042936420354776,5313.741178950295
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.05,0.7,0.7372830533905916,5138.247807044536
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.05,0.7,0.7372830533905916,5264.3444610293955
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.05,0.7,0.7372830533905916,5145.335883134976
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.05,0.8,0.7800364897293023,4627.0185969769955
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.05,0.8,0.7800364897293023,4619.530116207898
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.05,0.8,0.7800364897293023,4601.121586980298
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.05,0.9,0.7969772581891957,4290.76997609809
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.05,0.9,0.7969772581891957,4278.742362977937
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.05,0.9,0.7969772581891957,4276.525045046583
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.05,1.0,0.8094677384334052,3974.0763031877577
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.05,1.0,0.8094677384334052,3943.1643900461495
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.05,1.0,0.8094677384334052,3975.595040945336
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.1,0.1,0.6081244018124046,6289.085918106139
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.1,0.1,0.6081244018124046,6292.750980006531
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.1,0.1,0.6081244018124046,6268.616891931742
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.1,0.2,0.6255465494676016,5231.353193055838
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.1,0.2,0.6255465494676016,5222.939379047602
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.1,0.2,0.6255465494676016,5210.758998990059
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.1,0.3,0.6437930812724681,5265.968895051628
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.1,0.3,0.6437930812724681,5267.993864137679
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.1,0.3,0.6437930812724681,5287.908650003374
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.1,0.4,0.6601706912246506,5299.385291989893
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.1,0.4,0.6601706912246506,5293.422899907455
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.1,0.4,0.6601706912246506,5310.805252054706
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.1,0.5,0.6798657941815747,5359.203576110303
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.1,0.5,0.6798657941815747,5361.86634702608
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.1,0.5,0.6798657941815747,5355.272870045155
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.1,0.6,0.7043573453100294,5310.703431954607
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.1,0.6,0.7043573453100294,5324.283889029175
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.1,0.6,0.7043573453100294,5323.347192024812
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.1,0.7,0.7362747324771929,5143.545580096543
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.1,0.7,0.7362747324771929,5156.8037120159715
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.1,0.7,0.7362747324771929,5149.908119812608
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.1,0.8,0.7800673638229453,4608.433810994029
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.1,0.8,0.7800673638229453,4624.49763296172
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.1,0.8,0.7800673638229453,4626.976340077817
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.1,0.9,0.7971893022977989,4276.100549846888
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.1,0.9,0.7971893022977989,4293.650610838085
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.1,0.9,0.7971893022977989,4288.245965959504
100k-200seg-50L,AccQ-R,43,2025,Aff-F1,0.1,1.0,0.809223056562971,3968.6372119467705
100k-200seg-50L,AccQ-R,43,2026,Aff-F1,0.1,1.0,0.809223056562971,3955.108891008422
100k-200seg-50L,AccQ-R,43,2027,Aff-F1,0.1,1.0,0.809223056562971,3939.0403639990836
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.05,0.1,0.6576366478614475,856.8406361155212
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.05,0.1,0.6576366478614475,850.9514590259641
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.05,0.1,0.6576366478614475,858.2031840924174
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.05,0.2,0.6596695784347317,851.2348369695246
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.05,0.2,0.6596695784347317,852.2719137836248
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.05,0.2,0.6596695784347317,856.7984199617058
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.05,0.3,0.6635995100428759,853.8182340562344
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.05,0.3,0.6635995100428759,855.2048809360713
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.05,0.3,0.6635995100428759,855.1385230384767
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.05,0.4,0.6672329890369657,857.8859551344067
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.05,0.4,0.6672329890369657,857.5072227977216
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.05,0.4,0.6672329890369657,856.2067290768027
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.05,0.5,0.6706249549866838,854.3593811336905
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.05,0.5,0.6706249549866838,958.6238190531731
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.05,0.5,0.6706249549866838,854.4288598932326
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.05,0.6,0.6736970185366769,861.7053371854126
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.05,0.6,0.6736970185366769,857.1783399675041
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.05,0.6,0.6736970185366769,856.5515938680619
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.05,0.7,0.6781298754209449,854.0629199706018
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.05,0.7,0.6781298754209449,859.8851668648422
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.05,0.7,0.6781298754209449,851.5353039838374
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.05,0.8,0.6844710603945643,842.0095779001713
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.05,0.8,0.6844710603945643,840.0963400490582
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.05,0.8,0.6844710603945643,841.302519896999
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.05,0.9,0.6883497295594123,842.6310380455106
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.05,0.9,0.6883497295594123,836.2118899822235
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.05,0.9,0.6883497295594123,835.9515648335218
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.05,1.0,0.6897572345792812,830.5776100605726
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.05,1.0,0.6897572345792812,836.5926139522344
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.05,1.0,0.6897572345792812,835.4692931752652
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.1,0.1,0.6581519116710709,1134.0876161120832
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.1,0.1,0.6581519116710709,1133.068725001067
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.1,0.1,0.6581519116710709,1130.123662063852
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.1,0.2,0.6600649503709753,856.516120955348
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.1,0.2,0.6600649503709753,925.936414161697
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.1,0.2,0.6600649503709753,861.7189240176231
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.1,0.3,0.6634623739515686,855.2798079326749
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.1,0.3,0.6634623739515686,861.1520039848983
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.1,0.3,0.6634623739515686,857.5461709406227
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.1,0.4,0.6669095182632235,856.819482985884
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.1,0.4,0.6669095182632235,857.0579260122031
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.1,0.4,0.6669095182632235,856.7259470000863
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.1,0.5,0.6690317821953765,863.7527611572295
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.1,0.5,0.6690317821953765,863.9180820900947
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.1,0.5,0.6690317821953765,861.5053140092641
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.1,0.6,0.6739081629410308,860.0594708696008
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.1,0.6,0.6739081629410308,865.6509320717305
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.1,0.6,0.6739081629410308,865.9757210407406
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.1,0.7,0.6778331961204439,857.1065978612751
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.1,0.7,0.6778331961204439,856.9306379649788
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.1,0.7,0.6778331961204439,853.6270870827138
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.1,0.8,0.6844907100343125,917.6509249955416
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.1,0.8,0.6844907100343125,846.5102601330727
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.1,0.8,0.6844907100343125,843.398620840162
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.1,0.9,0.6884440122407437,840.3619010932744
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.1,0.9,0.6884440122407437,842.662364942953
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.1,0.9,0.6884440122407437,845.5852149054408
100k-20seg-50H,AccQ-R,44,2025,Aff-F1,0.1,1.0,0.6897378663387246,847.627887967974
100k-20seg-50H,AccQ-R,44,2026,Aff-F1,0.1,1.0,0.6897378663387246,835.7039201073349
100k-20seg-50H,AccQ-R,44,2027,Aff-F1,0.1,1.0,0.6897378663387246,836.4479579031467
100k-200seg-50H,AccQ-R,45,2025,Aff-F1,0.05,0.1,0.6092089973144352,5196.4888668153435
100k-200seg-50H,AccQ-R,45,2026,Aff-F1,0.05,0.1,0.6092089973144352,5216.641203965992
100k-200seg-50H,AccQ-R,45,2027,Aff-F1,0.05,0.1,0.6092089973144352,5165.365978144109
100k-200seg-50H,AccQ-R,45,2025,Aff-F1,0.05,0.2,0.6259060725194702,5247.061003930867
100k-200seg-50H,AccQ-R,45,2026,Aff-F1,0.05,0.2,0.6259060725194702,5244.286744855344
100k-200seg-50H,AccQ-R,45,2027,Aff-F1,0.05,0.2,0.6259060725194702,5239.414282143116
100k-200seg-50H,AccQ-R,45,2025,Aff-F1,0.05,0.3,0.641016655436758,5273.274078965187
100k-200seg-50H,AccQ-R,45,2026,Aff-F1,0.05,0.3,0.641016655436758,5264.125460991636
100k-200seg-50H,AccQ-R,45,2027,Aff-F1,0.05,0.3,0.641016655436758,5266.312781022862
100k-200seg-50H,AccQ-R,45,2025,Aff-F1,0.05,0.4,0.6592682024355764,5317.413558950648
100k-200seg-50H,AccQ-R,45,2026,Aff-F1,0.05,0.4,0.6592682024355764,5301.59399099648
100k-200seg-50H,AccQ-R,45,2027,Aff-F1,0.05,0.4,0.6592682024355764,5325.448618037626
100k-200seg-50H,AccQ-R,45,2025,Aff-F1,0.05,0.5,0.6789372458567303,5319.892989937216
100k-200seg-50H,AccQ-R,45,2026,Aff-F1,0.05,0.5,0.6789372458567303,5342.824063962325
100k-200seg-50H,AccQ-R,45,2027,Aff-F1,0.05,0.5,0.6789372458567303,5334.970912197605
