case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,AccQ,42,2025,Aff-F1,0.1,0.6511982687899333,309.25322510302067
100k-20seg-50L,AccQ,42,2026,Aff-F1,0.1,0.6594890207500672,306.5074640326202
100k-20seg-50L,AccQ,42,2027,Aff-F1,0.1,0.6537478914176263,307.7091509476304
100k-20seg-50L,AccQ,42,2025,Aff-F1,0.2,0.6470795649333017,305.56969507597387
100k-20seg-50L,AccQ,42,2026,Aff-F1,0.2,0.6587348069543003,305.531915044412
100k-20seg-50L,AccQ,42,2027,Aff-F1,0.2,0.6536099372469969,306.75352504476905
100k-20seg-50L,AccQ,42,2025,Aff-F1,0.3,0.6512703385571776,306.65134196169674
100k-20seg-50L,AccQ,42,2026,Aff-F1,0.3,0.6563452652914796,307.04842205159366
100k-20seg-50L,AccQ,42,2027,Aff-F1,0.3,0.6579302665359666,305.9776430018246
100k-20seg-50L,AccQ,42,2025,Aff-F1,0.4,0.6540939768523841,306.92431097850204
100k-20seg-50L,AccQ,42,2026,Aff-F1,0.4,0.658550471028543,307.8837189823389
100k-20seg-50L,AccQ,42,2027,Aff-F1,0.4,0.6550567338295628,306.1324330046773
100k-20seg-50L,AccQ,42,2025,Aff-F1,0.5,0.6551234288453611,307.0942529011518
100k-20seg-50L,AccQ,42,2026,Aff-F1,0.5,0.6671955712398271,309.3151750508696
100k-20seg-50L,AccQ,42,2027,Aff-F1,0.5,0.6629517457025267,305.8047399390489
100k-20seg-50L,AccQ,42,2025,Aff-F1,0.6,0.6623149325752398,308.33169003017247
100k-20seg-50L,AccQ,42,2026,Aff-F1,0.6,0.6681971243563299,308.22713603265584
100k-20seg-50L,AccQ,42,2027,Aff-F1,0.6,0.6685571990512529,310.6039580889046
100k-20seg-50L,AccQ,42,2025,Aff-F1,0.7,0.6678978884915447,309.3994490336627
100k-20seg-50L,AccQ,42,2026,Aff-F1,0.7,0.6803410416210661,309.4430537894368
100k-20seg-50L,AccQ,42,2027,Aff-F1,0.7,0.6749458235049511,308.8636591564864
100k-20seg-50L,AccQ,42,2025,Aff-F1,0.8,0.6745050367928169,307.84655804745853
100k-20seg-50L,AccQ,42,2026,Aff-F1,0.8,0.6931871759203594,306.07877508737147
100k-20seg-50L,AccQ,42,2027,Aff-F1,0.8,0.6887384666388048,309.3865008559078
100k-20seg-50L,AccQ,42,2025,Aff-F1,0.9,0.7067047186281172,304.8110930249095
100k-20seg-50L,AccQ,42,2026,Aff-F1,0.9,0.7175417802195038,303.7105610128492
100k-20seg-50L,AccQ,42,2027,Aff-F1,0.9,0.7107448423266779,304.9126018304378
100k-20seg-50L,AccQ,42,2025,Aff-F1,1.0,0.7526850266872017,278.099118033424
100k-20seg-50L,AccQ,42,2026,Aff-F1,1.0,0.7625971113804677,277.45019691064954
100k-20seg-50L,AccQ,42,2027,Aff-F1,1.0,0.7607994528261152,275.96456883475184
100k-200seg-50L,AccQ,43,2025,Aff-F1,0.1,0.5899858512142678,1423.264436190948
100k-200seg-50L,AccQ,43,2026,Aff-F1,0.1,0.575971611556554,1411.4009318873286
100k-200seg-50L,AccQ,43,2027,Aff-F1,0.1,0.5926303629082822,1406.3454400748014
100k-200seg-50L,AccQ,43,2025,Aff-F1,0.2,0.6088251717324261,1417.159196920693
100k-200seg-50L,AccQ,43,2026,Aff-F1,0.2,0.5904304070517244,1404.46504810825
100k-200seg-50L,AccQ,43,2027,Aff-F1,0.2,0.6101809633222987,1413.1164150312543
100k-200seg-50L,AccQ,43,2025,Aff-F1,0.3,0.6203990724854958,1408.3894009236246
100k-200seg-50L,AccQ,43,2026,Aff-F1,0.3,0.6074665540625576,1422.2336811944842
100k-200seg-50L,AccQ,43,2027,Aff-F1,0.3,0.6250413148836689,1414.3025770317763
100k-200seg-50L,AccQ,43,2025,Aff-F1,0.4,0.638083490526869,1423.8610388711095
100k-200seg-50L,AccQ,43,2026,Aff-F1,0.4,0.638793049809238,1414.1235179267824
100k-200seg-50L,AccQ,43,2027,Aff-F1,0.4,0.6461809356019607,1422.4366859998554
100k-200seg-50L,AccQ,43,2025,Aff-F1,0.5,0.6577674497694842,1417.6074261777103
100k-200seg-50L,AccQ,43,2026,Aff-F1,0.5,0.6691053040388781,1422.6369578391314
100k-200seg-50L,AccQ,43,2027,Aff-F1,0.5,0.6723003762482606,1419.708187924698
100k-200seg-50L,AccQ,43,2025,Aff-F1,0.6,0.6916196624897255,1416.9430460315198
100k-200seg-50L,AccQ,43,2026,Aff-F1,0.6,0.7026776947963714,1422.782626003027
100k-200seg-50L,AccQ,43,2027,Aff-F1,0.6,0.7036407474759508,1420.6043819431216
100k-200seg-50L,AccQ,43,2025,Aff-F1,0.7,0.7295829105439463,1413.4719748981297
100k-200seg-50L,AccQ,43,2026,Aff-F1,0.7,0.7371365748279491,1413.2460330147296
100k-200seg-50L,AccQ,43,2027,Aff-F1,0.7,0.7397518765935795,1420.8537770900875
100k-200seg-50L,AccQ,43,2025,Aff-F1,0.8,0.7724942038581147,1388.6899980716407
100k-200seg-50L,AccQ,43,2026,Aff-F1,0.8,0.7831976819687789,1380.3544230759144
100k-200seg-50L,AccQ,43,2027,Aff-F1,0.8,0.7800150257419441,1398.1197881512344
100k-200seg-50L,AccQ,43,2025,Aff-F1,0.9,0.8452540702293019,1316.1577871069312
100k-200seg-50L,AccQ,43,2026,Aff-F1,0.9,0.8472070616751773,1313.6377250775695
100k-200seg-50L,AccQ,43,2027,Aff-F1,0.9,0.8438496160524076,1329.2316989973187
100k-200seg-50L,AccQ,43,2025,Aff-F1,1.0,0.9992660426710421,693.6494128312916
