case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.05,0.1,0.661948391245278,306.60136602818966
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.05,0.1,0.661948391245278,306.20711692608893
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.05,0.1,0.661948391245278,306.57625105232
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.05,0.2,0.6602110926149568,305.58033916167915
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.05,0.2,0.6602110926149568,308.49304096773267
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.05,0.2,0.6602110926149568,305.7508261408657
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.05,0.3,0.6586896749545496,305.30807306058705
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.05,0.3,0.6586896749545496,307.2755199391395
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.05,0.3,0.6586896749545496,306.0382320545614
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.05,0.4,0.6616293312555273,306.4207569696009
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.05,0.4,0.6616293312555273,308.9124718680978
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.05,0.4,0.6616293312555273,306.22174008749425
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.05,0.5,0.668065446240306,309.09972288645804
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.05,0.5,0.668065446240306,308.5904270410538
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.05,0.5,0.668065446240306,307.53066716715693
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.05,0.6,0.6706608062202062,307.3506010696292
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.05,0.6,0.6706608062202062,307.6836259569973
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.05,0.6,0.6706608062202062,307.60558508336544
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.05,0.7,0.6760243782209842,306.6955350805074
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.05,0.7,0.6760243782209842,306.38138903304935
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.05,0.7,0.6760243782209842,308.3702018484473
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.05,0.8,0.683838894410374,309.7292229067534
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.05,0.8,0.683838894410374,306.5098838414997
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.05,0.8,0.683838894410374,307.79172806069255
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.05,0.9,0.7098953871616802,304.2890401557088
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.05,0.9,0.7098953871616802,303.9593028370291
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.05,0.9,0.7098953871616802,303.5068199969828
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.05,1.0,0.7649669666200745,274.57920811139047
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.05,1.0,0.7649669666200745,274.469570023939
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.05,1.0,0.7649669666200745,274.19376699253917
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.1,0.1,0.6670043501073704,306.57211621291935
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.1,0.1,0.6670043501073704,308.2769538741559
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.1,0.1,0.6670043501073704,307.803716044873
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.1,0.2,0.6663875180649088,307.8067561145872
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.1,0.2,0.6663875180649088,308.7486159056425
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.1,0.2,0.6663875180649088,307.3881599120796
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.1,0.3,0.6647505873450401,309.38098998740315
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.1,0.3,0.6647505873450401,308.6875949520618
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.1,0.3,0.6647505873450401,308.46662097610533
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.1,0.4,0.6654863687669333,307.5013109482825
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.1,0.4,0.6654863687669333,306.9912511855364
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.1,0.4,0.6654863687669333,307.3727840092033
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.1,0.5,0.6697966732725745,308.8789810426533
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.1,0.5,0.6697966732725745,309.4982369802892
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.1,0.5,0.6697966732725745,310.60129101388156
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.1,0.6,0.6735583239418815,307.49435699544847
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.1,0.6,0.6735583239418815,307.3932440020144
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.1,0.6,0.6735583239418815,309.2854379210621
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.1,0.7,0.6776136609718099,306.9077879190445
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.1,0.7,0.6776136609718099,309.2221999540925
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.1,0.7,0.6776136609718099,308.7702461052686
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.1,0.8,0.6858840459789732,308.9968590065837
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.1,0.8,0.6858840459789732,309.4434291124344
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.1,0.8,0.6858840459789732,308.61341394484043
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.1,0.9,0.7111585523207677,303.3609869889915
100k-20seg-50L,LowDisAccQ-R,42,2026,Aff-F1,0.1,0.9,0.7111585523207677,303.81793691776693
100k-20seg-50L,LowDisAccQ-R,42,2027,Aff-F1,0.1,0.9,0.7111585523207677,303.50136291235685
100k-20seg-50L,LowDisAccQ-R,42,2025,Aff-F1,0.1,1.0,0.763706971627242,279.9911650363356
