case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.1,0.01,0.67540793876884,308.0736801493913
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.1,0.01,0.67540793876884,309.4183960929513
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.1,0.01,0.67540793876884,305.72677007876337
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.1,0.05,0.6712256137349345,309.6156930550933
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.1,0.05,0.6712256137349345,309.6978538669646
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.1,0.05,0.6712256137349345,308.0569510348141
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.1,0.1,0.6693445868132415,310.40575890801847
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.1,0.1,0.6693445868132415,305.41853816248477
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.1,0.1,0.6693445868132415,306.4068809617311
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.1,0.3,0.661726287342706,308.37535997852683
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.1,0.3,0.661726287342706,306.3881800044328
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.1,0.3,0.661726287342706,309.35367895290256
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.2,0.01,0.686861838911422,306.30023893900216
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.2,0.01,0.686861838911422,307.3670619633049
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.2,0.01,0.686861838911422,307.0563208311796
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.2,0.05,0.6828513658947758,308.494697092101
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.2,0.05,0.6828513658947758,308.3370830863714
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.2,0.05,0.6828513658947758,306.8025771062821
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.2,0.1,0.6772445236072163,307.6932311523706
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.2,0.1,0.6772445236072163,307.93793499469757
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.2,0.1,0.6772445236072163,310.5055328924209
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.2,0.3,0.6670533244290654,307.5462661217898
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.2,0.3,0.6670533244290654,307.04629607498646
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.2,0.3,0.6670533244290654,306.961955036968
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.3,0.01,0.6971764239447705,306.5929329022765
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.3,0.01,0.6971764239447705,308.90585016459227
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.3,0.01,0.6971764239447705,306.7568838596344
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.3,0.05,0.6950795953871917,306.48574512451887
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.3,0.05,0.6950795953871917,306.0096048284322
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.3,0.05,0.6950795953871917,305.6091722100973
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.3,0.1,0.6862033178650263,307.56431398913264
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.3,0.1,0.6862033178650263,307.3972531128675
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.3,0.1,0.6862033178650263,307.1374958381057
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.3,0.3,0.661396480287703,306.98101595044136
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.3,0.3,0.661396480287703,305.86126004345715
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.3,0.3,0.661396480287703,306.67124898172915
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.4,0.01,0.7081242006236593,308.13683313317597
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.4,0.01,0.7081242006236593,306.0339561197907
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.4,0.01,0.7081242006236593,304.30233385413885
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.4,0.05,0.7010788944022385,303.7817080039531
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.4,0.05,0.7010788944022385,302.6415128260851
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.4,0.05,0.7010788944022385,305.86533015593886
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.4,0.1,0.6977546950879575,308.26330184936523
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.4,0.1,0.6977546950879575,309.7661058418453
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.4,0.1,0.6977546950879575,310.36417884752154
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.4,0.3,0.6751716827961957,310.5675829574466
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.4,0.3,0.6751716827961957,309.9912670440972
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.4,0.3,0.6751716827961957,310.9982961323112
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.5,0.01,0.7164820342141234,303.79529390484095
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.5,0.01,0.7164820342141234,304.15580701082945
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.5,0.01,0.7164820342141234,305.60073000378907
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.5,0.05,0.714377012175932,304.41041104495525
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.5,0.05,0.714377012175932,307.29689891450107
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.5,0.05,0.714377012175932,305.132508976385
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.5,0.1,0.6968388544425586,309.66306012123823
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.5,0.1,0.6968388544425586,308.0074230674654
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.5,0.1,0.6968388544425586,310.51290896721184
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.5,0.3,0.6825117918379909,310.2476289495826
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.5,0.3,0.6825117918379909,310.31274306587875
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.5,0.3,0.6825117918379909,309.3412700109184
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.6,0.01,0.7246887175886614,300.285539124161
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.6,0.01,0.7246887175886614,305.94405997544527
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.6,0.01,0.7246887175886614,297.72359784692526
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.6,0.05,0.728215614696351,301.03562003932893
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.6,0.05,0.728215614696351,302.8537449426949
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.6,0.05,0.728215614696351,300.84715597331524
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.6,0.1,0.7111364431253391,306.0374199412763
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.6,0.1,0.7111364431253391,305.65695208497345
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.6,0.1,0.7111364431253391,305.7836811058223
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.6,0.3,0.6802658646526653,307.5982059817761
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.6,0.3,0.6802658646526653,307.54865892231464
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.6,0.3,0.6802658646526653,308.4230739623308
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.7,0.01,0.7341313559928155,296.0696101654321
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.7,0.01,0.7341313559928155,295.64041807316244
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.7,0.01,0.7341313559928155,296.3278819806874
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.7,0.05,0.7386534168639017,294.587688986212
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.7,0.05,0.7386534168639017,296.5949310455471
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.7,0.05,0.7386534168639017,296.7606100719422
100k-20seg-50L,PreQ-NegP-R,42,2025,Aff-F1,0.05,0.7,0.1,0.7205536007439433,305.5156341288239
100k-20seg-50L,PreQ-NegP-R,42,2026,Aff-F1,0.05,0.7,0.1,0.7205536007439433,304.88331313245
100k-20seg-50L,PreQ-NegP-R,42,2027,Aff-F1,0.05,0.7,0.1,0.7205536007439433,308.38059610687196
