case_name,model_name,case_seed,score_seed,metric_name,q,p,val,latency
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.1,0.01,0.6780916334675021,314.8731058463454
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.1,0.01,0.6802640772243778,314.22298890538514
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.1,0.01,0.6711992926359351,314.60364209488034
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.1,0.05,0.67055796829524,317.9041051771492
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.1,0.05,0.6642002396474126,311.9827159680426
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.1,0.05,0.6670901121969519,312.6785869244486
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.1,0.1,0.6767782710822655,317.86679406650364
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.1,0.1,0.6731437792791064,312.4263051431626
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.1,0.1,0.6620404084733789,312.9467109683901
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.1,0.3,0.659691713448768,313.64162312820554
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.1,0.3,0.6582933363751019,316.9057900086045
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.1,0.3,0.6534863863978817,312.44968390092254
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.2,0.01,0.6910748901480063,315.7362970523536
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.2,0.01,0.6924924532059834,311.5641449112445
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.2,0.01,0.6839846195685555,312.4643701594323
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.2,0.05,0.6868765808848261,311.3602180965245
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.2,0.05,0.6839948030453281,314.3106319475919
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.2,0.05,0.6837957646921958,313.6865529231727
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.2,0.1,0.6920914812175878,313.0280249752104
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.2,0.1,0.6829189591207322,313.9185921754688
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.2,0.1,0.6753511570133424,312.7853381447494
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.2,0.3,0.6733012340149415,314.71375189721584
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.2,0.3,0.6627608550955594,312.4171900562942
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.2,0.3,0.6686934005005647,312.99939402379096
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.3,0.01,0.7049483040358159,310.66328613087535
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.3,0.01,0.7050917706548939,312.0896350592375
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.3,0.01,0.6986544578656715,314.5490549504757
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.3,0.05,0.7085272216053219,312.71935999393463
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.3,0.05,0.6973330624874616,310.75027608312666
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.3,0.05,0.7009561627709225,312.79580714181066
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.3,0.1,0.7042345191440258,319.1948609892279
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.3,0.1,0.6905510467481661,313.01639694720507
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.3,0.1,0.687001637109791,312.2987800743431
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.3,0.3,0.6793641205902057,312.79940297827125
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.3,0.3,0.6706994411182106,314.6049501374364
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.3,0.3,0.6685291208395894,314.5769080147147
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.4,0.01,0.7156090359016952,311.43051199615
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.4,0.01,0.7135889608332666,308.5570130497217
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.4,0.01,0.7075414862015973,311.1589930485934
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.4,0.05,0.7158288876725256,312.57184711284935
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.4,0.05,0.7057908041867604,309.8727250471711
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.4,0.05,0.7094578757484986,312.97619198448956
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.4,0.1,0.7040643272928214,314.62721596471965
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.4,0.1,0.6984848782222545,311.8094590026885
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.4,0.1,0.6973138044189413,313.97358886897564
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.4,0.3,0.6749037093890017,314.8562959395349
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.4,0.3,0.6724299280322069,312.83736997283995
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.4,0.3,0.6709297011374193,312.54922202788293
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.5,0.01,0.7243535636849918,308.2722269464284
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.5,0.01,0.7188925544721777,305.41368084959686
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.5,0.01,0.7181725999649365,307.5382770039141
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.5,0.05,0.7224774806408357,309.83585491776466
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.5,0.05,0.7179263611518494,308.26141382567585
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.5,0.05,0.7165541100082927,306.6927338950336
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.5,0.1,0.7087788421707572,310.80007809214294
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.5,0.1,0.7025591550699678,312.3061410151422
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.5,0.1,0.703697436486402,311.61969690583646
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.5,0.3,0.6794765315139214,316.861426923424
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.5,0.3,0.6798794819098457,313.0959100089967
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.5,0.3,0.6749002685696543,314.8155298549682
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.6,0.01,0.7329962252472143,307.8604429028928
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.6,0.01,0.7294088231689954,302.95139783993363
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.6,0.01,0.724323035502253,302.97023989260197
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.6,0.05,0.7317408826282774,305.338665144518
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.6,0.05,0.7316202518369189,302.9738091863692
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.6,0.05,0.7255839015533259,304.83899801038206
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.6,0.1,0.7175043932789199,311.0782338771969
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.6,0.1,0.7173864983707143,309.0148330666125
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.6,0.1,0.7120087609009197,310.7159191276878
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.6,0.3,0.6890664271077214,312.14951002039015
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.6,0.3,0.6772463853034361,314.5814500749111
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.6,0.3,0.6761168549651779,316.35607406497
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.7,0.01,0.7390962925268381,297.52895911224186
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.7,0.01,0.7366013684531448,299.36260799877346
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.7,0.01,0.7352968992328494,303.7128241267055
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.7,0.05,0.7412214102059658,299.4797080755234
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.7,0.05,0.7393661758382077,300.24619097821414
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.7,0.05,0.7403670769150856,299.6643600054085
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.7,0.1,0.7193873640380396,309.40045113675296
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.7,0.1,0.7147538376852688,307.268779957667
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.7,0.1,0.7227458140629619,310.10596500709653
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.7,0.3,0.68537735190947,312.4459129758179
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.7,0.3,0.6846851012479053,313.99971595965326
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.7,0.3,0.6922106469742902,313.9658358413726
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.8,0.01,0.7473127020195016,293.8444421160966
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.8,0.01,0.7462478353938424,295.01075111329556
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.8,0.01,0.7416063721826563,295.39472609758377
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.8,0.05,0.7492325858068221,293.6491100117564
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.8,0.05,0.7496856873503901,294.9505450669676
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.8,0.05,0.7464171495371018,295.6145768985152
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.8,0.1,0.7297579892336783,310.04551402293146
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.8,0.1,0.7267431386064303,305.20282592624426
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.8,0.1,0.723815295539365,306.9247188977897
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.8,0.3,0.6914905644085024,313.1749830208719
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.8,0.3,0.6944601384492364,313.09898500330746
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.8,0.3,0.6915994575180023,311.89323496073484
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.9,0.01,0.7563681397810319,292.05303988419473
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.9,0.01,0.7519904252284462,289.0817169100046
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.9,0.01,0.7495362519126069,289.0892759896815
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.9,0.05,0.7596769818030743,286.23799816705287
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.9,0.05,0.7546804163010583,291.1875010468066
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.9,0.05,0.7557343978489814,291.80860705673695
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.9,0.1,0.7319749755263396,305.895552970469
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.9,0.1,0.7331819851565149,304.7994941007346
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.9,0.1,0.7327990774692468,304.7590081114322
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,0.9,0.3,0.6980703838846266,313.9764261431992
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,0.9,0.3,0.6892799759465287,316.29116693511605
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,0.9,0.3,0.6895254213270839,313.7201420031488
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,1.0,0.01,0.7641298983891391,283.63819094374776
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,1.0,0.01,0.7602956904919914,282.1078388951719
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,1.0,0.01,0.7569966480632818,284.26177613437176
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,1.0,0.05,0.7657587912337811,280.22410813719034
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,1.0,0.05,0.761388617195847,280.63027700409293
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,1.0,0.05,0.7611284505926829,281.0652938205749
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,1.0,0.1,0.7305022699232633,300.1326550729573
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,1.0,0.1,0.7284570568225566,301.8909490201622
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,1.0,0.1,0.735423542406321,301.63382715545595
100k-20seg-50L,PreQ-NegP,42,2025,Aff-F1,1.0,0.3,0.6958019098970369,313.88637609779835
100k-20seg-50L,PreQ-NegP,42,2026,Aff-F1,1.0,0.3,0.6897248050499363,313.5220040567219
100k-20seg-50L,PreQ-NegP,42,2027,Aff-F1,1.0,0.3,0.6933552728978772,315.8213789574802
100k-200seg-50L,PreQ-NegP,43,2025,Aff-F1,0.1,0.01,0.752862640453544,1417.3852659296244
100k-200seg-50L,PreQ-NegP,43,2026,Aff-F1,0.1,0.01,0.7489051105731831,1414.4064451102167
100k-200seg-50L,PreQ-NegP,43,2027,Aff-F1,0.1,0.01,0.7489547765030636,1421.1746039800346
100k-200seg-50L,PreQ-NegP,43,2025,Aff-F1,0.1,0.05,0.7275562649671485,1429.2188230901957
