case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.7332621032246387,59.96240605600178
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.7498809522015568,57.2615060955286
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.7374303077020922,57.23662907257676
100k-20seg-50L,AccQ,42,2025,CCE,0.2,-0.5535783199924311,140.070925001055
100k-20seg-50L,AccQ,42,2026,CCE,0.2,-0.5702686047670125,59.27466391585767
100k-20seg-50L,AccQ,42,2027,CCE,0.2,-0.5702913648848158,55.77941099181771
100k-20seg-50L,AccQ,42,2025,CCE,0.3,-0.37443797805592033,56.531185982748866
100k-20seg-50L,AccQ,42,2026,CCE,0.3,-0.3920977818548809,55.59621099382639
100k-20seg-50L,AccQ,42,2027,CCE,0.3,-0.37966995909664564,57.133161928504705
100k-20seg-50L,AccQ,42,2025,CCE,0.4,-0.17807181219295815,56.67631886899471
100k-20seg-50L,AccQ,42,2026,CCE,0.4,-0.21821318808354923,56.972736958414316
100k-20seg-50L,AccQ,42,2027,CCE,0.4,-0.16731852971984454,56.43657990731299
100k-20seg-50L,AccQ,42,2025,CCE,0.5,0.010451678209120312,55.33838993869722
100k-20seg-50L,AccQ,42,2026,CCE,0.5,-0.033531568270055795,53.75703098252416
100k-20seg-50L,AccQ,42,2027,CCE,0.5,0.014715543693831585,54.95303985662758
100k-20seg-50L,AccQ,42,2025,CCE,0.6,0.1946362663720723,54.463853128254414
100k-20seg-50L,AccQ,42,2026,CCE,0.6,0.16313325139922288,55.462010903283954
100k-20seg-50L,AccQ,42,2027,CCE,0.6,0.19510374388918356,54.76435809396207
100k-20seg-50L,AccQ,42,2025,CCE,0.7,0.39040838578057224,53.889597998932004
100k-20seg-50L,AccQ,42,2026,CCE,0.7,0.3515232068240099,54.40760403871536
100k-20seg-50L,AccQ,42,2027,CCE,0.7,0.3726284232819541,55.67700997926295
100k-20seg-50L,AccQ,42,2025,CCE,0.8,0.566013911520623,103.9573869202286
100k-20seg-50L,AccQ,42,2026,CCE,0.8,0.5521357547923149,55.845714872702956
100k-20seg-50L,AccQ,42,2027,CCE,0.8,0.5698594754314458,55.35715795122087
100k-20seg-50L,AccQ,42,2025,CCE,0.9,0.7383320660404636,55.10026006959379
100k-20seg-50L,AccQ,42,2026,CCE,0.9,0.73058219577834,55.88301084935665
100k-20seg-50L,AccQ,42,2027,CCE,0.9,0.7432386233026881,54.96376589871943
100k-20seg-50L,AccQ,42,2025,CCE,1.0,0.9177358865286389,56.41052592545748
100k-20seg-50L,AccQ,42,2026,CCE,1.0,0.9186524417104598,56.82183406315744
100k-20seg-50L,AccQ,42,2027,CCE,1.0,0.9168727800207904,144.2502208519727
100k-200seg-50L,AccQ,43,2025,CCE,0.1,-0.7409898040941199,71.35777384974062
100k-200seg-50L,AccQ,43,2026,CCE,0.1,-0.7322602922985747,63.887735828757286
100k-200seg-50L,AccQ,43,2027,CCE,0.1,-0.7327405227611445,63.53328004479408
