case_name,model_name,case_seed,score_seed,metric_name,q,val,tau,gamma,latency
100k-20seg-50L,AccQ,42,2025,CCE,0.1,0.05767540668747342,0.1,1.0,54.04283804818988
100k-20seg-50L,AccQ,42,2025,CCE,0.1,0.05995897777068272,0.1,5.0,52.37848777323961
100k-20seg-50L,AccQ,42,2025,CCE,0.1,0.06055179502134431,0.1,10.0,54.53439196571708
100k-20seg-50L,AccQ,42,2025,CCE,0.1,0.06083579508167829,0.1,20.0,53.927806206047535
100k-20seg-50L,AccQ,42,2025,CCE,0.1,0.06091711452456639,0.1,30.0,51.51918111369014
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.32033734273808306,0.3,1.0,52.84574115648866
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.3330789324038967,0.3,5.0,51.13328481093049
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.3363551541016473,0.3,10.0,51.06863798573613
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.337903986659766,0.3,20.0,51.033909898251295
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.3383403624057915,0.3,30.0,50.65717967227101
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.6983500921636394,0.5,1.0,51.48719297721982
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.726116842578476,0.5,5.0,50.850079860538244
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.7332621032246387,0.5,10.0,51.502508111298084
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.7366437684012102,0.5,20.0,51.01990280672908
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.7375978393361493,0.5,30.0,51.926849875599146
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-1.076362841589196,0.7,1.0,52.16217879205942
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-1.1191547527530552,0.7,5.0,51.43869807943702
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-1.13016905234763,0.7,10.0,50.704744178801775
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-1.1353835501426544,0.7,20.0,52.63451300561428
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-1.1368553162665072,0.7,30.0,50.6497579626739
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-1.4543755910147524,0.9,1.0,51.22995004057884
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-1.5121926629276348,0.9,5.0,50.77450117096305
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-1.527076001470622,0.9,10.0,53.93505608662963
