case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.05,0.1,-0.4192481023328266,81.79033501073718
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.05,0.1,-0.4192481023328266,68.01290484145284
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.05,0.1,-0.4192481023328266,56.36151903308928
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.05,0.2,-0.3115502270086792,55.934777949005365
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.05,0.2,-0.3115502270086792,57.24547104910016
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.05,0.2,-0.3115502270086792,107.97088197432458
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.05,0.3,-0.20643750735229727,56.346279103308916
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.05,0.3,-0.20643750735229727,55.97741296514869
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.05,0.3,-0.20643750735229727,55.76768098399043
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.05,0.4,-0.10490488276562027,55.98702887073159
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.05,0.4,-0.10490488276562027,59.92273194715381
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.05,0.4,-0.10490488276562027,55.36957108415663
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.05,0.5,-0.00040553693936924186,55.823568953201175
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.05,0.5,-0.00040553693936924186,55.82699901424348
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.05,0.5,-0.00040553693936924186,63.45292809419334
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.05,0.6,0.10591085783552431,55.65008777193725
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.05,0.6,0.10591085783552431,56.184090906754136
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.05,0.6,0.10591085783552431,100.60805012471974
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.05,0.7,0.20617138366677035,56.383250979706645
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.05,0.7,0.20617138366677035,56.09102896414697
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.05,0.7,0.20617138366677035,55.70425791665912
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.05,0.8,0.30414904264920417,55.503956973552704
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.05,0.8,0.30414904264920417,55.78949791379273
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.05,0.8,0.30414904264920417,99.93837680667639
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.05,0.9,0.41380943176376417,55.39075820706785
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.05,0.9,0.41380943176376417,55.49521604552865
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.05,0.9,0.41380943176376417,55.39454985409975
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.05,1.0,0.5269199951698444,54.89299912005663
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.05,1.0,0.5269199951698444,54.76716184057295
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.05,1.0,0.5269199951698444,58.99484897963703
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.1,0.1,-0.3643825462946634,54.89958915859461
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.1,0.1,-0.3643825462946634,54.646699922159314
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.1,0.1,-0.3643825462946634,54.688247153535485
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.1,0.2,-0.2689705123673512,94.69756484031677
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.1,0.2,-0.2689705123673512,54.45188796147704
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.1,0.2,-0.2689705123673512,55.130082881078124
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.1,0.3,-0.17846564058494263,55.08549488149583
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.1,0.3,-0.17846564058494263,55.6001840159297
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.1,0.3,-0.17846564058494263,60.31433492898941
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.1,0.4,-0.09077310930002243,136.31319301202893
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.1,0.4,-0.09077310930002243,55.21037592552602
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.1,0.4,-0.09077310930002243,55.97580713219941
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.1,0.5,-0.0008499620917217232,55.17151905223727
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.1,0.5,-0.0008499620917217232,54.24173199571669
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.1,0.5,-0.0008499620917217232,52.50844801776111
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.1,0.6,0.09088128840640058,50.29395688325167
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.1,0.6,0.09088128840640058,51.65882408618927
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.1,0.6,0.09088128840640058,50.040691858157516
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.1,0.7,0.17756528559530627,51.94757506251335
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.1,0.7,0.17756528559530627,52.40162601694465
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.1,0.7,0.17756528559530627,55.667445063591
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.1,0.8,0.26214487557871946,56.155337020754814
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.1,0.8,0.26214487557871946,55.771514074876904
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.1,0.8,0.26214487557871946,55.07668503560126
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.1,0.9,0.35371991738452824,55.93989184126258
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.1,0.9,0.35371991738452824,82.23574399016798
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.1,0.9,0.35371991738452824,56.02843803353608
100k-20seg-50L,LowDisAccQ-R,42,2025,CCE,0.1,1.0,0.44443581606947463,56.05651019141078
100k-20seg-50L,LowDisAccQ-R,42,2026,CCE,0.1,1.0,0.44443581606947463,55.66656310111284
100k-20seg-50L,LowDisAccQ-R,42,2027,CCE,0.1,1.0,0.44443581606947463,56.06737593188882
100k-200seg-50L,LowDisAccQ-R,43,2025,CCE,0.05,0.1,-0.4075624255996909,63.11750994063914
100k-200seg-50L,LowDisAccQ-R,43,2026,CCE,0.05,0.1,-0.4075624255996909,69.87542705610394
100k-200seg-50L,LowDisAccQ-R,43,2027,CCE,0.05,0.1,-0.4075624255996909,62.54669884219766
100k-200seg-50L,LowDisAccQ-R,43,2025,CCE,0.05,0.2,-0.30314003762195973,62.682750867679715
100k-200seg-50L,LowDisAccQ-R,43,2026,CCE,0.05,0.2,-0.30314003762195973,68.12268798239529
100k-200seg-50L,LowDisAccQ-R,43,2027,CCE,0.05,0.2,-0.30314003762195973,67.43191904388368
100k-200seg-50L,LowDisAccQ-R,43,2025,CCE,0.05,0.3,-0.19976457212443324,63.42648295685649
100k-200seg-50L,LowDisAccQ-R,43,2026,CCE,0.05,0.3,-0.19976457212443324,62.68321303650737
100k-200seg-50L,LowDisAccQ-R,43,2027,CCE,0.05,0.3,-0.19976457212443324,66.60829507745802
100k-200seg-50L,LowDisAccQ-R,43,2025,CCE,0.05,0.4,-0.10121795261373547,111.71876918524504
100k-200seg-50L,LowDisAccQ-R,43,2026,CCE,0.05,0.4,-0.10121795261373547,67.23092403262854
100k-200seg-50L,LowDisAccQ-R,43,2027,CCE,0.05,0.4,-0.10121795261373547,64.0981940086931
100k-200seg-50L,LowDisAccQ-R,43,2025,CCE,0.05,0.5,-0.0018946504270442224,65.72918221354485
100k-200seg-50L,LowDisAccQ-R,43,2026,CCE,0.05,0.5,-0.0018946504270442224,63.01234383136034
100k-200seg-50L,LowDisAccQ-R,43,2027,CCE,0.05,0.5,-0.0018946504270442224,62.784077832475305
100k-200seg-50L,LowDisAccQ-R,43,2025,CCE,0.05,0.6,0.09784148138100557,62.91127600707114
100k-200seg-50L,LowDisAccQ-R,43,2026,CCE,0.05,0.6,0.09784148138100557,75.71292598731816
