case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,LowDisAccQ,42,2025,CCE,0.1,-0.5101407717496635,61.03534810245037
100k-20seg-50L,LowDisAccQ,42,2026,CCE,0.1,-0.5172915205529466,57.50002712011337
100k-20seg-50L,LowDisAccQ,42,2027,CCE,0.1,-0.5137873218006407,61.34131387807429
100k-20seg-50L,LowDisAccQ,42,2025,CCE,0.2,-0.38415531088248056,111.23967892490327
100k-20seg-50L,LowDisAccQ,42,2026,CCE,0.2,-0.3919613601336407,58.23505390435457
100k-20seg-50L,LowDisAccQ,42,2027,CCE,0.2,-0.3971395080170801,55.678216041997075
100k-20seg-50L,LowDisAccQ,42,2025,CCE,0.3,-0.26184561224863223,55.30485091730952
100k-20seg-50L,LowDisAccQ,42,2026,CCE,0.3,-0.2676648325306886,56.62264605052769
100k-20seg-50L,LowDisAccQ,42,2027,CCE,0.3,-0.2639523967714068,57.41700204089284
100k-20seg-50L,LowDisAccQ,42,2025,CCE,0.4,-0.12590037337931909,56.16688099689782
100k-20seg-50L,LowDisAccQ,42,2026,CCE,0.4,-0.14621466426938057,56.83595105074346
100k-20seg-50L,LowDisAccQ,42,2027,CCE,0.4,-0.11800224581459764,56.415582075715065
100k-20seg-50L,LowDisAccQ,42,2025,CCE,0.5,0.004223409235454369,55.454217130318284
100k-20seg-50L,LowDisAccQ,42,2026,CCE,0.5,-0.017813618922133866,54.876096080988646
100k-20seg-50L,LowDisAccQ,42,2027,CCE,0.5,0.006942702427991526,56.46168999373913
100k-20seg-50L,LowDisAccQ,42,2025,CCE,0.6,0.13154239075707258,55.90445315465331
100k-20seg-50L,LowDisAccQ,42,2026,CCE,0.6,0.11467932899838057,56.6971730440855
100k-20seg-50L,LowDisAccQ,42,2027,CCE,0.6,0.13082282426570846,56.96748313494027
100k-20seg-50L,LowDisAccQ,42,2025,CCE,0.7,0.26738423560721314,55.7822750415653
100k-20seg-50L,LowDisAccQ,42,2026,CCE,0.7,0.24460112001461948,55.00176199711859
100k-20seg-50L,LowDisAccQ,42,2027,CCE,0.7,0.2559172832931758,56.782413041219115
100k-20seg-50L,LowDisAccQ,42,2025,CCE,0.8,0.38957474828412364,54.98015694320202
100k-20seg-50L,LowDisAccQ,42,2026,CCE,0.8,0.38392983536623304,55.3849320858717
100k-20seg-50L,LowDisAccQ,42,2027,CCE,0.8,0.39551741695059905,57.83236492425203
100k-20seg-50L,LowDisAccQ,42,2025,CCE,0.9,0.5093084405159397,56.77341599948704
100k-20seg-50L,LowDisAccQ,42,2026,CCE,0.9,0.5066563087837126,56.12826789729297
100k-20seg-50L,LowDisAccQ,42,2027,CCE,0.9,0.5148861764579525,55.435771122574806
100k-20seg-50L,LowDisAccQ,42,2025,CCE,1.0,0.6356072277679896,61.12313293851912
100k-20seg-50L,LowDisAccQ,42,2026,CCE,1.0,0.6364760793567367,55.514703039079905
100k-20seg-50L,LowDisAccQ,42,2027,CCE,1.0,0.6335771575390051,66.03880994953215
100k-200seg-50L,LowDisAccQ,43,2025,CCE,0.1,-0.5134439146529176,129.63864114135504
100k-200seg-50L,LowDisAccQ,43,2026,CCE,0.1,-0.5041096738401256,83.31429492682219
100k-200seg-50L,LowDisAccQ,43,2027,CCE,0.1,-0.506760447923436,65.15538296662271
100k-200seg-50L,LowDisAccQ,43,2025,CCE,0.2,-0.383248908135685,63.62591800279915
100k-200seg-50L,LowDisAccQ,43,2026,CCE,0.2,-0.3807560948992017,64.56375913694501
100k-200seg-50L,LowDisAccQ,43,2027,CCE,0.2,-0.3816948536603202,63.80319385789335
100k-200seg-50L,LowDisAccQ,43,2025,CCE,0.3,-0.25580476513059114,63.16114286892116
100k-200seg-50L,LowDisAccQ,43,2026,CCE,0.3,-0.2534475576158801,64.25751093775034
100k-200seg-50L,LowDisAccQ,43,2027,CCE,0.3,-0.25436365232939884,62.99478095024824
100k-200seg-50L,LowDisAccQ,43,2025,CCE,0.4,-0.12677545947735205,65.96399610862136
100k-200seg-50L,LowDisAccQ,43,2026,CCE,0.4,-0.12809337798993747,63.707232009619474
100k-200seg-50L,LowDisAccQ,43,2027,CCE,0.4,-0.13137299420964182,64.21645288355649
100k-200seg-50L,LowDisAccQ,43,2025,CCE,0.5,0.002792534173265561,64.19311603531241
100k-200seg-50L,LowDisAccQ,43,2026,CCE,0.5,-0.0017567438578827282,154.96617392636836
100k-200seg-50L,LowDisAccQ,43,2027,CCE,0.5,-0.006378817393676427,65.51521411165595
100k-200seg-50L,LowDisAccQ,43,2025,CCE,0.6,0.12995545238877132,64.67266706749797
100k-200seg-50L,LowDisAccQ,43,2026,CCE,0.6,0.12565709474215878,62.99866922199726
100k-200seg-50L,LowDisAccQ,43,2027,CCE,0.6,0.12086266712297884,65.33057102933526
100k-200seg-50L,LowDisAccQ,43,2025,CCE,0.7,0.253582625151054,64.29566792212427
100k-200seg-50L,LowDisAccQ,43,2026,CCE,0.7,0.2526330011383924,65.0006840005517
100k-200seg-50L,LowDisAccQ,43,2027,CCE,0.7,0.24502240158257116,65.58742513880134
100k-200seg-50L,LowDisAccQ,43,2025,CCE,0.8,0.37894771166912733,64.92085009813309
100k-200seg-50L,LowDisAccQ,43,2026,CCE,0.8,0.3833676559544231,64.98389295302331
100k-200seg-50L,LowDisAccQ,43,2027,CCE,0.8,0.37892569637502777,64.9111270904541
100k-200seg-50L,LowDisAccQ,43,2025,CCE,0.9,0.5066725106735197,67.95210298150778
100k-200seg-50L,LowDisAccQ,43,2026,CCE,0.9,0.5110331090184533,66.21782295405865
100k-200seg-50L,LowDisAccQ,43,2027,CCE,0.9,0.5080360535859745,64.17183298617601
100k-200seg-50L,LowDisAccQ,43,2025,CCE,1.0,0.6363233400223858,66.86477502807975
100k-200seg-50L,LowDisAccQ,43,2026,CCE,1.0,0.6371429642280609,64.27476298995316
100k-200seg-50L,LowDisAccQ,43,2027,CCE,1.0,0.6357372139207951,64.17426303960383
100k-20seg-50H,LowDisAccQ,44,2025,CCE,0.1,-0.5138760114872609,55.84571696817875
100k-20seg-50H,LowDisAccQ,44,2026,CCE,0.1,-0.5135286545636368,56.20709015056491
100k-20seg-50H,LowDisAccQ,44,2027,CCE,0.1,-0.5112637319750114,55.567746981978416
100k-20seg-50H,LowDisAccQ,44,2025,CCE,0.2,-0.36685180150221597,55.9912568423897
100k-20seg-50H,LowDisAccQ,44,2026,CCE,0.2,-0.3783062765517412,55.13094295747578
100k-20seg-50H,LowDisAccQ,44,2027,CCE,0.2,-0.38555334347923864,56.03617918677628
100k-20seg-50H,LowDisAccQ,44,2025,CCE,0.3,-0.24838913851222905,55.55729614570737
100k-20seg-50H,LowDisAccQ,44,2026,CCE,0.3,-0.25822846994899235,58.577866991981864
100k-20seg-50H,LowDisAccQ,44,2027,CCE,0.3,-0.264232974659813,55.3170838393271
100k-20seg-50H,LowDisAccQ,44,2025,CCE,0.4,-0.11181018299119942,56.175327859818935
100k-20seg-50H,LowDisAccQ,44,2026,CCE,0.4,-0.13553471772674533,55.435985093936324
100k-20seg-50H,LowDisAccQ,44,2027,CCE,0.4,-0.13197602286936047,54.13613095879555
100k-20seg-50H,LowDisAccQ,44,2025,CCE,0.5,0.01624156462987153,57.84853594377637
100k-20seg-50H,LowDisAccQ,44,2026,CCE,0.5,-0.0060057059341365945,54.3380999006331
100k-20seg-50H,LowDisAccQ,44,2027,CCE,0.5,-0.00485624420174037,53.65159106440842
100k-20seg-50H,LowDisAccQ,44,2025,CCE,0.6,0.1370706097067696,54.37073879875243
100k-20seg-50H,LowDisAccQ,44,2026,CCE,0.6,0.1215678808030812,54.26062690094113
100k-20seg-50H,LowDisAccQ,44,2027,CCE,0.6,0.12072982715125882,66.35969504714012
100k-20seg-50H,LowDisAccQ,44,2025,CCE,0.7,0.25743563946229675,53.243756061419845
100k-20seg-50H,LowDisAccQ,44,2026,CCE,0.7,0.2623793306325748,51.65987485088408
100k-20seg-50H,LowDisAccQ,44,2027,CCE,0.7,0.2567061508528964,51.00985011085868
