case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.1,0.01,-8.14623703258155,41.217450983822346
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.1,0.01,-8.14623703258155,37.344006123021245
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.1,0.01,-8.14623703258155,37.54869103431702
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.1,0.05,-12.775451515551012,55.98981701768935
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.1,0.05,-12.775451515551012,71.1907111108303
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.1,0.05,-12.775451515551012,39.303228026255965
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.1,0.1,-125.83321325366548,38.566873874515295
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.1,0.1,-125.83321325366548,39.48576212860644
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.1,0.1,-125.83321325366548,40.26406002230942
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.1,0.3,1.89403671223326,38.14673889428377
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.1,0.3,1.89403671223326,37.9011791665107
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.1,0.3,1.89403671223326,39.15665717795491
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.2,0.01,-2.9163401735421592,38.71499584056437
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.2,0.01,-2.9163401735421592,38.77111594192684
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.2,0.01,-2.9163401735421592,43.823370011523366
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.2,0.05,-3.3202808156632324,38.19864895194769
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.2,0.05,-3.3202808156632324,38.331288844347
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.2,0.05,-3.3202808156632324,37.78489795513451
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.2,0.1,-4.252285636661446,38.53107010945678
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.2,0.1,-4.252285636661446,37.89215814322233
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.2,0.1,-4.252285636661446,40.11470684781671
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.2,0.3,3.431919068716616,40.13535799458623
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.2,0.3,3.431919068716616,38.62351202405989
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.2,0.3,3.431919068716616,38.92282117158175
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.3,0.01,-1.3746143342648611,37.62495587579906
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.3,0.01,-1.3746143342648611,38.97433890961111
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.3,0.01,-1.3746143342648611,38.08793821372092
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.3,0.05,-1.4670044076184934,39.24867114983499
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.3,0.05,-1.4670044076184934,40.79141793772578
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.3,0.05,-1.4670044076184934,39.87829410471022
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.3,0.1,-1.644748062580612,40.50694312900305
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.3,0.1,-1.644748062580612,39.70486996695399
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.3,0.1,-1.644748062580612,37.81221900135279
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.3,0.3,-13.86307669598616,37.353751016780734
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.3,0.3,-13.86307669598616,38.574357982724905
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.3,0.3,-13.86307669598616,37.4992280267179
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.4,0.01,-0.5679231243338241,37.40039397962392
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.4,0.01,-0.5679231243338241,37.31033811345696
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.4,0.01,-0.5679231243338241,39.42431695759296
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.4,0.05,-0.5877888540376593,37.168461829423904
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.4,0.05,-0.5877888540376593,38.2859839592129
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.4,0.05,-0.5877888540376593,38.97009999491274
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.4,0.1,-0.5988029578991241,38.82833197712898
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.4,0.1,-0.5988029578991241,38.13034691847861
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.4,0.1,-0.5988029578991241,39.45084707811475
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.4,0.3,-0.8947697156013377,39.14163098670542
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.4,0.3,-0.8947697156013377,38.88419806025922
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.4,0.3,-0.8947697156013377,39.17722520418465
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.5,0.01,-0.1132635229320196,37.92342892847955
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.5,0.01,-0.1132635229320196,37.9391519818455
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.5,0.01,-0.1132635229320196,37.321569165214896
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.5,0.05,-0.1045368331346311,37.4345569871366
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.5,0.05,-0.1045368331346311,38.84999197907746
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.5,0.05,-0.1045368331346311,37.66380017623305
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.5,0.1,-0.1118930658589728,37.26966679096222
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.5,0.1,-0.1118930658589728,37.77504991739988
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.5,0.1,-0.1118930658589728,38.57487090863288
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.5,0.3,-0.1173054629298443,39.29395810700953
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.5,0.3,-0.1173054629298443,39.31470890529454
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.5,0.3,-0.1173054629298443,38.58055593445897
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.6,0.01,0.2112338196601146,38.19357790052891
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.6,0.01,0.2112338196601146,38.46660302951932
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.6,0.01,0.2112338196601146,38.95981889218092
MSL,PreQ-NegP-R,42,2025,CCE,0.05,0.6,0.05,0.2103259410954971,36.9993110653013
MSL,PreQ-NegP-R,42,2026,CCE,0.05,0.6,0.05,0.2103259410954971,38.02392305806279
MSL,PreQ-NegP-R,42,2027,CCE,0.05,0.6,0.05,0.2103259410954971,37.67686197534204
