case_name,model_name,case_seed,score_seed,metric_name,q,p,val,latency
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.1,0.01,0.0756087776299314,66.57232413999736
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.1,0.01,0.07774676045534218,62.215669080615044
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.1,0.01,0.0757637781245073,58.624847093597054
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.1,0.05,0.043748830367919184,61.72292702831328
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.1,0.05,0.046285757158573054,55.78159913420677
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.1,0.05,0.04417756342060977,55.1613608840853
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.1,0.1,0.002383814883115787,57.79315810650587
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.1,0.1,0.005975696991914636,55.458137998357415
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.1,0.1,0.0046331472365700455,55.56762800551951
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.1,0.3,-0.1551404431102058,57.17354407534003
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.1,0.3,-0.15391209778637197,56.300194934010506
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.1,0.3,-0.15397097779180186,56.636513909325004
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.2,0.01,0.1604474194051925,59.69932698644698
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.2,0.01,0.1610942640301089,56.456506019458175
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.2,0.01,0.16098235878523268,56.186683010309935
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.2,0.05,0.127773340599368,56.24429997988045
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.2,0.05,0.12864629330504723,56.064931908622384
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.2,0.05,0.12895597569108488,55.89189589954913
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.2,0.1,0.08747533967842594,58.1451749894768
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.2,0.1,0.08793775266910825,55.835159961134195
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.2,0.1,0.08845409709555369,56.04966194368899
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.2,0.3,-0.07124791948578021,57.27988900616765
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.2,0.3,-0.07091936904151054,55.705513106659055
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.2,0.3,-0.07045693597200324,54.90691214799881
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.3,0.01,0.24589303578383606,55.555179016664624
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.3,0.01,0.24481209205860638,56.06694403104484
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.3,0.01,0.2449860074424278,56.13405490294099
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.3,0.05,0.2136484650287076,55.93513208441436
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.3,0.05,0.21310863140552694,55.937517900019884
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.3,0.05,0.21247606915386966,55.5547010153532
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.3,0.1,0.173613967990986,56.237529031932354
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.3,0.1,0.17291177232023056,55.946822045370936
100k-20seg-50L,PreQ-NegP,42,2027,CCE,0.3,0.1,0.17244181961419103,56.700821965932846
100k-20seg-50L,PreQ-NegP,42,2025,CCE,0.3,0.3,0.015097632566276206,95.77974397689104
100k-20seg-50L,PreQ-NegP,42,2026,CCE,0.3,0.3,0.013288347876348208,65.38058700971305
