case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.05,0.1,-0.7350510308687648,57.86753795109689
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.05,0.1,-0.7350510308687648,54.01721992529929
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.05,0.1,-0.7350510308687648,65.99825690500438
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.05,0.2,-0.5414821258292184,55.40680419653654
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.05,0.2,-0.5414821258292184,58.03593690507114
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.05,0.2,-0.5414821258292184,78.16475396975875
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.05,0.3,-0.3574956644975133,54.34462591074407
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.05,0.3,-0.3574956644975133,54.30744495242834
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.05,0.3,-0.3574956644975133,55.51044503226876
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.05,0.4,-0.17684410604790227,56.683812057599425
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.05,0.4,-0.17684410604790227,54.796478943899274
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.05,0.4,-0.17684410604790227,91.81040595285594
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.05,0.5,0.009428977740688078,84.68560315668583
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.05,0.5,0.009428977740688078,55.04692601971328
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.05,0.5,0.009428977740688078,80.53399715572596
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.05,0.6,0.19692536814525127,82.56424614228308
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.05,0.6,0.19692536814525127,128.85052897036076
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.05,0.6,0.19692536814525127,55.38484896533191
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.05,0.7,0.37608346190268205,70.86176378652453
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.05,0.7,0.37608346190268205,54.6415951102972
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.05,0.7,0.37608346190268205,55.44913210906088
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.05,0.8,0.5496902075726684,56.27166014164686
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.05,0.8,0.5496902075726684,55.531336925923824
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.05,0.8,0.5496902075726684,55.56872393935919
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.05,0.9,0.7365611254713811,57.28478007949889
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.05,0.9,0.7365611254713811,57.85790807567537
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.05,0.9,0.7365611254713811,55.91066414490342
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.05,1.0,0.8993208929114639,55.880132829770446
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.05,1.0,0.8993208929114639,55.56080094538629
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.05,1.0,0.8993208929114639,57.6383660081774
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.1,0.1,-0.7074654006170114,56.39804597012699
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.1,0.1,-0.7074654006170114,56.376593885943294
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.1,0.1,-0.7074654006170114,55.665058083832264
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.1,0.2,-0.5210957637887783,95.43357789516449
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.1,0.2,-0.5210957637887783,55.118699092417955
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.1,0.2,-0.5210957637887783,55.43598812073469
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.1,0.3,-0.34430016569591393,54.02563908137381
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.1,0.3,-0.34430016569591393,53.886563051491976
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.1,0.3,-0.34430016569591393,55.369197856634855
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.1,0.4,-0.1705247416711837,54.49568782933056
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.1,0.4,-0.1705247416711837,54.90611819550395
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.1,0.4,-0.1705247416711837,54.7205600887537
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.1,0.5,0.008570364334542762,54.59710885770619
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.1,0.5,0.008570364334542762,54.538872092962265
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.1,0.5,0.008570364334542762,53.85511904023588
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.1,0.6,0.18935518769504397,54.89741684868932
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.1,0.6,0.18935518769504397,54.674659855663776
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.1,0.6,0.18935518769504397,53.98572003468871
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.1,0.7,0.3618147942812929,58.64860815927386
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.1,0.7,0.3618147942812929,54.589916951954365
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.1,0.7,0.3618147942812929,57.29702510870993
100k-20seg-50L,AccQ-R,42,2025,CCE2,0.1,0.8,0.528948373986706,53.661162964999676
100k-20seg-50L,AccQ-R,42,2026,CCE2,0.1,0.8,0.528948373986706,54.27461885847151
100k-20seg-50L,AccQ-R,42,2027,CCE2,0.1,0.8,0.528948373986706,53.205691976472735
