case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
100k-20seg-50L,PreQ-NegP-R,42,2025,CCE2,0.05,0.1,0.01,0.07636473937136243,60.6664449442178
100k-20seg-50L,PreQ-NegP-R,42,2026,CCE2,0.05,0.1,0.01,0.07636473937136243,106.22666589915752
100k-20seg-50L,PreQ-NegP-R,42,2027,CCE2,0.05,0.1,0.01,0.07636473937136243,54.89517003297806
100k-20seg-50L,PreQ-NegP-R,42,2025,CCE2,0.05,0.1,0.05,0.04539216360931911,53.40232606977224
100k-20seg-50L,PreQ-NegP-R,42,2026,CCE2,0.05,0.1,0.05,0.04539216360931911,53.722609067335725
100k-20seg-50L,PreQ-NegP-R,42,2027,CCE2,0.05,0.1,0.05,0.04539216360931911,52.377223037183285
100k-20seg-50L,PreQ-NegP-R,42,2025,CCE2,0.05,0.1,0.1,0.004818124012922198,52.8025571256876
100k-20seg-50L,PreQ-NegP-R,42,2026,CCE2,0.05,0.1,0.1,0.004818124012922198,106.77453107200563
100k-20seg-50L,PreQ-NegP-R,42,2027,CCE2,0.05,0.1,0.1,0.004818124012922198,116.92242021672428
100k-20seg-50L,PreQ-NegP-R,42,2025,CCE2,0.05,0.1,0.3,-0.15002652022567564,56.15212093107402
100k-20seg-50L,PreQ-NegP-R,42,2026,CCE2,0.05,0.1,0.3,-0.15002652022567564,54.30207890458405
100k-20seg-50L,PreQ-NegP-R,42,2027,CCE2,0.05,0.1,0.3,-0.15002652022567564,59.96002908796072
100k-20seg-50L,PreQ-NegP-R,42,2025,CCE2,0.05,0.2,0.01,0.15935713521695588,53.81786893121898
100k-20seg-50L,PreQ-NegP-R,42,2026,CCE2,0.05,0.2,0.01,0.15935713521695588,52.19803494401276
100k-20seg-50L,PreQ-NegP-R,42,2027,CCE2,0.05,0.2,0.01,0.15935713521695588,53.045656997710466
100k-20seg-50L,PreQ-NegP-R,42,2025,CCE2,0.05,0.2,0.05,0.12490159733854336,53.63403889350593
100k-20seg-50L,PreQ-NegP-R,42,2026,CCE2,0.05,0.2,0.05,0.12490159733854336,74.65938618406653
100k-20seg-50L,PreQ-NegP-R,42,2027,CCE2,0.05,0.2,0.05,0.12490159733854336,55.97666907124221
100k-20seg-50L,PreQ-NegP-R,42,2025,CCE2,0.05,0.2,0.1,0.0861798606210544,55.79896806739271
100k-20seg-50L,PreQ-NegP-R,42,2026,CCE2,0.05,0.2,0.1,0.0861798606210544,54.984153946861625
100k-20seg-50L,PreQ-NegP-R,42,2027,CCE2,0.05,0.2,0.1,0.0861798606210544,55.97184388898313
