case_name,model_name,case_seed,score_seed,metric_name,q,p,val,latency
MSL,PreQ-NegP,42,2025,CCE,0.1,0.01,-8.444481465455906,43.32445003092289
MSL,PreQ-NegP,42,2026,CCE,0.1,0.01,-8.490123657926148,60.15075417235494
MSL,PreQ-NegP,42,2027,CCE,0.1,0.01,-8.158337673209278,40.215916000306606
MSL,PreQ-NegP,42,2025,CCE,0.1,0.05,-13.40228821597007,39.386502001434565
MSL,PreQ-NegP,42,2026,CCE,0.1,0.05,-13.729416770592383,40.17090308479965
MSL,PreQ-NegP,42,2027,CCE,0.1,0.05,-12.920138900389906,40.383909828960896
MSL,PreQ-NegP,42,2025,CCE,0.1,0.1,-104.01804983947343,42.502084048464894
MSL,PreQ-NegP,42,2026,CCE,0.1,0.1,-325.0514267023364,39.47652713395655
MSL,PreQ-NegP,42,2027,CCE,0.1,0.1,-91.36075494747328,39.99304794706404
MSL,PreQ-NegP,42,2025,CCE,0.1,0.3,1.95891780069678,42.1432638540864
MSL,PreQ-NegP,42,2026,CCE,0.1,0.3,1.947207925015716,74.17480694130063
MSL,PreQ-NegP,42,2027,CCE,0.1,0.3,1.96445699511595,50.81257503479719
MSL,PreQ-NegP,42,2025,CCE,0.2,0.01,-2.952143837013097,40.24339886382222
MSL,PreQ-NegP,42,2026,CCE,0.2,0.01,-3.0050602116590985,40.72916298173368
MSL,PreQ-NegP,42,2027,CCE,0.2,0.01,-2.8476470530446205,41.14571982063353
MSL,PreQ-NegP,42,2025,CCE,0.2,0.05,-3.402546982000798,39.38690898939967
MSL,PreQ-NegP,42,2026,CCE,0.2,0.05,-3.47007415381982,39.97154789976776
MSL,PreQ-NegP,42,2027,CCE,0.2,0.05,-3.2622652237041807,39.760038955137134
MSL,PreQ-NegP,42,2025,CCE,0.2,0.1,-4.397148874499477,39.39370205625892
MSL,PreQ-NegP,42,2026,CCE,0.2,0.1,-4.493184076595357,39.20610714703798
MSL,PreQ-NegP,42,2027,CCE,0.2,0.1,-4.190250236770098,39.44488079287112
MSL,PreQ-NegP,42,2025,CCE,0.2,0.3,3.3263979299339086,39.32627313770354
MSL,PreQ-NegP,42,2026,CCE,0.2,0.3,3.350618815425614,58.6013519205153
MSL,PreQ-NegP,42,2027,CCE,0.2,0.3,3.528600167483696,40.47354683279991
MSL,PreQ-NegP,42,2025,CCE,0.3,0.01,-1.3599260963283208,40.19898409023881
MSL,PreQ-NegP,42,2026,CCE,0.3,0.01,-1.3975857041699555,40.055051911622286
MSL,PreQ-NegP,42,2027,CCE,0.3,0.01,-1.2645034376297382,40.10175913572312
MSL,PreQ-NegP,42,2025,CCE,0.3,0.05,-1.448842655676826,40.032110176980495
MSL,PreQ-NegP,42,2026,CCE,0.3,0.05,-1.4936205982991817,40.79755791462958
MSL,PreQ-NegP,42,2027,CCE,0.3,0.05,-1.3409760575682936,40.054989978671074
MSL,PreQ-NegP,42,2025,CCE,0.3,0.1,-1.6050877979844325,40.3268348891288
MSL,PreQ-NegP,42,2026,CCE,0.3,0.1,-1.6611961047311603,41.279172990471125
MSL,PreQ-NegP,42,2027,CCE,0.3,0.1,-1.473436525693805,40.12189316563308
MSL,PreQ-NegP,42,2025,CCE,0.3,0.3,-10.538192799175157,39.843838196247816
MSL,PreQ-NegP,42,2026,CCE,0.3,0.3,-13.871765940765696,40.20280297845602
MSL,PreQ-NegP,42,2027,CCE,0.3,0.3,-7.414704783486158,40.22778710350394
MSL,PreQ-NegP,42,2025,CCE,0.4,0.01,-0.573291440813236,39.55710493028164
MSL,PreQ-NegP,42,2026,CCE,0.4,0.01,-0.6164216132192291,39.46686186827719
MSL,PreQ-NegP,42,2027,CCE,0.4,0.01,-0.5286222288128606,40.00269994139671
MSL,PreQ-NegP,42,2025,CCE,0.4,0.05,-0.5885005842762692,40.043000131845474
MSL,PreQ-NegP,42,2026,CCE,0.4,0.05,-0.6347417721014645,39.99695205129683
MSL,PreQ-NegP,42,2027,CCE,0.4,0.05,-0.5415419658101971,39.92116404697299
MSL,PreQ-NegP,42,2025,CCE,0.4,0.1,-0.612592492844118,40.70995608344674
MSL,PreQ-NegP,42,2026,CCE,0.4,0.1,-0.6629317041949165,40.7755000051111
MSL,PreQ-NegP,42,2027,CCE,0.4,0.1,-0.5619574928845184,39.26940285600722
MSL,PreQ-NegP,42,2025,CCE,0.4,0.3,-0.8999993726636123,39.09122990444303
MSL,PreQ-NegP,42,2026,CCE,0.4,0.3,-1.0277576039948824,39.7693389095366
MSL,PreQ-NegP,42,2027,CCE,0.4,0.3,-0.7996678965687137,39.67127110809088
MSL,PreQ-NegP,42,2025,CCE,0.5,0.01,-0.1014194225559656,39.76914100348949
MSL,PreQ-NegP,42,2026,CCE,0.5,0.01,-0.1186267525011861,39.78537512011826
MSL,PreQ-NegP,42,2027,CCE,0.5,0.01,-0.0916409542042329,46.8348590657115
MSL,PreQ-NegP,42,2025,CCE,0.5,0.05,-0.1019117905756628,39.78626197203994
MSL,PreQ-NegP,42,2026,CCE,0.5,0.05,-0.1193217422020709,40.10471794754267
MSL,PreQ-NegP,42,2027,CCE,0.5,0.05,-0.0920214238491695,40.15197604894638
MSL,PreQ-NegP,42,2025,CCE,0.5,0.1,-0.1026393669412313,49.69782801344991
MSL,PreQ-NegP,42,2026,CCE,0.5,0.1,-0.120284915756973,75.89875208213925
MSL,PreQ-NegP,42,2027,CCE,0.5,0.1,-0.0926006972760092,39.44269102066755
MSL,PreQ-NegP,42,2025,CCE,0.5,0.3,-0.108454420295271,48.1749358586967
MSL,PreQ-NegP,42,2026,CCE,0.5,0.3,-0.1285198735711029,40.09456094354391
MSL,PreQ-NegP,42,2027,CCE,0.5,0.3,-0.0974109021869263,41.92089103162289
MSL,PreQ-NegP,42,2025,CCE,0.6,0.01,0.2086170244713254,39.64642691425979
MSL,PreQ-NegP,42,2026,CCE,0.6,0.01,0.1865324198809458,39.47763401083648
MSL,PreQ-NegP,42,2027,CCE,0.6,0.01,0.2148877413092717,39.706389885395765
MSL,PreQ-NegP,42,2025,CCE,0.6,0.05,0.2066754271840643,39.79301010258496
MSL,PreQ-NegP,42,2026,CCE,0.6,0.05,0.1849630225423076,41.30743793211877
MSL,PreQ-NegP,42,2027,CCE,0.6,0.05,0.2128690849192405,40.14485911466181
MSL,PreQ-NegP,42,2025,CCE,0.6,0.1,0.2039008609630107,42.07779397256672
MSL,PreQ-NegP,42,2026,CCE,0.6,0.1,0.1826228173364487,41.08861112035811
MSL,PreQ-NegP,42,2027,CCE,0.6,0.1,0.2099349596880292,40.54150800220668
MSL,PreQ-NegP,42,2025,CCE,0.6,0.3,0.1842972943601045,40.78034893609584
MSL,PreQ-NegP,42,2026,CCE,0.6,0.3,0.1666091261051336,40.15874909237027
MSL,PreQ-NegP,42,2027,CCE,0.6,0.3,0.1889149035122627,40.753759909421206
MSL,PreQ-NegP,42,2025,CCE,0.7,0.01,0.4319109464678959,39.96959398500621
MSL,PreQ-NegP,42,2026,CCE,0.7,0.01,0.4105079867315721,40.908233961090446
MSL,PreQ-NegP,42,2027,CCE,0.7,0.01,0.4378000614397838,40.04026320762932
MSL,PreQ-NegP,42,2025,CCE,0.7,0.05,0.4238678544232198,40.81617994233966
MSL,PreQ-NegP,42,2026,CCE,0.7,0.05,0.4029606157902619,40.54845008067787
MSL,PreQ-NegP,42,2027,CCE,0.7,0.05,0.429460516811009,43.67826390080154
MSL,PreQ-NegP,42,2025,CCE,0.7,0.1,0.4120788910917508,40.89413699693978
MSL,PreQ-NegP,42,2026,CCE,0.7,0.1,0.3923044565650131,41.62080213427544
MSL,PreQ-NegP,42,2027,CCE,0.7,0.1,0.4175250071393899,39.93773087859154
MSL,PreQ-NegP,42,2025,CCE,0.7,0.3,0.3396127586779527,40.11706402525306
