case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,AccQ,42,2025,F1-PA,0.1,0.04978426817125788,100.30594491399825
100k-20seg-50L,AccQ,42,2026,F1-PA,0.1,0.1039380245319561,100.19305208697915
100k-20seg-50L,AccQ,42,2027,F1-PA,0.1,0.05493959953665398,91.0672431346029
100k-20seg-50L,AccQ,42,2025,F1-PA,0.2,0.090716956592424,97.86736709065735
100k-20seg-50L,AccQ,42,2026,F1-PA,0.2,0.1314658602578386,91.33472200483084
100k-20seg-50L,AccQ,42,2027,F1-PA,0.2,0.09570154095701541,96.8195900786668
100k-20seg-50L,AccQ,42,2025,F1-PA,0.3,0.1295055821371611,90.34435101784766
100k-20seg-50L,AccQ,42,2026,F1-PA,0.3,0.14655716993051168,97.25471795536578
100k-20seg-50L,AccQ,42,2027,F1-PA,0.3,0.15628930817610062,91.5479059331119
100k-20seg-50L,AccQ,42,2025,F1-PA,0.4,0.19741299661225747,97.93187095783651
100k-20seg-50L,AccQ,42,2026,F1-PA,0.4,0.21870722433460077,90.13481019064784
100k-20seg-50L,AccQ,42,2027,F1-PA,0.4,0.18258034466697717,99.140235921368
100k-20seg-50L,AccQ,42,2025,F1-PA,0.5,0.2305012872936544,91.53434191830456
100k-20seg-50L,AccQ,42,2026,F1-PA,0.5,0.23006971809639284,97.17812482267618
100k-20seg-50L,AccQ,42,2027,F1-PA,0.5,0.2270795385549484,90.36674490198493
100k-20seg-50L,AccQ,42,2025,F1-PA,0.6,0.25255255255255254,97.2836040891707
100k-20seg-50L,AccQ,42,2026,F1-PA,0.6,0.2633781763826607,91.29696013405919
100k-20seg-50L,AccQ,42,2027,F1-PA,0.6,0.2490974729241877,97.97233110293746
100k-20seg-50L,AccQ,42,2025,F1-PA,0.7,0.2642075273654221,90.43477708473802
100k-20seg-50L,AccQ,42,2026,F1-PA,0.7,0.26456456456456456,97.61950583197176
100k-20seg-50L,AccQ,42,2027,F1-PA,0.7,0.26404915330436085,91.26477991230786
100k-20seg-50L,AccQ,42,2025,F1-PA,0.8,0.26705062140042435,97.10882883518934
100k-20seg-50L,AccQ,42,2026,F1-PA,0.8,0.2673342436656046,91.21326101012528
100k-20seg-50L,AccQ,42,2027,F1-PA,0.8,0.26660614313814496,97.53292496316135
100k-20seg-50L,AccQ,42,2025,F1-PA,0.9,0.27561395276083217,92.45247603394091
100k-20seg-50L,AccQ,42,2026,F1-PA,0.9,0.27621884307885247,96.8769988976419
100k-20seg-50L,AccQ,42,2027,F1-PA,0.9,0.2744975852936595,90.07868100889027
100k-20seg-50L,AccQ,42,2025,F1-PA,1.0,0.29960891004931134,97.19843091443181
100k-20seg-50L,AccQ,42,2026,F1-PA,1.0,0.29960891004931134,91.02787100709975
100k-20seg-50L,AccQ,42,2027,F1-PA,1.0,0.29960891004931134,98.39976509101689
100k-200seg-50L,AccQ,43,2025,F1-PA,0.1,0.22853688029020555,90.6349930446595
100k-200seg-50L,AccQ,43,2026,F1-PA,0.1,0.24612519124592563,97.60761191137135
100k-200seg-50L,AccQ,43,2027,F1-PA,0.1,0.2596407818277866,92.25481795147061
