case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
100k-20seg-50L,PreQ-NegP-R,42,2025,F1-PA,0.05,0.1,0.01,0.26568154402895056,93.83480413816869
100k-20seg-50L,PreQ-NegP-R,42,2026,F1-PA,0.05,0.1,0.01,0.26568154402895056,90.33379796892405
100k-20seg-50L,PreQ-NegP-R,42,2027,F1-PA,0.05,0.1,0.01,0.26568154402895056,119.87047200091183
100k-20seg-50L,PreQ-NegP-R,42,2025,F1-PA,0.05,0.1,0.05,0.26400958945160324,90.38698207587004
100k-20seg-50L,PreQ-NegP-R,42,2026,F1-PA,0.05,0.1,0.05,0.26400958945160324,118.87111514806747
100k-20seg-50L,PreQ-NegP-R,42,2027,F1-PA,0.05,0.1,0.05,0.26400958945160324,90.26515786536038
100k-20seg-50L,PreQ-NegP-R,42,2025,F1-PA,0.05,0.1,0.1,0.2627889634601044,119.31376904249191
100k-20seg-50L,PreQ-NegP-R,42,2026,F1-PA,0.05,0.1,0.1,0.2627889634601044,90.26801493018866
100k-20seg-50L,PreQ-NegP-R,42,2027,F1-PA,0.05,0.1,0.1,0.2627889634601044,120.53281185217202
100k-20seg-50L,PreQ-NegP-R,42,2025,F1-PA,0.05,0.1,0.3,0.1671875,90.01928195357323
100k-20seg-50L,PreQ-NegP-R,42,2026,F1-PA,0.05,0.1,0.3,0.1671875,118.25702292844653
100k-20seg-50L,PreQ-NegP-R,42,2027,F1-PA,0.05,0.1,0.3,0.1671875,89.93997587822378
100k-20seg-50L,PreQ-NegP-R,42,2025,F1-PA,0.05,0.2,0.01,0.2682704019488429,118.19851887412369
100k-20seg-50L,PreQ-NegP-R,42,2026,F1-PA,0.05,0.2,0.01,0.2682704019488429,90.05076787434518
100k-20seg-50L,PreQ-NegP-R,42,2027,F1-PA,0.05,0.2,0.01,0.2682704019488429,118.5308147687465
100k-20seg-50L,PreQ-NegP-R,42,2025,F1-PA,0.05,0.2,0.05,0.2674965841809625,90.35393595695496
100k-20seg-50L,PreQ-NegP-R,42,2026,F1-PA,0.05,0.2,0.05,0.2674965841809625,118.07647906243801
