case_name,model_name,case_seed,score_seed,metric_name,q,p,val,latency
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.1,0.01,0.2651617757712566,100.50232708454132
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.1,0.01,0.26580178005732386,99.41706992685795
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.1,0.01,0.26504211793020455,101.75295895896852
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.1,0.05,0.26400958945160324,89.14567600004375
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.1,0.05,0.26400958945160324,100.80830310471356
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.1,0.05,0.2535423575520048,88.86038698256016
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.1,0.1,0.26318147871545927,100.73162289336324
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.1,0.1,0.2632207947415596,88.99561990983784
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.1,0.1,0.2417183482075329,100.20385798998177
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.1,0.3,0.21934895041070884,90.8041950315237
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.1,0.3,0.14991320814265424,100.7210910320282
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.1,0.3,0.18181818181818182,88.79910595715046
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.2,0.01,0.26855662246608747,100.62899114564061
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.2,0.01,0.2690487097266758,89.23020679503679
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.2,0.01,0.26835211696618944,100.61369207687676
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.2,0.05,0.2675372001214698,88.84017402306199
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.2,0.05,0.2675372001214698,101.18846385739744
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.2,0.05,0.2675372001214698,89.99952301383018
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.2,0.1,0.26584188292094146,101.81997693143785
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.2,0.1,0.2659622641509434,91.27480094321072
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.2,0.1,0.26568154402895056,100.72275996208191
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.2,0.3,0.25190954021267037,88.86409807018936
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.2,0.3,0.2287621359223301,100.1518361736089
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.2,0.3,0.2270450751252087,89.22169008292258
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.3,0.01,0.27203952447120583,100.61908001080155
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.3,0.01,0.27258663366336633,88.79987010732293
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.3,0.01,0.27187162474926707,100.51411902531981
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.3,0.05,0.27116035703293323,89.23371485434473
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.3,0.05,0.27116035703293323,100.73795216158032
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.3,0.05,0.27116035703293323,89.71720119006932
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.3,0.1,0.268515696434014,100.55734496563673
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.3,0.1,0.2684338817794028,89.5089500118047
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.3,0.1,0.2680663319640955,100.57633789256215
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.3,0.3,0.2530084235860409,89.22801399603486
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.3,0.3,0.26298507462686566,100.8874149993062
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.3,0.3,0.24902255639097745,89.3763059284538
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.4,0.01,0.2757002034110468,100.89400713331997
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.4,0.01,0.2761755485893417,90.06125503219664
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.4,0.01,0.2754846779237023,100.5689981393516
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.4,0.05,0.2748829953198128,91.15629899315536
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.4,0.05,0.2748829953198128,100.10177292861044
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.4,0.05,0.2748829953198128,89.43112194538116
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.4,0.1,0.2710769230769231,101.72758693806827
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.4,0.1,0.2709935404490926,89.24753009341657
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.4,0.1,0.2706605222734255,100.88531114161015
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.4,0.3,0.2644454449947471,97.41122601553798
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.4,0.3,0.26397003745318354,90.27417981997132
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.4,0.3,0.2638119478963917,98.04402990266681
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.5,0.01,0.2794164287979702,89.34583095833659
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.5,0.01,0.2796825396825397,97.14599000290036
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.5,0.01,0.27923930269413627,88.8431950006634
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.5,0.05,0.27870926921860173,96.63060703314841
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.5,0.05,0.27870926921860173,91.0939231980592
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.5,0.05,0.27870926921860173,96.90667991526425
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.5,0.1,0.27326302729528534,89.08431301824749
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.5,0.1,0.27351754113629306,96.64437314495444
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.5,0.1,0.2729666924864446,89.42381315864623
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.5,0.3,0.26540141587588495,98.35867886431515
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.5,0.3,0.26464403724842295,89.19758815318346
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.5,0.3,0.2645248461192013,97.37130906432867
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.6,0.01,0.28314317853125504,89.1434799414128
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.6,0.01,0.28346203346203347,97.31087810359895
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.6,0.01,0.28296129757507626,89.32774397544563
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.6,0.05,0.28264356753288417,97.0231480896473
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.6,0.05,0.28264356753288417,89.12284392863512
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.6,0.05,0.28264356753288417,97.04462601803243
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.6,0.1,0.27578650806072935,89.5440150052309
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.6,0.1,0.2760890003133814,97.6494550704956
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.6,0.1,0.27518350773075123,92.58942794986069
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.6,0.3,0.2662838144174097,96.46208514459431
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.6,0.3,0.26564148952208655,89.99863895587623
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.6,0.3,0.26520168573148706,97.22993802279234
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.7,0.01,0.2871109662701646,88.98887201212347
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.7,0.01,0.2873450750163079,96.89174592494965
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.7,0.01,0.28697068403908793,89.32455512695014
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.7,0.05,0.2866905304262935,97.40472608245909
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.7,0.05,0.2866905304262935,88.52148102596402
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.7,0.05,0.2866905304262935,97.14327496476471
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.7,0.1,0.27840101121820193,90.24185105226934
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.7,0.1,0.27778653633927164,97.73002192378044
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.7,0.1,0.2773492838029277,89.47281795553863
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.7,0.3,0.2674153892851723,96.89159202389419
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.7,0.3,0.26648517846339986,90.18764807842672
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.7,0.3,0.2662838144174097,97.09323104470968
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.8,0.01,0.29119153858866303,88.43619213439524
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.8,0.01,0.29109532463241367,96.72894282266498
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.8,0.01,0.29109532463241367,89.50126101262867
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.8,0.05,0.290855067679102,96.93490504287183
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.8,0.05,0.290855067679102,89.52531102113426
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.8,0.05,0.290855067679102,96.71440394595265
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.8,0.1,0.2810207336523126,88.89527106657624
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.8,0.1,0.28075207138304653,96.48863901384175
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.8,0.1,0.2795937797524595,89.0654968097806
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.8,0.3,0.26818873668188736,96.72640892677009
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.8,0.3,0.26705062140042435,88.59971119090915
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.8,0.3,0.26713159490600363,100.55015794932842
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.9,0.01,0.29529076587900116,92.00852387584746
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.9,0.01,0.2952412868632708,97.55921992473304
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.9,0.01,0.2952412868632708,89.09535501152277
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.9,0.05,0.295142378559464,98.53553608991206
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.9,0.05,0.295142378559464,89.39315797761083
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.9,0.05,0.295142378559464,96.18694405071437
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.9,0.1,0.2833252934555395,88.6299351695925
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.9,0.1,0.2830522088353414,96.9820749014616
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.9,0.1,0.2819651144183069,89.08024104312062
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,0.9,0.3,0.2690487097266758,96.66959987953305
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,0.9,0.3,0.2678625722103983,89.40698904916644
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,0.9,0.3,0.26831125323587635,97.82112413085997
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,1.0,0.01,0.29960891004931134,89.33192188851535
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,1.0,0.01,0.29960891004931134,97.02167613431811
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,1.0,0.01,0.29960891004931134,89.24595499411225
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,1.0,0.05,0.29960891004931134,96.86250681988895
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,1.0,0.05,0.29960891004931134,89.14564992301166
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,1.0,0.05,0.29960891004931134,96.84195998124778
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,1.0,0.1,0.2862248213125406,89.35492602176964
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,1.0,0.1,0.2852979274611399,96.96074784733355
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,1.0,0.1,0.2845147747456806,89.22945591621101
100k-20seg-50L,PreQ-NegP,42,2025,F1-PA,1.0,0.3,0.2699142156862745,96.70747583732009
100k-20seg-50L,PreQ-NegP,42,2026,F1-PA,1.0,0.3,0.268720451425957,90.01811593770981
100k-20seg-50L,PreQ-NegP,42,2027,F1-PA,1.0,0.3,0.26900763358778623,98.07792096398771
100k-200seg-50L,PreQ-NegP,43,2025,F1-PA,0.1,0.01,0.8073241372539395,89.61825189180672
100k-200seg-50L,PreQ-NegP,43,2026,F1-PA,0.1,0.01,0.8074430479183032,97.3425810225308
100k-200seg-50L,PreQ-NegP,43,2027,F1-PA,0.1,0.01,0.8073637702503682,90.25100292637944
100k-200seg-50L,PreQ-NegP,43,2025,F1-PA,0.1,0.05,0.79273753894081,97.95828000642359
100k-200seg-50L,PreQ-NegP,43,2026,F1-PA,0.1,0.05,0.79273753894081,90.26538883335888
100k-200seg-50L,PreQ-NegP,43,2027,F1-PA,0.1,0.05,0.7903823644166992,97.72439301013947
100k-200seg-50L,PreQ-NegP,43,2025,F1-PA,0.1,0.1,0.7787011982991883,90.0972040835768
100k-200seg-50L,PreQ-NegP,43,2026,F1-PA,0.1,0.1,0.772773747504747,98.04331115446985
100k-200seg-50L,PreQ-NegP,43,2027,F1-PA,0.1,0.1,0.7660570592538405,91.25796798616648
100k-200seg-50L,PreQ-NegP,43,2025,F1-PA,0.1,0.3,0.6361016505108724,98.03392505273223
100k-200seg-50L,PreQ-NegP,43,2026,F1-PA,0.1,0.3,0.6198005093378608,89.88325111567974
100k-200seg-50L,PreQ-NegP,43,2027,F1-PA,0.1,0.3,0.6172053282386032,97.64684201218188
100k-200seg-50L,PreQ-NegP,43,2025,F1-PA,0.2,0.01,0.8377992868059093,89.34314781799912
100k-200seg-50L,PreQ-NegP,43,2026,F1-PA,0.2,0.01,0.8378419685159713,96.95433499291539
100k-200seg-50L,PreQ-NegP,43,2027,F1-PA,0.2,0.01,0.8380127388535031,89.17285106144845
100k-200seg-50L,PreQ-NegP,43,2025,F1-PA,0.2,0.05,0.8305221694778305,96.91216284409165
100k-200seg-50L,PreQ-NegP,43,2026,F1-PA,0.2,0.05,0.8305221694778305,89.54040193930268
100k-200seg-50L,PreQ-NegP,43,2027,F1-PA,0.2,0.05,0.8305221694778305,97.20291709527373
100k-200seg-50L,PreQ-NegP,43,2025,F1-PA,0.2,0.1,0.8060579326569622,89.69327295199037
100k-200seg-50L,PreQ-NegP,43,2026,F1-PA,0.2,0.1,0.8032392638036809,97.67090482637286
100k-200seg-50L,PreQ-NegP,43,2027,F1-PA,0.2,0.1,0.8040679964626117,91.59583994187415
100k-200seg-50L,PreQ-NegP,43,2025,F1-PA,0.2,0.3,0.7449214352146458,98.16078096628189
100k-200seg-50L,PreQ-NegP,43,2026,F1-PA,0.2,0.3,0.7330827067669173,89.85679503530264
100k-200seg-50L,PreQ-NegP,43,2027,F1-PA,0.2,0.3,0.7289330024813896,97.82136790454388
100k-200seg-50L,PreQ-NegP,43,2025,F1-PA,0.3,0.01,0.8709421172483186,89.46252893656492
