case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,AccQ-R,42,2025,F1,0.05,0.1,0.0,39.250154979527
100k-20seg-50L,AccQ-R,42,2026,F1,0.05,0.1,0.0,35.555897979065776
100k-20seg-50L,AccQ-R,42,2027,F1,0.05,0.1,0.0,35.61269189231098
100k-20seg-50L,AccQ-R,42,2025,F1,0.05,0.2,0.0,35.72051995433867
100k-20seg-50L,AccQ-R,42,2026,F1,0.05,0.2,0.0,35.73211585171521
100k-20seg-50L,AccQ-R,42,2027,F1,0.05,0.2,0.0,35.71029705926776
100k-20seg-50L,AccQ-R,42,2025,F1,0.05,0.3,0.0,35.63142707571387
100k-20seg-50L,AccQ-R,42,2026,F1,0.05,0.3,0.0,35.64435197040439
100k-20seg-50L,AccQ-R,42,2027,F1,0.05,0.3,0.0,35.66571488045156
100k-20seg-50L,AccQ-R,42,2025,F1,0.05,0.4,0.0,35.29853094369173
100k-20seg-50L,AccQ-R,42,2026,F1,0.05,0.4,0.0,35.71913600899279
100k-20seg-50L,AccQ-R,42,2027,F1,0.05,0.4,0.0,35.38251109421253
100k-20seg-50L,AccQ-R,42,2025,F1,0.05,0.5,0.0,35.64987704157829
100k-20seg-50L,AccQ-R,42,2026,F1,0.05,0.5,0.0,36.51604102924466
100k-20seg-50L,AccQ-R,42,2027,F1,0.05,0.5,0.0,35.82982602529228
100k-20seg-50L,AccQ-R,42,2025,F1,0.05,0.6,0.0,35.390663892030716
100k-20seg-50L,AccQ-R,42,2026,F1,0.05,0.6,0.0,35.6843201443553
100k-20seg-50L,AccQ-R,42,2027,F1,0.05,0.6,0.0,35.475716926157475
100k-20seg-50L,AccQ-R,42,2025,F1,0.05,0.7,0.0,35.98468913696706
100k-20seg-50L,AccQ-R,42,2026,F1,0.05,0.7,0.0,35.440166015177965
100k-20seg-50L,AccQ-R,42,2027,F1,0.05,0.7,0.0,35.54767114110291
100k-20seg-50L,AccQ-R,42,2025,F1,0.05,0.8,0.057813297058323415,39.136997889727354
100k-20seg-50L,AccQ-R,42,2026,F1,0.05,0.8,0.057813297058323415,39.08865596167743
100k-20seg-50L,AccQ-R,42,2027,F1,0.05,0.8,0.057813297058323415,42.69939404912293
100k-20seg-50L,AccQ-R,42,2025,F1,0.05,0.9,0.1217480020404693,39.65276898816228
100k-20seg-50L,AccQ-R,42,2026,F1,0.05,0.9,0.1217480020404693,38.99463918060064
100k-20seg-50L,AccQ-R,42,2027,F1,0.05,0.9,0.1217480020404693,39.093239000067115
100k-20seg-50L,AccQ-R,42,2025,F1,0.05,1.0,0.29960891004931134,38.554845843464136
100k-20seg-50L,AccQ-R,42,2026,F1,0.05,1.0,0.29960891004931134,38.81555190309882
100k-20seg-50L,AccQ-R,42,2027,F1,0.05,1.0,0.29960891004931134,38.4518860373646
100k-20seg-50L,AccQ-R,42,2025,F1,0.1,0.1,0.0,35.796935902908444
100k-20seg-50L,AccQ-R,42,2026,F1,0.1,0.1,0.0,36.65926307439804
100k-20seg-50L,AccQ-R,42,2027,F1,0.1,0.1,0.0,35.827992018312216
100k-20seg-50L,AccQ-R,42,2025,F1,0.1,0.2,0.0,35.58678715489805
100k-20seg-50L,AccQ-R,42,2026,F1,0.1,0.2,0.0,35.770924063399434
100k-20seg-50L,AccQ-R,42,2027,F1,0.1,0.2,0.0,35.67775501869619
100k-20seg-50L,AccQ-R,42,2025,F1,0.1,0.3,0.0,35.82174703478813
100k-20seg-50L,AccQ-R,42,2026,F1,0.1,0.3,0.0,35.43308307416737
100k-20seg-50L,AccQ-R,42,2027,F1,0.1,0.3,0.0,35.732846008613706
100k-20seg-50L,AccQ-R,42,2025,F1,0.1,0.4,0.0,35.61226394958794
100k-20seg-50L,AccQ-R,42,2026,F1,0.1,0.4,0.0,35.777901066467166
100k-20seg-50L,AccQ-R,42,2027,F1,0.1,0.4,0.0,35.44635302387178
100k-20seg-50L,AccQ-R,42,2025,F1,0.1,0.5,0.0,35.56535206735134
100k-20seg-50L,AccQ-R,42,2026,F1,0.1,0.5,0.0,35.32896004617214
100k-20seg-50L,AccQ-R,42,2027,F1,0.1,0.5,0.0,35.88248300366104
100k-20seg-50L,AccQ-R,42,2025,F1,0.1,0.6,0.0,36.804917035624385
100k-20seg-50L,AccQ-R,42,2026,F1,0.1,0.6,0.0,35.70766490884125
100k-20seg-50L,AccQ-R,42,2027,F1,0.1,0.6,0.0,35.51528393290937
100k-20seg-50L,AccQ-R,42,2025,F1,0.1,0.7,0.0,35.6685989536345
100k-20seg-50L,AccQ-R,42,2026,F1,0.1,0.7,0.0,35.08932585828006
100k-20seg-50L,AccQ-R,42,2027,F1,0.1,0.7,0.0,36.101883044466376
100k-20seg-50L,AccQ-R,42,2025,F1,0.1,0.8,0.0,35.14534793794155
100k-20seg-50L,AccQ-R,42,2026,F1,0.1,0.8,0.0,35.18065391108394
100k-20seg-50L,AccQ-R,42,2027,F1,0.1,0.8,0.0,35.551880951970816
100k-20seg-50L,AccQ-R,42,2025,F1,0.1,0.9,0.12820948818228192,38.585597882047296
100k-20seg-50L,AccQ-R,42,2026,F1,0.1,0.9,0.12820948818228192,38.21078594774008
100k-20seg-50L,AccQ-R,42,2027,F1,0.1,0.9,0.12820948818228192,38.24883815832436
100k-20seg-50L,AccQ-R,42,2025,F1,0.1,1.0,0.29960891004931134,38.294804049655795
100k-20seg-50L,AccQ-R,42,2026,F1,0.1,1.0,0.29960891004931134,38.35618915036321
100k-20seg-50L,AccQ-R,42,2027,F1,0.1,1.0,0.29960891004931134,38.12433616258204
100k-200seg-50L,AccQ-R,43,2025,F1,0.05,0.1,0.0,35.23223916999996
100k-200seg-50L,AccQ-R,43,2026,F1,0.05,0.1,0.0,35.14312510378659
100k-200seg-50L,AccQ-R,43,2027,F1,0.05,0.1,0.0,36.222583847120404
100k-200seg-50L,AccQ-R,43,2025,F1,0.05,0.2,0.0,36.36820404790342
100k-200seg-50L,AccQ-R,43,2026,F1,0.05,0.2,0.0,35.461527993902564
100k-200seg-50L,AccQ-R,43,2027,F1,0.05,0.2,0.0,35.14271997846663
100k-200seg-50L,AccQ-R,43,2025,F1,0.05,0.3,0.0,35.31424398534
100k-200seg-50L,AccQ-R,43,2026,F1,0.05,0.3,0.0,35.17788904719055
100k-200seg-50L,AccQ-R,43,2027,F1,0.05,0.3,0.0,35.17819498665631
100k-200seg-50L,AccQ-R,43,2025,F1,0.05,0.4,0.0,35.09615105576813
100k-200seg-50L,AccQ-R,43,2026,F1,0.05,0.4,0.0,35.24015611037612
100k-200seg-50L,AccQ-R,43,2027,F1,0.05,0.4,0.0,36.500521935522556
100k-200seg-50L,AccQ-R,43,2025,F1,0.05,0.5,0.0,35.23657284677029
100k-200seg-50L,AccQ-R,43,2026,F1,0.05,0.5,0.0,35.124780144542456
100k-200seg-50L,AccQ-R,43,2027,F1,0.05,0.5,0.0,35.24713893420994
100k-200seg-50L,AccQ-R,43,2025,F1,0.05,0.6,0.0,35.02459614537656
100k-200seg-50L,AccQ-R,43,2026,F1,0.05,0.6,0.0,35.09891498833895
100k-200seg-50L,AccQ-R,43,2027,F1,0.05,0.6,0.0,35.16609314829111
100k-200seg-50L,AccQ-R,43,2025,F1,0.05,0.7,0.0,35.14826716855168
100k-200seg-50L,AccQ-R,43,2026,F1,0.05,0.7,0.0,35.07944289594889
100k-200seg-50L,AccQ-R,43,2027,F1,0.05,0.7,0.0,35.28953902423382
100k-200seg-50L,AccQ-R,43,2025,F1,0.05,0.8,0.20131588898132044,38.43081905506551
100k-200seg-50L,AccQ-R,43,2026,F1,0.05,0.8,0.20131588898132044,38.52391499094665
100k-200seg-50L,AccQ-R,43,2027,F1,0.05,0.8,0.20131588898132044,38.315015845000744
100k-200seg-50L,AccQ-R,43,2025,F1,0.05,0.9,0.34470241246313243,38.60518499277532
100k-200seg-50L,AccQ-R,43,2026,F1,0.05,0.9,0.34470241246313243,38.52525702677667
100k-200seg-50L,AccQ-R,43,2027,F1,0.05,0.9,0.34470241246313243,42.190050939098
100k-200seg-50L,AccQ-R,43,2025,F1,0.05,1.0,0.7562580352416245,39.07632897607982
100k-200seg-50L,AccQ-R,43,2026,F1,0.05,1.0,0.7562580352416245,38.102485006675124
100k-200seg-50L,AccQ-R,43,2027,F1,0.05,1.0,0.7562580352416245,38.10543310828507
100k-200seg-50L,AccQ-R,43,2025,F1,0.1,0.1,0.0,35.39323294535279
100k-200seg-50L,AccQ-R,43,2026,F1,0.1,0.1,0.0,35.042802104726434
100k-200seg-50L,AccQ-R,43,2027,F1,0.1,0.1,0.0,35.29778099618852
100k-200seg-50L,AccQ-R,43,2025,F1,0.1,0.2,0.0,35.14097910374403
100k-200seg-50L,AccQ-R,43,2026,F1,0.1,0.2,0.0,35.314747830852866
100k-200seg-50L,AccQ-R,43,2027,F1,0.1,0.2,0.0,35.25649709627032
100k-200seg-50L,AccQ-R,43,2025,F1,0.1,0.3,0.0,35.176887176930904
100k-200seg-50L,AccQ-R,43,2026,F1,0.1,0.3,0.0,35.20044614560902
100k-200seg-50L,AccQ-R,43,2027,F1,0.1,0.3,0.0,35.38565197959542
