case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,AccQ,42,2025,F1,0.1,0.0017003910899506887,43.74564089812338
100k-20seg-50L,AccQ,42,2026,F1,0.1,0.002380547525930964,47.53601201809943
100k-20seg-50L,AccQ,42,2027,F1,0.1,0.0013603128719605509,51.09589803032577
100k-20seg-50L,AccQ,42,2025,F1,0.2,0.0030607039619112396,50.22165994159877
100k-20seg-50L,AccQ,42,2026,F1,0.2,0.0037408603978915152,42.884164955466986
100k-20seg-50L,AccQ,42,2027,F1,0.2,0.0037408603978915152,44.647094095125794
100k-20seg-50L,AccQ,42,2025,F1,0.3,0.005781329705832341,42.17570694163442
100k-20seg-50L,AccQ,42,2026,F1,0.3,0.004421016833871791,45.159768080338836
100k-20seg-50L,AccQ,42,2027,F1,0.3,0.006121407923822479,43.158543994650245
100k-20seg-50L,AccQ,42,2025,F1,0.4,0.009522190103723856,45.75197794474661
100k-20seg-50L,AccQ,42,2026,F1,0.4,0.008501955449753443,43.34606206975877
100k-20seg-50L,AccQ,42,2027,F1,0.4,0.009522190103723856,46.41878115944564
100k-20seg-50L,AccQ,42,2025,F1,0.5,0.013263050501615371,42.32578305527568
100k-20seg-50L,AccQ,42,2026,F1,0.5,0.014283285155585785,45.126906130462885
100k-20seg-50L,AccQ,42,2027,F1,0.5,0.013943206937595647,42.36485017463565
100k-20seg-50L,AccQ,42,2025,F1,0.6,0.02108484951538854,47.58815816603601
100k-20seg-50L,AccQ,42,2026,F1,0.6,0.024485631695289917,43.18884201347828
100k-20seg-50L,AccQ,42,2027,F1,0.6,0.020744771297398403,46.64423502981663
100k-20seg-50L,AccQ,42,2025,F1,0.7,0.03162727427308281,40.78452498652041
100k-20seg-50L,AccQ,42,2026,F1,0.7,0.034687978234994046,45.9131000097841
100k-20seg-50L,AccQ,42,2027,F1,0.7,0.03026696140112226,43.029224034398794
100k-20seg-50L,AccQ,42,2025,F1,0.8,0.055772827750382586,45.44112901203334
100k-20seg-50L,AccQ,42,2026,F1,0.8,0.058153375276313556,41.112960083410144
100k-20seg-50L,AccQ,42,2027,F1,0.8,0.052031967352491076,45.84353696554899
100k-20seg-50L,AccQ,42,2025,F1,0.9,0.12548886243836083,43.1512868963182
100k-20seg-50L,AccQ,42,2026,F1,0.9,0.13024995749022275,43.94331411458552
100k-20seg-50L,AccQ,42,2027,F1,0.9,0.11664682877061724,40.607781847938895
100k-20seg-50L,AccQ,42,2025,F1,1.0,0.29960891004931134,45.892282854765654
100k-20seg-50L,AccQ,42,2026,F1,1.0,0.29960891004931134,44.00052013806999
100k-20seg-50L,AccQ,42,2027,F1,1.0,0.29960891004931134,44.16748508810997
100k-200seg-50L,AccQ,43,2025,F1,0.1,0.005747561067836346,40.48611898906529
100k-200seg-50L,AccQ,43,2026,F1,0.1,0.006050064281932995,44.97312381863594
100k-200seg-50L,AccQ,43,2027,F1,0.1,0.00680632231717462,43.102690018713474
100k-200seg-50L,AccQ,43,2025,F1,0.2,0.014973909097784163,44.03390595689416
100k-200seg-50L,AccQ,43,2026,F1,0.2,0.014671405883687514,40.50771193578839
100k-200seg-50L,AccQ,43,2027,F1,0.2,0.014973909097784163,45.233401004225016
100k-200seg-50L,AccQ,43,2025,F1,0.3,0.02571277319821523,43.60735998488963
100k-200seg-50L,AccQ,43,2026,F1,0.3,0.02571277319821523,42.59897209703922
100k-200seg-50L,AccQ,43,2027,F1,0.3,0.02541026998411858,42.494677007198334
100k-200seg-50L,AccQ,43,2025,F1,0.4,0.04023292747485442,40.0356650352478
100k-200seg-50L,AccQ,43,2026,F1,0.4,0.04371171443696589,42.29674092493951
100k-200seg-50L,AccQ,43,2027,F1,0.4,0.04235044997353097,39.13568984717131
100k-200seg-50L,AccQ,43,2025,F1,0.5,0.05883687514179838,41.90348903648555
100k-200seg-50L,AccQ,43,2026,F1,0.5,0.0668532103153596,38.980358047410846
100k-200seg-50L,AccQ,43,2027,F1,0.5,0.06095439764047493,41.61907685920596
100k-200seg-50L,AccQ,43,2025,F1,0.6,0.0875746804809801,39.519340032711625
100k-200seg-50L,AccQ,43,2026,F1,0.6,0.09695228011797626,45.42060289531946
100k-200seg-50L,AccQ,43,2027,F1,0.6,0.08908719655146335,39.9163078982383
100k-200seg-50L,AccQ,43,2025,F1,0.7,0.13053013688270437,42.159067932516336
100k-200seg-50L,AccQ,43,2026,F1,0.7,0.13869772366331393,39.49340502731502
100k-200seg-50L,AccQ,43,2027,F1,0.7,0.12856386599107616,42.473287088796496
100k-200seg-50L,AccQ,43,2025,F1,0.8,0.19556832791348408,39.76778802461922
100k-200seg-50L,AccQ,43,2026,F1,0.8,0.21129849504650988,42.12493193335831
100k-200seg-50L,AccQ,43,2027,F1,0.8,0.19738334719806397,40.425969986245036
100k-200seg-50L,AccQ,43,2025,F1,0.9,0.3359298192543296,42.473793029785156
100k-200seg-50L,AccQ,43,2026,F1,0.9,0.3472736897829539,40.161055978387594
100k-200seg-50L,AccQ,43,2027,F1,0.9,0.3324510322922181,46.5682209469378
100k-200seg-50L,AccQ,43,2025,F1,1.0,0.7562580352416245,42.77167306281626
100k-200seg-50L,AccQ,43,2026,F1,1.0,0.7562580352416245,41.64967010729015
100k-200seg-50L,AccQ,43,2027,F1,1.0,0.7562580352416245,40.050958981737494
100k-20seg-50H,AccQ,44,2025,F1,0.1,0.001984126984126984,43.19806396961212
100k-20seg-50H,AccQ,44,2026,F1,0.1,0.0013227513227513227,39.282835088670254
100k-20seg-50H,AccQ,44,2027,F1,0.1,0.000992063492063492,55.898109916597605
100k-20seg-50H,AccQ,44,2025,F1,0.2,0.0036375661375661374,44.146074913442135
100k-20seg-50H,AccQ,44,2026,F1,0.2,0.004629629629629629,45.502510853111744
100k-20seg-50H,AccQ,44,2027,F1,0.2,0.0026455026455026454,41.984980925917625
100k-20seg-50H,AccQ,44,2025,F1,0.3,0.005291005291005291,45.822805957868695
100k-20seg-50H,AccQ,44,2026,F1,0.3,0.005952380952380952,43.206722009927034
100k-20seg-50H,AccQ,44,2027,F1,0.3,0.005291005291005291,46.035361010581255
100k-20seg-50H,AccQ,44,2025,F1,0.4,0.010582010582010581,41.65739193558693
100k-20seg-50H,AccQ,44,2026,F1,0.4,0.010912698412698412,43.59869682230055
100k-20seg-50H,AccQ,44,2027,F1,0.4,0.010912698412698412,41.30063089542091
100k-20seg-50H,AccQ,44,2025,F1,0.5,0.01455026455026455,44.600246008485556
100k-20seg-50H,AccQ,44,2026,F1,0.5,0.01917989417989418,41.151399025693536
100k-20seg-50H,AccQ,44,2027,F1,0.5,0.01521164021164021,43.7780967913568
100k-20seg-50H,AccQ,44,2025,F1,0.6,0.02414021164021164,43.320572935044765
100k-20seg-50H,AccQ,44,2026,F1,0.6,0.02447089947089947,45.45509489253163
100k-20seg-50H,AccQ,44,2027,F1,0.6,0.0248015873015873,43.41545607894659
100k-20seg-50H,AccQ,44,2025,F1,0.7,0.03505291005291005,45.341119868680835
100k-20seg-50H,AccQ,44,2026,F1,0.7,0.03902116402116402,41.877578012645245
100k-20seg-50H,AccQ,44,2027,F1,0.7,0.036375661375661374,44.1551071126014
100k-20seg-50H,AccQ,44,2025,F1,0.8,0.06481481481481481,42.110878974199295
100k-20seg-50H,AccQ,44,2026,F1,0.8,0.0667989417989418,44.99635798856616
100k-20seg-50H,AccQ,44,2027,F1,0.8,0.06349206349206349,43.47820510156453
100k-20seg-50H,AccQ,44,2025,F1,0.9,0.14417989417989419,44.74796401336789
100k-20seg-50H,AccQ,44,2026,F1,0.9,0.1455026455026455,41.607881197705865
100k-20seg-50H,AccQ,44,2027,F1,0.9,0.14252645502645503,44.23913895152509
100k-20seg-50H,AccQ,44,2025,F1,1.0,0.34656084656084657,41.58886498771608
100k-20seg-50H,AccQ,44,2026,F1,1.0,0.34656084656084657,44.59926811978221
100k-20seg-50H,AccQ,44,2027,F1,1.0,0.34656084656084657,43.018673080950975
100k-200seg-50H,AccQ,45,2025,F1,0.1,0.0071298755766811125,44.203087920323014
100k-200seg-50H,AccQ,45,2026,F1,0.1,0.009087096323221026,43.679397786036134
100k-200seg-50H,AccQ,45,2027,F1,0.1,0.008527890395638194,45.39302596822381
100k-200seg-50H,AccQ,45,2025,F1,0.2,0.01537816300852789,40.564856957644224
100k-200seg-50H,AccQ,45,2026,F1,0.2,0.01831399412833776,42.069592978805304
100k-200seg-50H,AccQ,45,2027,F1,0.2,0.01635677338179785,39.656523149460554
100k-200seg-50H,AccQ,45,2025,F1,0.3,0.026841884523975953,41.937380097806454
100k-200seg-50H,AccQ,45,2026,F1,0.3,0.029917517125681532,39.35154201462865
100k-200seg-50H,AccQ,45,2027,F1,0.3,0.02712148748776737,41.46499093621969
100k-200seg-50H,AccQ,45,2025,F1,0.4,0.04277925346008668,40.154560934752226
100k-200seg-50H,AccQ,45,2026,F1,0.4,0.04599468754368796,41.51386488229036
100k-200seg-50H,AccQ,45,2027,F1,0.4,0.04222004753250384,39.32119207456708
100k-200seg-50H,AccQ,45,2025,F1,0.5,0.06333007129875577,42.888555908575654
100k-200seg-50H,AccQ,45,2026,F1,0.5,0.06934153502027121,39.63243495672941
100k-200seg-50H,AccQ,45,2027,F1,0.5,0.06458828463581714,47.61334205977619
100k-200seg-50H,AccQ,45,2025,F1,0.6,0.09240877953306305,40.46954493969679
100k-200seg-50H,AccQ,45,2026,F1,0.6,0.09967845659163987,42.23170503973961
100k-200seg-50H,AccQ,45,2027,F1,0.6,0.09003215434083602,39.46140990592539
100k-200seg-50H,AccQ,45,2025,F1,0.7,0.13365021669229693,45.09490611962974
100k-200seg-50H,AccQ,45,2026,F1,0.7,0.14217810708793513,39.98305997811258
