case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,LowDisAccQ,42,2025,F1,0.1,0.0017003910899506887,45.63262895680964
100k-20seg-50L,LowDisAccQ,42,2026,F1,0.1,0.002380547525930964,43.67006313987076
100k-20seg-50L,LowDisAccQ,42,2027,F1,0.1,0.0013603128719605509,38.47335395403206
100k-20seg-50L,LowDisAccQ,42,2025,F1,0.2,0.0030607039619112396,43.40679896995425
100k-20seg-50L,LowDisAccQ,42,2026,F1,0.2,0.0037408603978915152,43.64308901131153
100k-20seg-50L,LowDisAccQ,42,2027,F1,0.2,0.0037408603978915152,45.45881017111242
100k-20seg-50L,LowDisAccQ,42,2025,F1,0.3,0.005781329705832341,39.341208059340715
100k-20seg-50L,LowDisAccQ,42,2026,F1,0.3,0.004421016833871791,44.41228206269443
100k-20seg-50L,LowDisAccQ,42,2027,F1,0.3,0.006121407923822479,41.28344915807247
100k-20seg-50L,LowDisAccQ,42,2025,F1,0.4,0.009522190103723856,42.09156194701791
100k-20seg-50L,LowDisAccQ,42,2026,F1,0.4,0.008501955449753443,39.575682021677494
100k-20seg-50L,LowDisAccQ,42,2027,F1,0.4,0.009522190103723856,42.47825709171593
100k-20seg-50L,LowDisAccQ,42,2025,F1,0.5,0.013263050501615371,58.16084495745599
100k-20seg-50L,LowDisAccQ,42,2026,F1,0.5,0.014283285155585785,49.45983993820846
100k-20seg-50L,LowDisAccQ,42,2027,F1,0.5,0.013943206937595647,42.57406899705529
100k-20seg-50L,LowDisAccQ,42,2025,F1,0.6,0.02108484951538854,47.385378973558545
100k-20seg-50L,LowDisAccQ,42,2026,F1,0.6,0.024485631695289917,43.94295602105558
100k-20seg-50L,LowDisAccQ,42,2027,F1,0.6,0.020744771297398403,47.87980508990586
100k-20seg-50L,LowDisAccQ,42,2025,F1,0.7,0.03162727427308281,49.56222604960203
100k-20seg-50L,LowDisAccQ,42,2026,F1,0.7,0.034687978234994046,46.22170398943126
100k-20seg-50L,LowDisAccQ,42,2027,F1,0.7,0.03026696140112226,42.158870957791805
100k-20seg-50L,LowDisAccQ,42,2025,F1,0.8,0.055772827750382586,44.38556404784322
100k-20seg-50L,LowDisAccQ,42,2026,F1,0.8,0.058153375276313556,40.8190640155226
100k-20seg-50L,LowDisAccQ,42,2027,F1,0.8,0.052031967352491076,46.43850796855986
100k-20seg-50L,LowDisAccQ,42,2025,F1,0.9,0.12548886243836083,42.41460980847478
100k-20seg-50L,LowDisAccQ,42,2026,F1,0.9,0.13024995749022275,46.06783320195973
100k-20seg-50L,LowDisAccQ,42,2027,F1,0.9,0.11664682877061724,40.50467791967094
100k-20seg-50L,LowDisAccQ,42,2025,F1,1.0,0.29960891004931134,46.70986789278686
100k-20seg-50L,LowDisAccQ,42,2026,F1,1.0,0.29960891004931134,42.86472802050412
100k-20seg-50L,LowDisAccQ,42,2027,F1,1.0,0.29960891004931134,44.425504049286246
100k-200seg-50L,LowDisAccQ,43,2025,F1,0.1,0.005747561067836346,40.96107394434512
100k-200seg-50L,LowDisAccQ,43,2026,F1,0.1,0.006050064281932995,44.84576894901693
100k-200seg-50L,LowDisAccQ,43,2027,F1,0.1,0.00680632231717462,42.350691044703126
100k-200seg-50L,LowDisAccQ,43,2025,F1,0.2,0.014973909097784163,46.2016670498997
100k-200seg-50L,LowDisAccQ,43,2026,F1,0.2,0.014671405883687514,41.26081592403352
100k-200seg-50L,LowDisAccQ,43,2027,F1,0.2,0.014973909097784163,45.31124187633395
100k-200seg-50L,LowDisAccQ,43,2025,F1,0.3,0.02571277319821523,43.54414087720215
100k-200seg-50L,LowDisAccQ,43,2026,F1,0.3,0.02571277319821523,44.52791390940547
