case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,AccQ,42,2025,PATE,0.1,0.010148662139653809,10765.22173709236
100k-20seg-50L,AccQ,42,2026,PATE,0.1,0.010445506692810705,5546.501561999321
100k-20seg-50L,AccQ,42,2027,PATE,0.1,0.009930049456203141,5796.701561193913
100k-20seg-50L,AccQ,42,2025,PATE,0.2,0.011175430844197497,6850.772846955806
100k-20seg-50L,AccQ,42,2026,PATE,0.2,0.011602959511430342,6804.018928902224
100k-20seg-50L,AccQ,42,2027,PATE,0.2,0.011214795985547081,6893.092275131494
100k-20seg-50L,AccQ,42,2025,PATE,0.3,0.01236552355597804,8079.563990002498
100k-20seg-50L,AccQ,42,2026,PATE,0.3,0.012691321336369379,7775.716749019921
100k-20seg-50L,AccQ,42,2027,PATE,0.3,0.01242974924569197,7713.449385017157
100k-20seg-50L,AccQ,42,2025,PATE,0.4,0.014096192004126856,8603.508042171597
100k-20seg-50L,AccQ,42,2026,PATE,0.4,0.013978961637032302,8529.874023981392
100k-20seg-50L,AccQ,42,2027,PATE,0.4,0.01424491312963025,8536.762424977496
100k-20seg-50L,AccQ,42,2025,PATE,0.5,0.016416938673341368,8635.978650068864
100k-20seg-50L,AccQ,42,2026,PATE,0.5,0.015936951655017226,8726.11436014995
100k-20seg-50L,AccQ,42,2027,PATE,0.5,0.016471972511941765,8612.413599155843
100k-20seg-50L,AccQ,42,2025,PATE,0.6,0.019766621559433584,8376.551802968606
100k-20seg-50L,AccQ,42,2026,PATE,0.6,0.01992095434145633,8447.575220139697
100k-20seg-50L,AccQ,42,2027,PATE,0.6,0.01994787242585804,8332.575303968042
100k-20seg-50L,AccQ,42,2025,PATE,0.7,0.02634690886772969,7656.690516974777
100k-20seg-50L,AccQ,42,2026,PATE,0.7,0.025946422570455444,7786.98029788211
100k-20seg-50L,AccQ,42,2027,PATE,0.7,0.025541608695440962,7765.693226130679
100k-20seg-50L,AccQ,42,2025,PATE,0.8,0.0383213222595339,6962.671261979267
100k-20seg-50L,AccQ,42,2026,PATE,0.8,0.03942842058080399,7012.780538992956
100k-20seg-50L,AccQ,42,2027,PATE,0.8,0.0375816606444648,6741.6723219212145
100k-20seg-50L,AccQ,42,2025,PATE,0.9,0.07426639382999706,5683.6133289616555
100k-20seg-50L,AccQ,42,2026,PATE,0.9,0.07856676209435313,5924.319126177579
100k-20seg-50L,AccQ,42,2027,PATE,0.9,0.07299186354259413,5820.01554989256
100k-20seg-50L,AccQ,42,2025,PATE,1.0,0.9956250606932577,1887.1714898850769
100k-20seg-50L,AccQ,42,2026,PATE,1.0,0.9961225496665576,1904.8489350825548
100k-20seg-50L,AccQ,42,2027,PATE,1.0,0.9955364422902409,1958.1190061289817
100k-200seg-50L,AccQ,43,2025,PATE,0.1,0.09002892808626801,89664.4615510013
100k-200seg-50L,AccQ,43,2026,PATE,0.1,0.0907986682472152,91029.36131111346
