case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,LowDisAccQ,42,2025,PATE,0.1,0.010148662139653809,10538.44244312495
100k-20seg-50L,LowDisAccQ,42,2026,PATE,0.1,0.010445506692810705,5529.180231038481
100k-20seg-50L,LowDisAccQ,42,2027,PATE,0.1,0.009930049456203141,5389.2674159724265
100k-20seg-50L,LowDisAccQ,42,2025,PATE,0.2,0.011175430844197497,6805.496101034805
100k-20seg-50L,LowDisAccQ,42,2026,PATE,0.2,0.011602959511430342,6726.597656030208
100k-20seg-50L,LowDisAccQ,42,2027,PATE,0.2,0.011214795985547081,6847.872726852074
100k-20seg-50L,LowDisAccQ,42,2025,PATE,0.3,0.01236552355597804,7879.865536931902
100k-20seg-50L,LowDisAccQ,42,2026,PATE,0.3,0.012691321336369379,7648.777560796589
100k-20seg-50L,LowDisAccQ,42,2027,PATE,0.3,0.01242974924569197,7889.478759840131
100k-20seg-50L,LowDisAccQ,42,2025,PATE,0.4,0.014096192004126856,8409.883561078459
100k-20seg-50L,LowDisAccQ,42,2026,PATE,0.4,0.013978961637032302,8471.681949915364
100k-20seg-50L,LowDisAccQ,42,2027,PATE,0.4,0.01424491312963025,8582.409161143005
100k-20seg-50L,LowDisAccQ,42,2025,PATE,0.5,0.016416938673341368,8671.800973825157
100k-20seg-50L,LowDisAccQ,42,2026,PATE,0.5,0.015936951655017226,8978.822230128571
100k-20seg-50L,LowDisAccQ,42,2027,PATE,0.5,0.016471972511941765,8615.181934088469
100k-20seg-50L,LowDisAccQ,42,2025,PATE,0.6,0.019766621559433584,8292.814773041755
100k-20seg-50L,LowDisAccQ,42,2026,PATE,0.6,0.01992095434145633,8571.979186031967
100k-20seg-50L,LowDisAccQ,42,2027,PATE,0.6,0.01994787242585804,8354.978928109631
100k-20seg-50L,LowDisAccQ,42,2025,PATE,0.7,0.02634690886772969,7762.11205101572
100k-20seg-50L,LowDisAccQ,42,2026,PATE,0.7,0.025946422570455444,7624.800336081535
100k-20seg-50L,LowDisAccQ,42,2027,PATE,0.7,0.025541608695440962,7835.651887813583
100k-20seg-50L,LowDisAccQ,42,2025,PATE,0.8,0.0383213222595339,6977.20757802017
100k-20seg-50L,LowDisAccQ,42,2026,PATE,0.8,0.03942842058080399,6908.4216030314565
100k-20seg-50L,LowDisAccQ,42,2027,PATE,0.8,0.0375816606444648,7228.682660032064
100k-20seg-50L,LowDisAccQ,42,2025,PATE,0.9,0.07426639382999706,5755.079056834802
100k-20seg-50L,LowDisAccQ,42,2026,PATE,0.9,0.07856676209435313,5807.830413104966
100k-20seg-50L,LowDisAccQ,42,2027,PATE,0.9,0.07299186354259413,5623.404215089977
100k-20seg-50L,LowDisAccQ,42,2025,PATE,1.0,0.9956250606932577,1816.1223148927093
100k-20seg-50L,LowDisAccQ,42,2026,PATE,1.0,0.9961225496665576,1912.4860961455852
100k-20seg-50L,LowDisAccQ,42,2027,PATE,1.0,0.9955364422902409,1832.0315170567483
100k-200seg-50L,LowDisAccQ,43,2025,PATE,0.1,0.09002892808626801,81405.04956804216
100k-200seg-50L,LowDisAccQ,43,2026,PATE,0.1,0.0907986682472152,82213.67532084696
100k-200seg-50L,LowDisAccQ,43,2027,PATE,0.1,0.09126018520747395,80425.54593086243
