case_name,model_name,case_seed,score_seed,metric_name,q,p,val,latency
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.1,0.01,0.034197173063926,14036.612265743315
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.1,0.01,0.03195934572596004,8507.510235067457
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.1,0.01,0.03199596435239911,8706.745143979788
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.1,0.05,0.020369103828483066,8674.403227865696
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.1,0.05,0.02031071670597707,8486.460512969643
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.1,0.05,0.019388658843606677,8633.078547660261
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.1,0.1,0.01765078462842233,8627.018934115767
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.1,0.1,0.017888749626118243,8604.606032371521
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.1,0.1,0.0168223834139385,8780.791219323874
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.1,0.3,0.013875718433236806,8943.981869146228
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.1,0.3,0.014159457976882605,9149.309475906193
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.1,0.3,0.013488779953524987,9063.915443141013
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.2,0.01,0.06484228707926806,7705.042854882777
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.2,0.01,0.06458550306258405,7685.793531127274
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.2,0.01,0.06588509826117933,7729.1621579788625
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.2,0.05,0.028896988301136177,7854.693198110908
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.2,0.05,0.030275730128959705,7768.534400034696
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.2,0.05,0.028440320810838634,8032.970387954265
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.2,0.1,0.022211021654360175,8034.8107209429145
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.2,0.1,0.023499810680921586,7925.3770699724555
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.2,0.1,0.021419432684583344,8055.682076141238
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.2,0.3,0.015729052707513597,8696.273687295616
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.2,0.3,0.01653385865734386,8635.335215833038
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.2,0.3,0.015434967025634131,8684.516835957766
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.3,0.01,0.11450042955099085,7263.923032209277
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.3,0.01,0.10846909087270402,7229.991260915995
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.3,0.01,0.11190688987426435,7246.8341160565615
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.3,0.05,0.04395188737026906,7628.9081908762455
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.3,0.05,0.04350954724695741,7442.361298017204
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.3,0.05,0.0421789241597853,7368.449630681425
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.3,0.1,0.030777261929954787,7807.097256183624
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.3,0.1,0.030811219280760083,7922.396166715771
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.3,0.1,0.028944939820748472,7757.335655391216
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.3,0.3,0.01882872526073379,8144.367469940335
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.3,0.3,0.019131535651207707,8338.512264657766
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.3,0.3,0.018056054383705562,8314.846432767808
100k-20seg-50L,PreQ-NegP,42,2025,PATE,0.4,0.01,0.16587595532115126,6675.847250036895
100k-20seg-50L,PreQ-NegP,42,2026,PATE,0.4,0.01,0.16709852379598927,6867.3858707770705
100k-20seg-50L,PreQ-NegP,42,2027,PATE,0.4,0.01,0.16581924667452827,7021.7311680316925
