case_name,model_name,case_seed,score_seed,metric_name,q,p,val,latency
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.1,0.01,0.03993815231849093,309.84345101751387
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.1,0.01,0.042629057063581006,313.63625498488545
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.1,0.01,0.03739589814161907,308.2334219943732
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.1,0.05,0.03208312145988717,310.54793880321085
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.1,0.05,0.030535919906663222,311.2250368576497
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.1,0.05,0.031131108756408118,308.984300121665
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.1,0.1,0.024572663146828103,309.5179898664355
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.1,0.1,0.024237682064246226,308.8203240185976
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.1,0.1,0.025311490518188633,308.7740130722523
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.1,0.3,0.011635863181390595,306.8386788945645
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.1,0.3,0.007757079546148946,307.26591614075005
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.1,0.3,0.008179308496633984,306.86602904461324
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.2,0.01,0.05821868035897756,311.2221658229828
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.2,0.01,0.05519696407088186,311.9639700744301
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.2,0.01,0.05750729313800549,311.04914797469974
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.2,0.05,0.05383135795118809,309.02382591739297
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.2,0.05,0.04926082542170449,309.7831350751221
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.2,0.05,0.05545713318782051,306.61234189756215
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.2,0.1,0.04379542445558064,309.7544040065259
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.2,0.1,0.03998975373899933,310.7405190821737
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.2,0.1,0.04405062247892005,311.00395205430686
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.2,0.3,0.017747044456489825,311.0473728738725
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.2,0.3,0.01589752356330345,309.7052320372313
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.2,0.3,0.016145785337375058,310.05645799450576
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.3,0.01,0.06735491955564034,304.87192305736244
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.3,0.01,0.06887374967096802,309.2821219470352
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.3,0.01,0.06988997763445967,307.65319894999266
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.3,0.05,0.06461713128719117,310.67813909612596
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.3,0.05,0.06472244599442108,309.3828910496086
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.3,0.05,0.06932818860671945,310.3659809567034
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.3,0.1,0.053695988751380666,305.46546005643904
100k-20seg-50L,PreQ-NegP,42,2026,R-based F1,0.3,0.1,0.052245209779756996,308.5473859682679
100k-20seg-50L,PreQ-NegP,42,2027,R-based F1,0.3,0.1,0.05688911823805045,304.65882597491145
100k-20seg-50L,PreQ-NegP,42,2025,R-based F1,0.3,0.3,0.02659700800655348,309.71271987073123
