case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.05,0.1,0.0,246.61381891928613
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.05,0.1,0.0,250.26529701426625
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.05,0.1,0.0,248.35045007057488
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.05,0.2,0.0,251.13304099068046
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.05,0.2,0.0,250.46260305680335
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.05,0.2,0.0,247.00556392781436
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.05,0.3,0.0,250.6037091370672
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.05,0.3,0.0,248.34583583287895
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.05,0.3,0.0,247.35578917898238
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.05,0.4,0.0,247.36801302060485
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.05,0.4,0.0,248.54587810114026
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.05,0.4,0.0,244.6933190803975
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.05,0.5,0.0,248.4254320152104
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.05,0.5,0.0,248.39413398876786
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.05,0.5,0.0,247.4540681578219
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.05,0.6,0.0,251.33139290846884
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.05,0.6,0.0,251.19388406164944
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.05,0.6,0.0,245.8356488496065
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.05,0.7,0.0,248.9495831541717
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.05,0.7,0.0,248.7891458440572
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.05,0.7,0.0,250.1117151696235
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.05,0.8,0.04888481725450204,317.53357499837875
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.05,0.8,0.04888481725450204,316.99840095825493
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.05,0.8,0.04888481725450204,314.3209130503237
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.05,0.9,0.07600219440722404,315.9604510292411
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.05,0.9,0.07600219440722404,313.6480611283332
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.05,0.9,0.07600219440722404,316.64007785730064
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.05,1.0,0.009822596531124163,309.5887778326869
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.05,1.0,0.009822596531124163,306.6171947866678
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.05,1.0,0.009822596531124163,307.0234430488199
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.1,0.1,0.0,248.16670501604676
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.1,0.1,0.0,245.43283903039992
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.1,0.1,0.0,251.21364300139248
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.1,0.2,0.0,245.1551561243832
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.1,0.2,0.0,248.16347984597087
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.1,0.2,0.0,247.05687002278864
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.1,0.3,0.0,245.33671513199806
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.1,0.3,0.0,248.51027107797563
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.1,0.3,0.0,247.23917106166482
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.1,0.4,0.0,248.5464580822736
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.1,0.4,0.0,249.7338477987796
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.1,0.4,0.0,248.91230301000178
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.1,0.5,0.0,249.94480307213962
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.1,0.5,0.0,246.99382903054357
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.1,0.5,0.0,247.02341691590846
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.1,0.6,0.0,250.7738689891994
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.1,0.6,0.0,249.31833893060684
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.1,0.6,0.0,246.67777912691236
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.1,0.7,0.0,246.1978232022375
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.1,0.7,0.0,247.53933493047953
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.1,0.7,0.0,246.96106417104602
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.1,0.8,0.0,250.27111894451082
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.1,0.8,0.0,246.7394678387791
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.1,0.8,0.0,247.1573289949447
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.1,0.9,0.07729221228822243,313.7955549173057
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.1,0.9,0.07729221228822243,316.68294011615217
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.1,0.9,0.07729221228822243,313.65890009328723
100k-20seg-50L,AccQ-R,42,2025,R-based F1,0.1,1.0,0.009783176663237718,307.0404741447419
100k-20seg-50L,AccQ-R,42,2026,R-based F1,0.1,1.0,0.009783176663237718,306.0498218983412
100k-20seg-50L,AccQ-R,42,2027,R-based F1,0.1,1.0,0.009783176663237718,311.5806020796299
100k-200seg-50L,AccQ-R,43,2025,R-based F1,0.05,0.1,0.0,267.7701299544424
100k-200seg-50L,AccQ-R,43,2026,R-based F1,0.05,0.1,0.0,267.70058809779584
100k-200seg-50L,AccQ-R,43,2027,R-based F1,0.05,0.1,0.0,272.09570189006627
100k-200seg-50L,AccQ-R,43,2025,R-based F1,0.05,0.2,0.0,270.7853189203888
100k-200seg-50L,AccQ-R,43,2026,R-based F1,0.05,0.2,0.0,268.19076715037227
100k-200seg-50L,AccQ-R,43,2027,R-based F1,0.05,0.2,0.0,268.9016140066087
100k-200seg-50L,AccQ-R,43,2025,R-based F1,0.05,0.3,0.0,269.51795700006187
100k-200seg-50L,AccQ-R,43,2026,R-based F1,0.05,0.3,0.0,271.2387698702514
100k-200seg-50L,AccQ-R,43,2027,R-based F1,0.05,0.3,0.0,269.36590508557856
