case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,AccQ,42,2025,R-based F1,0.1,0.002447304555437106,303.4193890634924
100k-20seg-50L,AccQ,42,2026,R-based F1,0.1,0.003312947937682122,312.216887017712
100k-20seg-50L,AccQ,42,2027,R-based F1,0.1,0.0020647442971992165,303.34028601646423
100k-20seg-50L,AccQ,42,2025,R-based F1,0.2,0.0042910201009528125,304.8351160250604
100k-20seg-50L,AccQ,42,2026,R-based F1,0.2,0.004952548770703018,320.4546601045877
100k-20seg-50L,AccQ,42,2027,R-based F1,0.2,0.0045616195154006885,305.4432440549135
100k-20seg-50L,AccQ,42,2025,R-based F1,0.3,0.007527162734582947,344.48694507591426
100k-20seg-50L,AccQ,42,2026,R-based F1,0.3,0.005973245998454481,343.44463306479156
100k-20seg-50L,AccQ,42,2027,R-based F1,0.3,0.0076394188452734236,348.6173180863261
100k-20seg-50L,AccQ,42,2025,R-based F1,0.4,0.011961754328198461,344.0588649827987
100k-20seg-50L,AccQ,42,2026,R-based F1,0.4,0.010461361602838039,344.9059210252017
100k-20seg-50L,AccQ,42,2027,R-based F1,0.4,0.011190023305834438,349.0977860055864
100k-20seg-50L,AccQ,42,2025,R-based F1,0.5,0.015635919931524158,346.0819919127971
100k-20seg-50L,AccQ,42,2026,R-based F1,0.5,0.016622138828085043,347.4289469886571
100k-20seg-50L,AccQ,42,2027,R-based F1,0.5,0.016414216948421774,343.68539694696665
100k-20seg-50L,AccQ,42,2025,R-based F1,0.6,0.023087272427884466,347.4295139312744
100k-20seg-50L,AccQ,42,2026,R-based F1,0.6,0.026822823523757894,350.0412998255342
100k-20seg-50L,AccQ,42,2027,R-based F1,0.6,0.023773281380876775,348.0665241368115
100k-20seg-50L,AccQ,42,2025,R-based F1,0.7,0.033181055635809906,349.8180790338665
100k-20seg-50L,AccQ,42,2026,R-based F1,0.7,0.03598591860491462,342.96410414390266
100k-20seg-50L,AccQ,42,2027,R-based F1,0.7,0.03223377680321186,346.9314300455153
100k-20seg-50L,AccQ,42,2025,R-based F1,0.8,0.05094921592560484,347.3779058549553
100k-20seg-50L,AccQ,42,2026,R-based F1,0.8,0.05206907118124092,343.8896450679749
100k-20seg-50L,AccQ,42,2027,R-based F1,0.8,0.04753710716514893,348.41215517371893
100k-20seg-50L,AccQ,42,2025,R-based F1,0.9,0.07819577709293785,345.89203679934144
100k-20seg-50L,AccQ,42,2026,R-based F1,0.9,0.07520226874768593,345.2337901107967
100k-20seg-50L,AccQ,42,2027,R-based F1,0.9,0.07606584208314644,343.626176007092
100k-20seg-50L,AccQ,42,2025,R-based F1,1.0,0.009747349592171287,335.32105083577335
100k-20seg-50L,AccQ,42,2026,R-based F1,1.0,0.00979614968701757,337.94413320720196
100k-20seg-50L,AccQ,42,2027,R-based F1,1.0,0.009828970210098082,333.81010708399117
