case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.05,0.1,0.0010294836934795295,306.78466497920454
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.05,0.1,0.0010294836934795295,301.80507292971015
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.05,0.1,0.0010294836934795295,300.0753428786993
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.05,0.2,0.0026732891271466926,301.0642521549016
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.05,0.2,0.0026732891271466926,307.07424809224904
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.05,0.2,0.0026732891271466926,300.2391788177192
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.05,0.3,0.004333459860095405,302.95910011045635
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.05,0.3,0.004333459860095405,308.555613970384
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.05,0.3,0.004333459860095405,303.8113520015031
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.05,0.4,0.007358647241228578,299.6481149457395
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.05,0.4,0.007358647241228578,304.46375883184373
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.05,0.4,0.007358647241228578,304.8366801813245
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.05,0.5,0.012944746348160644,305.80204678699374
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.05,0.5,0.012944746348160644,302.89058084599674
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.05,0.5,0.012944746348160644,304.2849109042436
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.05,0.6,0.019816348933592652,303.244462935254
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.05,0.6,0.019816348933592652,308.35216701962054
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.05,0.6,0.019816348933592652,302.1083220373839
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.05,0.7,0.03104239120535428,306.1836480628699
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.05,0.7,0.03104239120535428,303.06387413293123
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.05,0.7,0.03104239120535428,306.6409439779818
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.05,0.8,0.04888481725450204,299.05755282379687
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.05,0.8,0.04888481725450204,304.40600006841123
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.05,0.8,0.04888481725450204,302.72881290875375
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.05,0.9,0.07600219440722404,299.95348607189953
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.05,0.9,0.07600219440722404,303.0252559110522
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.05,0.9,0.07600219440722404,302.1735118236393
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.05,1.0,0.009821547074695066,297.87047603167593
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.05,1.0,0.009821547074695066,296.9385599717498
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.05,1.0,0.009821547074695066,293.80031512118876
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.1,0.1,0.0016232765598912608,301.816179882735
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.1,0.1,0.0016232765598912608,303.9304348640144
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.1,0.1,0.0016232765598912608,303.34245692938566
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.1,0.2,0.0028642440559085384,302.21362388692796
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.1,0.2,0.0028642440559085384,301.9603108987212
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.1,0.2,0.0028642440559085384,305.83331105299294
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.1,0.3,0.005120379938395966,310.9087070915848
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.1,0.3,0.005120379938395966,305.30935409478843
100k-20seg-50L,LowDisAccQ-R,42,2027,R-based F1,0.1,0.3,0.005120379938395966,306.4927270170301
100k-20seg-50L,LowDisAccQ-R,42,2025,R-based F1,0.1,0.4,0.007730148256223027,306.9947590120137
100k-20seg-50L,LowDisAccQ-R,42,2026,R-based F1,0.1,0.4,0.007730148256223027,305.3020688239485
