case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
100k-20seg-50L,PreQ-NegP-R,42,2025,R-based F1,0.05,0.1,0.01,0.043360843270254856,303.514061961323
100k-20seg-50L,PreQ-NegP-R,42,2026,R-based F1,0.05,0.1,0.01,0.043360843270254856,304.71122404560447
100k-20seg-50L,PreQ-NegP-R,42,2027,R-based F1,0.05,0.1,0.01,0.043360843270254856,302.36325203441083
100k-20seg-50L,PreQ-NegP-R,42,2025,R-based F1,0.05,0.1,0.05,0.030727086566352844,303.78397600725293
100k-20seg-50L,PreQ-NegP-R,42,2026,R-based F1,0.05,0.1,0.05,0.030727086566352844,302.47482820414007
100k-20seg-50L,PreQ-NegP-R,42,2027,R-based F1,0.05,0.1,0.05,0.030727086566352844,301.6645379830152
100k-20seg-50L,PreQ-NegP-R,42,2025,R-based F1,0.05,0.1,0.1,0.022524900868702683,305.46778813004494
100k-20seg-50L,PreQ-NegP-R,42,2026,R-based F1,0.05,0.1,0.1,0.022524900868702683,303.10765700414777
100k-20seg-50L,PreQ-NegP-R,42,2027,R-based F1,0.05,0.1,0.1,0.022524900868702683,304.1844479739666
100k-20seg-50L,PreQ-NegP-R,42,2025,R-based F1,0.05,0.1,0.3,0.0073332575524055164,304.2114300187677
100k-20seg-50L,PreQ-NegP-R,42,2026,R-based F1,0.05,0.1,0.3,0.0073332575524055164,306.0302520170808
100k-20seg-50L,PreQ-NegP-R,42,2027,R-based F1,0.05,0.1,0.3,0.0073332575524055164,301.0536921210587
100k-20seg-50L,PreQ-NegP-R,42,2025,R-based F1,0.05,0.2,0.01,0.05508321739548081,301.35380616411567
100k-20seg-50L,PreQ-NegP-R,42,2026,R-based F1,0.05,0.2,0.01,0.05508321739548081,301.5689719468355
100k-20seg-50L,PreQ-NegP-R,42,2027,R-based F1,0.05,0.2,0.01,0.05508321739548081,304.3623920530081
100k-20seg-50L,PreQ-NegP-R,42,2025,R-based F1,0.05,0.2,0.05,0.05100446555821295,304.1029809974134
100k-20seg-50L,PreQ-NegP-R,42,2026,R-based F1,0.05,0.2,0.05,0.05100446555821295,302.9908228199929
100k-20seg-50L,PreQ-NegP-R,42,2027,R-based F1,0.05,0.2,0.05,0.05100446555821295,306.79848487488925
100k-20seg-50L,PreQ-NegP-R,42,2025,R-based F1,0.05,0.2,0.1,0.04065461252152588,303.56154195033014
100k-20seg-50L,PreQ-NegP-R,42,2026,R-based F1,0.05,0.2,0.1,0.04065461252152588,303.24309319257736
100k-20seg-50L,PreQ-NegP-R,42,2027,R-based F1,0.05,0.2,0.1,0.04065461252152588,304.99552795663476
100k-20seg-50L,PreQ-NegP-R,42,2025,R-based F1,0.05,0.2,0.3,0.021343985569842686,303.28049208037555
100k-20seg-50L,PreQ-NegP-R,42,2026,R-based F1,0.05,0.2,0.3,0.021343985569842686,305.0608991179615
100k-20seg-50L,PreQ-NegP-R,42,2027,R-based F1,0.05,0.2,0.3,0.021343985569842686,304.1960571426898
100k-20seg-50L,PreQ-NegP-R,42,2025,R-based F1,0.05,0.3,0.01,0.06817372388246021,301.5633621253073
100k-20seg-50L,PreQ-NegP-R,42,2026,R-based F1,0.05,0.3,0.01,0.06817372388246021,307.1026639081538
100k-20seg-50L,PreQ-NegP-R,42,2027,R-based F1,0.05,0.3,0.01,0.06817372388246021,303.50359180010855
100k-20seg-50L,PreQ-NegP-R,42,2025,R-based F1,0.05,0.3,0.05,0.06546272500880738,305.0698291044682
100k-20seg-50L,PreQ-NegP-R,42,2026,R-based F1,0.05,0.3,0.05,0.06546272500880738,302.57365899160504
100k-20seg-50L,PreQ-NegP-R,42,2027,R-based F1,0.05,0.3,0.05,0.06546272500880738,301.80553905665874
