case_name,num_items,spearman_q,kendall_q,mean_deviation_q,noise_std,spearman_p,kendall_p,mean_deviation_p,metric_name
100k-100seg-100H,4,,,,0.0,1.0,1.0,0.0,CCE
100k-100seg-100H,10,1.0,1.0,0.0,0.0,,,,CCE
100k-100seg-100L,4,,,,0.0,1.0,1.0,0.0,CCE
100k-100seg-100L,10,1.0,1.0,0.0,0.0,,,,CCE
100k-10seg-100H,4,,,,0.0,1.0,1.0,0.0,CCE
100k-10seg-100H,10,1.0,1.0,0.0,0.0,,,,CCE
100k-10seg-100L,4,,,,0.0,1.0,1.0,0.0,CCE
100k-10seg-100L,10,1.0,1.0,0.0,0.0,,,,CCE
100k-200seg-50H,4,,,,0.0,1.0,1.0,0.0,CCE
100k-200seg-50H,10,1.0,1.0,0.0,0.0,,,,CCE
100k-200seg-50L,4,,,,0.0,1.0,1.0,0.0,CCE
100k-200seg-50L,10,1.0,1.0,0.0,0.0,,,,CCE
100k-20seg-500H,4,,,,0.0,1.0,1.0,0.0,CCE
100k-20seg-500H,10,1.0,1.0,0.0,0.0,,,,CCE
100k-20seg-500L,4,,,,0.0,1.0,1.0,0.0,CCE
100k-20seg-500L,10,1.0,1.0,0.0,0.0,,,,CCE
100k-20seg-50H,4,,,,0.0,1.0,1.0,0.0,CCE
100k-20seg-50H,10,1.0,1.0,0.0,0.0,,,,CCE
100k-20seg-50L,4,,,,0.0,1.0,1.0,0.0,CCE
100k-20seg-50L,10,1.0,1.0,0.0,0.0,,,,CCE
100k-2seg-500H,4,,,,0.0,1.0,1.0,0.0,CCE
100k-2seg-500H,10,1.0,1.0,0.0,0.0,,,,CCE
100k-2seg-500L,4,,,,0.0,1.0,1.0,0.0,CCE
100k-2seg-500L,10,1.0,1.0,0.0,0.0,,,,CCE
100k-500seg-20H,4,,,,0.0,1.0,1.0,0.0,CCE
100k-500seg-20H,10,1.0,1.0,0.0,0.0,,,,CCE
100k-500seg-20L,4,,,,0.0,1.0,1.0,0.0,CCE
100k-500seg-20L,10,1.0,1.0,0.0,0.0,,,,CCE
100k-50seg-20H,4,,,,0.0,1.0,1.0,0.0,CCE
100k-50seg-20H,10,1.0,1.0,0.0,0.0,,,,CCE
100k-50seg-20L,4,,,,0.0,1.0,1.0,0.0,CCE
100k-50seg-20L,10,1.0,1.0,0.0,0.0,,,,CCE
10k-10seg-100H,4,,,,0.0,1.0,1.0,0.0,CCE
10k-10seg-100H,10,1.0,1.0,0.0,0.0,,,,CCE
10k-10seg-100L,4,,,,0.0,1.0,1.0,0.0,CCE
10k-10seg-100L,10,1.0,1.0,0.0,0.0,,,,CCE
10k-1seg-100H,4,,,,0.0,1.0,1.0,0.0,CCE
10k-1seg-100H,10,1.0,1.0,0.0,0.0,,,,CCE
10k-1seg-100L,4,,,,0.0,1.0,1.0,0.0,CCE
10k-1seg-100L,10,1.0,1.0,0.0,0.0,,,,CCE
10k-20seg-50H,4,,,,0.0,1.0,1.0,0.0,CCE
10k-20seg-50H,10,1.0,1.0,0.0,0.0,,,,CCE
10k-20seg-50L,4,,,,0.0,1.0,1.0,0.0,CCE
10k-20seg-50L,10,1.0,1.0,0.0,0.0,,,,CCE
10k-2seg-500H,4,,,,0.0,1.0,1.0,0.0,CCE
10k-2seg-500H,10,1.0,1.0,0.0,0.0,,,,CCE
