Metric,AccQ_Sp,AccQ_Kd,AccQ_MD,LowDisAccQ_Sp,LowDisAccQ_Kd,LowDisAccQ_MD,PreQ-NegP-Q_Sp,PreQ-NegP-Q_Kd,PreQ-NegP-Q_MD,PreQ-NegP-P_Sp,PreQ-NegP-P_Kd,PreQ-NegP-P_MD
CCE,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
AUC-ROC,1.0,1.0,0.0,1.0,1.0,0.0,0.9998364864864864,0.9994,0.0027027027027026664,0.9868468468468468,0.9822827927927927,0.025675675675675635
F1,0.3401126126126126,0.2484432432432432,2.0936936936936936,0.9977072072072072,0.9931945945945945,0.0252252252252252,0.927547972972973,0.9305333333333333,0.2671171171171171,1.0,1.0,0.0
F1-PA,0.3401126126126126,0.2484432432432432,2.0936936936936936,0.9977072072072072,0.9931945945945945,0.0252252252252252,0.9251729729729731,0.9249283783783784,0.28693693693693695,1.0,1.0,0.0
Reduced-F1,0.34000360360360365,0.24804324324324326,2.0954954954954954,0.9962882882882883,0.9903927927927928,0.0378378378378378,0.8945698198198198,0.8923961711711711,0.3711711711711711,1.0,1.0,0.0
R-based F1,0.29435585585585583,0.19277657657657662,2.344144144144144,0.9006288288288289,0.8950909909909911,0.46486486486486484,0.6808421634870164,0.6740625331213567,1.1313105590885002,0.7886604461604462,0.7762554724367224,0.26748712998713
eTaPR,0.7796691891891893,0.6965224924924924,1.146966966966967,0.8455927927927928,0.7601621621621621,0.9333333333333335,0.8784639639639639,0.8664694819819819,0.4936936936936937,0.8759127548601233,0.864479435751541,0.16006401137980084
Aff-F1,0.8318342342342341,0.7885927927927928,0.5873873873873874,0.9528288288288289,0.9267306306306308,0.2648648648648648,0.8834891891891893,0.8552614864864866,0.5509009009009009,0.92,0.8952006306306307,0.15045045045045038
UAff-F1,0.824845045045045,0.7793828828828828,0.6216216216216216,0.9437657657657658,0.9147189189189189,0.29909909909909904,0.8717781531531531,0.838645945945946,0.6193693693693693,0.8906306306306306,0.8630688288288288,0.1923423423423423
VUS-ROC,1.0,1.0,0.0,1.0,1.0,0.0,0.9998691891891891,0.9995200000000001,0.00216216216216216,0.9904864864864866,0.9863070270270271,0.0194594594594594
