case_name,model_name,metric_name,val,latency
MSL,LOF,CCE,0.0009367616828637182,40.97228404134512
MSL,LOF,F1,0.10971348707197764,22.469253977760673
MSL,LOF,F1-PA,0.7974437343706585,55.45450700446963
MSL,LOF,Reduced-F1,0.9027237354085603,261.1769640352577
MSL,LOF,R-based F1,0.16972414523143486,544.696195051074
MSL,LOF,eTaPR,0.11500471570482118,1020.4565550666302
MSL,LOF,Aff-F1,0.6764757885010976,326.6380140557885
MSL,LOF,UAff-F1,0.12671242274210895,1088.1964929867536
MSL,LOF,AUC-ROC,0.5188972667931598,38.4455060120672
MSL,LOF,VUS-ROC,0.6143016980676458,24263.02007981576
MSL,LOF,CCE,0.0009367616828637182,40.97228404134512
MSL,LOF,F1,0.10971348707197764,22.469253977760673
MSL,LOF,F1-PA,0.7974437343706585,55.45450700446963
MSL,LOF,Reduced-F1,0.9027237354085603,261.1769640352577
MSL,LOF,R-based F1,0.16972414523143486,544.696195051074
MSL,LOF,eTaPR,0.11500471570482118,1020.4565550666302
MSL,LOF,Aff-F1,0.6764757885010976,326.6380140557885
MSL,LOF,UAff-F1,0.12671242274210895,1088.1964929867536
MSL,LOF,AUC-ROC,0.5188972667931598,38.4455060120672
MSL,LOF,VUS-ROC,0.6143016980676458,24263.02007981576
SMD-1-1,LOF,CCE,0.00010024543657313756,13.961084885522723
SMD-1-1,LOF,F1,0.06216610004856726,9.019774850457907
SMD-1-1,LOF,F1-PA,0.80521036083246,23.10518198646605
SMD-1-1,LOF,Reduced-F1,0.03851851851851852,144.113359041512
SMD-1-1,LOF,R-based F1,0.12456754484092274,167.70531586371362
SMD-1-1,LOF,eTaPR,0.0015968239633110959,276.51374018751085
SMD-1-1,LOF,Aff-F1,0.7475015825845719,98.71769091114402
SMD-1-1,LOF,UAff-F1,0.28326123263154923,359.48783392086625
SMD-1-1,LOF,AUC-ROC,0.45900559837581023,7.687456905841827
SMD-1-1,LOF,VUS-ROC,0.5403299348948268,5648.596359882504
MSL,LOF,CCE,0.0009367616828637182,40.97228404134512
MSL,LOF,F1,0.10971348707197764,22.469253977760673
MSL,LOF,F1-PA,0.7974437343706585,55.45450700446963
MSL,LOF,Reduced-F1,0.9027237354085603,261.1769640352577
MSL,LOF,R-based F1,0.16972414523143486,544.696195051074
MSL,LOF,eTaPR,0.11500471570482118,1020.4565550666302
MSL,LOF,Aff-F1,0.6764757885010976,326.6380140557885
MSL,LOF,UAff-F1,0.12671242274210895,1088.1964929867536
MSL,LOF,AUC-ROC,0.5188972667931598,38.4455060120672
MSL,LOF,VUS-ROC,0.6143016980676458,24263.02007981576
SMD-1-1,LOF,CCE,0.00010024543657313756,13.961084885522723
SMD-1-1,LOF,F1,0.06216610004856726,9.019774850457907
SMD-1-1,LOF,F1-PA,0.80521036083246,23.10518198646605
SMD-1-1,LOF,Reduced-F1,0.03851851851851852,144.113359041512
SMD-1-1,LOF,R-based F1,0.12456754484092274,167.70531586371362
SMD-1-1,LOF,eTaPR,0.0015968239633110959,276.51374018751085
SMD-1-1,LOF,Aff-F1,0.7475015825845719,98.71769091114402
SMD-1-1,LOF,UAff-F1,0.28326123263154923,359.48783392086625
SMD-1-1,LOF,AUC-ROC,0.45900559837581023,7.687456905841827
SMD-1-1,LOF,VUS-ROC,0.5403299348948268,5648.596359882504
SMD-2-1,LOF,CCE,0.01584054324085271,13.339078985154629
SMD-2-1,LOF,F1,0.09171974522292993,7.78810796327889
SMD-2-1,LOF,F1-PA,0.6613047363717605,19.58787301555276
SMD-2-1,LOF,Reduced-F1,0.05244755244755245,120.65046303905547
SMD-2-1,LOF,R-based F1,0.10506082584251372,137.30983599089086
SMD-2-1,LOF,eTaPR,0.09518087804598512,253.39014502242208
SMD-2-1,LOF,Aff-F1,0.6756957137265056,89.92781606502831
SMD-2-1,LOF,UAff-F1,0.0394479532860653,315.26156794279814
SMD-2-1,LOF,AUC-ROC,0.4959185795360542,6.402892991900444
SMD-2-1,LOF,VUS-ROC,0.6895008659279267,7865.67232105881
MSL,LOF,CCE,0.0009367616828637182,40.97228404134512
MSL,LOF,F1,0.10971348707197764,22.469253977760673
MSL,LOF,F1-PA,0.7974437343706585,55.45450700446963
MSL,LOF,Reduced-F1,0.9027237354085603,261.1769640352577
MSL,LOF,R-based F1,0.16972414523143486,544.696195051074
MSL,LOF,eTaPR,0.11500471570482118,1020.4565550666302
MSL,LOF,Aff-F1,0.6764757885010976,326.6380140557885
MSL,LOF,UAff-F1,0.12671242274210895,1088.1964929867536
MSL,LOF,AUC-ROC,0.5188972667931598,38.4455060120672
MSL,LOF,VUS-ROC,0.6143016980676458,24263.02007981576
SMD-1-1,LOF,CCE,0.00010024543657313756,13.961084885522723
SMD-1-1,LOF,F1,0.06216610004856726,9.019774850457907
SMD-1-1,LOF,F1-PA,0.80521036083246,23.10518198646605
SMD-1-1,LOF,Reduced-F1,0.03851851851851852,144.113359041512
SMD-1-1,LOF,R-based F1,0.12456754484092274,167.70531586371362
SMD-1-1,LOF,eTaPR,0.0015968239633110959,276.51374018751085
SMD-1-1,LOF,Aff-F1,0.7475015825845719,98.71769091114402
SMD-1-1,LOF,UAff-F1,0.28326123263154923,359.48783392086625
SMD-1-1,LOF,AUC-ROC,0.45900559837581023,7.687456905841827
SMD-1-1,LOF,VUS-ROC,0.5403299348948268,5648.596359882504
SMD-2-1,LOF,CCE,0.01584054324085271,13.339078985154629
SMD-2-1,LOF,F1,0.09171974522292993,7.78810796327889
SMD-2-1,LOF,F1-PA,0.6613047363717605,19.58787301555276
SMD-2-1,LOF,Reduced-F1,0.05244755244755245,120.65046303905547
SMD-2-1,LOF,R-based F1,0.10506082584251372,137.30983599089086
SMD-2-1,LOF,eTaPR,0.09518087804598512,253.39014502242208
SMD-2-1,LOF,Aff-F1,0.6756957137265056,89.92781606502831
SMD-2-1,LOF,UAff-F1,0.0394479532860653,315.26156794279814
SMD-2-1,LOF,AUC-ROC,0.4959185795360542,6.402892991900444
SMD-2-1,LOF,VUS-ROC,0.6895008659279267,7865.67232105881
SMD-3-1,LOF,CCE,0.00476224167667863,13.998452108353376
SMD-3-1,LOF,F1,0.14687320711417096,9.1140849981457
SMD-3-1,LOF,F1-PA,0.3203328133125325,24.05196218751371
SMD-3-1,LOF,Reduced-F1,0.019504876219054765,144.96244303882122
SMD-3-1,LOF,R-based F1,0.05970965406660278,155.27802309952676
SMD-3-1,LOF,eTaPR,0.0872366309532875,247.3930949345231
SMD-3-1,LOF,Aff-F1,0.7007339293832445,92.40236203186214
SMD-3-1,LOF,UAff-F1,0.14116993837205533,340.22586699575186
SMD-3-1,LOF,AUC-ROC,0.6665046263260549,7.459406973794103
SMD-3-1,LOF,VUS-ROC,0.8380893141155232,3073.4829290304333
MSL,LOF,CCE,0.0009367616828637182,40.97228404134512
MSL,LOF,F1,0.10971348707197764,22.469253977760673
MSL,LOF,F1-PA,0.7974437343706585,55.45450700446963
MSL,LOF,Reduced-F1,0.9027237354085603,261.1769640352577
MSL,LOF,R-based F1,0.16972414523143486,544.696195051074
MSL,LOF,eTaPR,0.11500471570482118,1020.4565550666302
MSL,LOF,Aff-F1,0.6764757885010976,326.6380140557885
MSL,LOF,UAff-F1,0.12671242274210895,1088.1964929867536
MSL,LOF,AUC-ROC,0.5188972667931598,38.4455060120672
MSL,LOF,VUS-ROC,0.6143016980676458,24263.02007981576
SMD-1-1,LOF,CCE,0.00010024543657313756,13.961084885522723
SMD-1-1,LOF,F1,0.06216610004856726,9.019774850457907
SMD-1-1,LOF,F1-PA,0.80521036083246,23.10518198646605
SMD-1-1,LOF,Reduced-F1,0.03851851851851852,144.113359041512
SMD-1-1,LOF,R-based F1,0.12456754484092274,167.70531586371362
SMD-1-1,LOF,eTaPR,0.0015968239633110959,276.51374018751085
SMD-1-1,LOF,Aff-F1,0.7475015825845719,98.71769091114402
SMD-1-1,LOF,UAff-F1,0.28326123263154923,359.48783392086625
SMD-1-1,LOF,AUC-ROC,0.45900559837581023,7.687456905841827
SMD-1-1,LOF,VUS-ROC,0.5403299348948268,5648.596359882504
SMD-2-1,LOF,CCE,0.01584054324085271,13.339078985154629
SMD-2-1,LOF,F1,0.09171974522292993,7.78810796327889
SMD-2-1,LOF,F1-PA,0.6613047363717605,19.58787301555276
SMD-2-1,LOF,Reduced-F1,0.05244755244755245,120.65046303905547
SMD-2-1,LOF,R-based F1,0.10506082584251372,137.30983599089086
