case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,AccQ-R,42,2025,Reduced-F1,0.05,0.1,0.0,109.95460604317486
100k-20seg-50L,AccQ-R,42,2026,Reduced-F1,0.05,0.1,0.0,102.82701905816793
100k-20seg-50L,AccQ-R,42,2027,Reduced-F1,0.05,0.1,0.0,104.86105806194246
100k-20seg-50L,AccQ-R,42,2025,Reduced-F1,0.05,0.2,0.0,99.50108686462045
100k-20seg-50L,AccQ-R,42,2026,Reduced-F1,0.05,0.2,0.0,100.3465699031949
100k-20seg-50L,AccQ-R,42,2027,Reduced-F1,0.05,0.2,0.0,101.45796998403966
100k-20seg-50L,AccQ-R,42,2025,Reduced-F1,0.05,0.3,0.0,103.41276694089174
100k-20seg-50L,AccQ-R,42,2026,Reduced-F1,0.05,0.3,0.0,100.67150997929275
100k-20seg-50L,AccQ-R,42,2027,Reduced-F1,0.05,0.3,0.0,102.33897692523897
100k-20seg-50L,AccQ-R,42,2025,Reduced-F1,0.05,0.4,0.0,100.32279184088111
100k-20seg-50L,AccQ-R,42,2026,Reduced-F1,0.05,0.4,0.0,101.54713783413172
100k-20seg-50L,AccQ-R,42,2027,Reduced-F1,0.05,0.4,0.0,100.33226199448109
100k-20seg-50L,AccQ-R,42,2025,Reduced-F1,0.05,0.5,0.0,102.38289693370461
100k-20seg-50L,AccQ-R,42,2026,Reduced-F1,0.05,0.5,0.0,100.29337299056351
100k-20seg-50L,AccQ-R,42,2027,Reduced-F1,0.05,0.5,0.0,102.03662095591426
100k-20seg-50L,AccQ-R,42,2025,Reduced-F1,0.05,0.6,0.0,101.14787798374891
100k-20seg-50L,AccQ-R,42,2026,Reduced-F1,0.05,0.6,0.0,101.59705416299403
100k-20seg-50L,AccQ-R,42,2027,Reduced-F1,0.05,0.6,0.0,100.53183999843895
100k-20seg-50L,AccQ-R,42,2025,Reduced-F1,0.05,0.7,0.0,102.4576579220593
100k-20seg-50L,AccQ-R,42,2026,Reduced-F1,0.05,0.7,0.0,101.54735995456576
100k-20seg-50L,AccQ-R,42,2027,Reduced-F1,0.05,0.7,0.0,101.9724989309907
100k-20seg-50L,AccQ-R,42,2025,Reduced-F1,0.05,0.8,0.024242424242424242,112.45192517526448
100k-20seg-50L,AccQ-R,42,2026,Reduced-F1,0.05,0.8,0.024242424242424242,116.29093415103853
100k-20seg-50L,AccQ-R,42,2027,Reduced-F1,0.05,0.8,0.024242424242424242,112.82050400041044
