case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,AccQ,42,2025,Reduced-F1,0.1,0.0035545023696682463,121.02211499586701
100k-20seg-50L,AccQ,42,2026,Reduced-F1,0.1,0.008277493102089082,118.33286401815712
100k-20seg-50L,AccQ,42,2027,Reduced-F1,0.1,0.004735595895816891,114.90627098828554
100k-20seg-50L,AccQ,42,2025,Reduced-F1,0.2,0.007101992503452358,116.20169808156788
100k-20seg-50L,AccQ,42,2026,Reduced-F1,0.2,0.010638297872340425,113.39440708979964
100k-20seg-50L,AccQ,42,2027,Reduced-F1,0.2,0.008284023668639054,114.62260386906564
100k-20seg-50L,AccQ,42,2025,Reduced-F1,0.3,0.010650887573964497,116.37865891680121
100k-20seg-50L,AccQ,42,2026,Reduced-F1,0.3,0.011818002757533978,116.75329692661762
100k-20seg-50L,AccQ,42,2027,Reduced-F1,0.3,0.013004926108374384,115.9193569328636
100k-20seg-50L,AccQ,42,2025,Reduced-F1,0.4,0.016554986204178165,115.04419497214258
100k-20seg-50L,AccQ,42,2026,Reduced-F1,0.4,0.01888648435963014,116.28267890773714
100k-20seg-50L,AccQ,42,2027,Reduced-F1,0.4,0.01538158154210215,114.4268240313977
100k-20seg-50L,AccQ,42,2025,Reduced-F1,0.5,0.020110410094637224,116.18304904550314
100k-20seg-50L,AccQ,42,2026,Reduced-F1,0.5,0.020122312093115012,114.55204198136926
100k-20seg-50L,AccQ,42,2027,Reduced-F1,0.5,0.020118343195266272,116.3614068645984
100k-20seg-50L,AccQ,42,2025,Reduced-F1,0.6,0.022551928783382788,114.61916007101536
100k-20seg-50L,AccQ,42,2026,Reduced-F1,0.6,0.02377179080824089,116.53354717418551
100k-20seg-50L,AccQ,42,2027,Reduced-F1,0.6,0.02254746835443038,114.57322002388537
100k-20seg-50L,AccQ,42,2025,Reduced-F1,0.7,0.023871096081161728,116.31438811309636
100k-20seg-50L,AccQ,42,2026,Reduced-F1,0.7,0.023913909924272617,113.86357480660081
100k-20seg-50L,AccQ,42,2027,Reduced-F1,0.7,0.02385211687537269,116.11663410440087
100k-20seg-50L,AccQ,42,2025,Reduced-F1,0.8,0.024213075060532687,114.03503804467618
100k-20seg-50L,AccQ,42,2026,Reduced-F1,0.8,0.02424732269145282,117.82750813290477
100k-20seg-50L,AccQ,42,2027,Reduced-F1,0.8,0.024159452385745923,113.94123686477542
100k-20seg-50L,AccQ,42,2025,Reduced-F1,0.9,0.025257840454641127,117.34405509196222
100k-20seg-50L,AccQ,42,2026,Reduced-F1,0.9,0.0253324889170361,115.1347158011049
100k-20seg-50L,AccQ,42,2027,Reduced-F1,0.9,0.02512036843207034,116.5650358889252
100k-20seg-50L,AccQ,42,2025,Reduced-F1,1.0,0.028308563340410473,114.04124205000699
100k-20seg-50L,AccQ,42,2026,Reduced-F1,1.0,0.028308563340410473,116.6230218950659
100k-20seg-50L,AccQ,42,2027,Reduced-F1,1.0,0.028308563340410473,113.57934307307005
100k-200seg-50L,AccQ,43,2025,Reduced-F1,0.1,0.03878313467354563,112.27585817687213
100k-200seg-50L,AccQ,43,2026,Reduced-F1,0.1,0.041237113402061855,109.75012416020036
100k-200seg-50L,AccQ,43,2027,Reduced-F1,0.1,0.04614019520851819,110.70066993124783
100k-200seg-50L,AccQ,43,2025,Reduced-F1,0.2,0.08400702987697715,110.17588595859706
100k-200seg-50L,AccQ,43,2026,Reduced-F1,0.2,0.0843140699104163,111.0409670509398
100k-200seg-50L,AccQ,43,2027,Reduced-F1,0.2,0.08333333333333333,110.53341999650002
100k-200seg-50L,AccQ,43,2025,Reduced-F1,0.3,0.12085225288159274,112.1481298469007
100k-200seg-50L,AccQ,43,2026,Reduced-F1,0.3,0.11756473058082575,110.84218812175095
100k-200seg-50L,AccQ,43,2027,Reduced-F1,0.3,0.11686494051784464,111.64725990965962
100k-200seg-50L,AccQ,43,2025,Reduced-F1,0.4,0.1446629213483146,112.48453287407756
100k-200seg-50L,AccQ,43,2026,Reduced-F1,0.4,0.15791316526610644,113.02286805585027
100k-200seg-50L,AccQ,43,2027,Reduced-F1,0.4,0.14990345796033,110.11706804856658
100k-200seg-50L,AccQ,43,2025,Reduced-F1,0.5,0.16953360524915764,111.46105686202645
100k-200seg-50L,AccQ,43,2026,Reduced-F1,0.5,0.18091168091168092,110.0391901563853
100k-200seg-50L,AccQ,43,2027,Reduced-F1,0.5,0.17676230959971662,111.3547831773758
100k-200seg-50L,AccQ,43,2025,Reduced-F1,0.6,0.19433345441336725,110.44771992601454
100k-200seg-50L,AccQ,43,2026,Reduced-F1,0.6,0.19555228818231943,112.89154691621661
100k-200seg-50L,AccQ,43,2027,Reduced-F1,0.6,0.19567194035279142,110.38237484171987
100k-200seg-50L,AccQ,43,2025,Reduced-F1,0.7,0.2079908239342382,111.58305313438177
100k-200seg-50L,AccQ,43,2026,Reduced-F1,0.7,0.2111969111969112,111.30601982586086
100k-200seg-50L,AccQ,43,2027,Reduced-F1,0.7,0.20850009529254812,111.40845017507672
100k-200seg-50L,AccQ,43,2025,Reduced-F1,0.8,0.2288329519450801,110.10331497527659
100k-200seg-50L,AccQ,43,2026,Reduced-F1,0.8,0.2338932596215182,111.5199951454997
100k-200seg-50L,AccQ,43,2027,Reduced-F1,0.8,0.22940563086548488,110.31114007346332
100k-200seg-50L,AccQ,43,2025,Reduced-F1,0.9,0.28357824181490077,111.75579112023115
100k-200seg-50L,AccQ,43,2026,Reduced-F1,0.9,0.2891692954784437,110.1738668512553
100k-200seg-50L,AccQ,43,2027,Reduced-F1,0.9,0.28190671450538185,111.16886022500694
100k-200seg-50L,AccQ,43,2025,Reduced-F1,1.0,1.0,109.23317004926503
100k-200seg-50L,AccQ,43,2026,Reduced-F1,1.0,1.0,110.2187770884484
100k-200seg-50L,AccQ,43,2027,Reduced-F1,1.0,1.0,109.51988608576357
100k-20seg-50H,AccQ,44,2025,Reduced-F1,0.1,0.003952569169960474,114.54185913316905
100k-20seg-50H,AccQ,44,2026,Reduced-F1,0.1,0.004739336492890996,113.40326513163745
100k-20seg-50H,AccQ,44,2027,Reduced-F1,0.1,0.004344391785150079,114.64182985946536
100k-20seg-50H,AccQ,44,2025,Reduced-F1,0.2,0.009469323337936477,113.64932218566537
100k-20seg-50H,AccQ,44,2026,Reduced-F1,0.2,0.012613322822230981,115.11767096817493
100k-20seg-50H,AccQ,44,2027,Reduced-F1,0.2,0.009071189114573063,114.03538403101265
100k-20seg-50H,AccQ,44,2025,Reduced-F1,0.3,0.011049723756906077,115.44723808765411
100k-20seg-50H,AccQ,44,2026,Reduced-F1,0.3,0.014189988175009854,113.33264107815921
100k-20seg-50H,AccQ,44,2027,Reduced-F1,0.3,0.015748031496062992,113.90554113313556
100k-20seg-50H,AccQ,44,2025,Reduced-F1,0.4,0.01579778830963665,113.3203711360693
100k-20seg-50H,AccQ,44,2026,Reduced-F1,0.4,0.01814953639771158,114.53149700537324
