case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,LowDisAccQ,42,2025,Reduced-F1,0.1,0.0035545023696682463,120.58546207845211
100k-20seg-50L,LowDisAccQ,42,2026,Reduced-F1,0.1,0.008277493102089082,117.22910520620644
100k-20seg-50L,LowDisAccQ,42,2027,Reduced-F1,0.1,0.004735595895816891,113.68182790465653
100k-20seg-50L,LowDisAccQ,42,2025,Reduced-F1,0.2,0.007101992503452358,116.48194887675345
100k-20seg-50L,LowDisAccQ,42,2026,Reduced-F1,0.2,0.010638297872340425,112.70696786232293
100k-20seg-50L,LowDisAccQ,42,2027,Reduced-F1,0.2,0.008284023668639054,115.68813398480415
100k-20seg-50L,LowDisAccQ,42,2025,Reduced-F1,0.3,0.010650887573964497,115.47039612196386
100k-20seg-50L,LowDisAccQ,42,2026,Reduced-F1,0.3,0.011818002757533978,115.49456417560577
100k-20seg-50L,LowDisAccQ,42,2027,Reduced-F1,0.3,0.013004926108374384,111.9136088527739
100k-20seg-50L,LowDisAccQ,42,2025,Reduced-F1,0.4,0.016554986204178165,116.27924419008195
100k-20seg-50L,LowDisAccQ,42,2026,Reduced-F1,0.4,0.01888648435963014,114.84978813678026
100k-20seg-50L,LowDisAccQ,42,2027,Reduced-F1,0.4,0.01538158154210215,113.48055093549192
100k-20seg-50L,LowDisAccQ,42,2025,Reduced-F1,0.5,0.020110410094637224,115.54551706649363
100k-20seg-50L,LowDisAccQ,42,2026,Reduced-F1,0.5,0.020122312093115012,113.91834798268974
100k-20seg-50L,LowDisAccQ,42,2027,Reduced-F1,0.5,0.020118343195266272,115.61618419364095
100k-20seg-50L,LowDisAccQ,42,2025,Reduced-F1,0.6,0.022551928783382788,112.91932198219001
100k-20seg-50L,LowDisAccQ,42,2026,Reduced-F1,0.6,0.02377179080824089,115.9359011799097
100k-20seg-50L,LowDisAccQ,42,2027,Reduced-F1,0.6,0.02254746835443038,115.89936004020274
100k-20seg-50L,LowDisAccQ,42,2025,Reduced-F1,0.7,0.023871096081161728,115.60693709179759
100k-20seg-50L,LowDisAccQ,42,2026,Reduced-F1,0.7,0.023913909924272617,113.36338799446821
100k-20seg-50L,LowDisAccQ,42,2027,Reduced-F1,0.7,0.02385211687537269,116.12392798997462
100k-20seg-50L,LowDisAccQ,42,2025,Reduced-F1,0.8,0.024213075060532687,113.68278204463422
100k-20seg-50L,LowDisAccQ,42,2026,Reduced-F1,0.8,0.02424732269145282,116.85116495937109
100k-20seg-50L,LowDisAccQ,42,2027,Reduced-F1,0.8,0.024159452385745923,113.56246401555836
100k-20seg-50L,LowDisAccQ,42,2025,Reduced-F1,0.9,0.025257840454641127,115.55604520253837
100k-20seg-50L,LowDisAccQ,42,2026,Reduced-F1,0.9,0.0253324889170361,112.96005104668438
100k-20seg-50L,LowDisAccQ,42,2027,Reduced-F1,0.9,0.02512036843207034,115.75210886076093
100k-20seg-50L,LowDisAccQ,42,2025,Reduced-F1,1.0,0.028308563340410473,113.11647505499423
100k-20seg-50L,LowDisAccQ,42,2026,Reduced-F1,1.0,0.028308563340410473,115.88161205872893
100k-20seg-50L,LowDisAccQ,42,2027,Reduced-F1,1.0,0.028308563340410473,112.70885681733489
100k-200seg-50L,LowDisAccQ,43,2025,Reduced-F1,0.1,0.03878313467354563,110.89969309978187
100k-200seg-50L,LowDisAccQ,43,2026,Reduced-F1,0.1,0.041237113402061855,109.453400131315
100k-200seg-50L,LowDisAccQ,43,2027,Reduced-F1,0.1,0.04614019520851819,110.68953317590058
100k-200seg-50L,LowDisAccQ,43,2025,Reduced-F1,0.2,0.08400702987697715,111.94466007873416
100k-200seg-50L,LowDisAccQ,43,2026,Reduced-F1,0.2,0.0843140699104163,110.6354440562427
100k-200seg-50L,LowDisAccQ,43,2027,Reduced-F1,0.2,0.08333333333333333,111.83132696896791
100k-200seg-50L,LowDisAccQ,43,2025,Reduced-F1,0.3,0.12085225288159274,111.18038394488394
100k-200seg-50L,LowDisAccQ,43,2026,Reduced-F1,0.3,0.11756473058082575,111.75557808019221
100k-200seg-50L,LowDisAccQ,43,2027,Reduced-F1,0.3,0.11686494051784464,111.1061479896307
100k-200seg-50L,LowDisAccQ,43,2025,Reduced-F1,0.4,0.1446629213483146,111.99871590360999
100k-200seg-50L,LowDisAccQ,43,2026,Reduced-F1,0.4,0.15791316526610644,113.43856388702989
100k-200seg-50L,LowDisAccQ,43,2027,Reduced-F1,0.4,0.14990345796033,111.32922698743641
100k-200seg-50L,LowDisAccQ,43,2025,Reduced-F1,0.5,0.16953360524915764,111.48633901029825
100k-200seg-50L,LowDisAccQ,43,2026,Reduced-F1,0.5,0.18091168091168092,111.61537002772093
100k-200seg-50L,LowDisAccQ,43,2027,Reduced-F1,0.5,0.17676230959971662,112.11495194584131
100k-200seg-50L,LowDisAccQ,43,2025,Reduced-F1,0.6,0.19433345441336725,111.1107817851007
100k-200seg-50L,LowDisAccQ,43,2026,Reduced-F1,0.6,0.19555228818231943,112.17317497357726
100k-200seg-50L,LowDisAccQ,43,2027,Reduced-F1,0.6,0.19567194035279142,113.01704496145248
100k-200seg-50L,LowDisAccQ,43,2025,Reduced-F1,0.7,0.2079908239342382,111.77066108211875
100k-200seg-50L,LowDisAccQ,43,2026,Reduced-F1,0.7,0.2111969111969112,111.73381796106696
