case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
100k-20seg-50L,PreQ-NegP-R,42,2025,Reduced-F1,0.05,0.1,0.01,0.02404809619238477,122.36867984756827
100k-20seg-50L,PreQ-NegP-R,42,2026,Reduced-F1,0.05,0.1,0.01,0.02404809619238477,117.39224102348089
100k-20seg-50L,PreQ-NegP-R,42,2027,Reduced-F1,0.05,0.1,0.01,0.02404809619238477,114.81649498455226
100k-20seg-50L,PreQ-NegP-R,42,2025,Reduced-F1,0.05,0.1,0.05,0.02384737678855326,111.8403309956193
100k-20seg-50L,PreQ-NegP-R,42,2026,Reduced-F1,0.05,0.1,0.05,0.02384737678855326,118.89829789288342
100k-20seg-50L,PreQ-NegP-R,42,2027,Reduced-F1,0.05,0.1,0.05,0.02384737678855326,112.39086696878076
100k-20seg-50L,PreQ-NegP-R,42,2025,Reduced-F1,0.05,0.1,0.1,0.023701362828362632,114.78885705582798
100k-20seg-50L,PreQ-NegP-R,42,2026,Reduced-F1,0.05,0.1,0.1,0.023701362828362632,114.21948508359492
100k-20seg-50L,PreQ-NegP-R,42,2027,Reduced-F1,0.05,0.1,0.1,0.023701362828362632,115.72343506850302
100k-20seg-50L,PreQ-NegP-R,42,2025,Reduced-F1,0.05,0.1,0.3,0.014173228346456693,112.21189494244754
100k-20seg-50L,PreQ-NegP-R,42,2026,Reduced-F1,0.05,0.1,0.3,0.014173228346456693,114.72438694909215
100k-20seg-50L,PreQ-NegP-R,42,2027,Reduced-F1,0.05,0.1,0.3,0.014173228346456693,111.99989193119109
100k-20seg-50L,PreQ-NegP-R,42,2025,Reduced-F1,0.05,0.2,0.01,0.024360535931790498,133.3988329861313
100k-20seg-50L,PreQ-NegP-R,42,2026,Reduced-F1,0.05,0.2,0.01,0.024360535931790498,113.84261888451874
100k-20seg-50L,PreQ-NegP-R,42,2027,Reduced-F1,0.05,0.2,0.01,0.024360535931790498,114.22678199596703
100k-20seg-50L,PreQ-NegP-R,42,2025,Reduced-F1,0.05,0.2,0.05,0.024266936299292215,113.51311905309558
100k-20seg-50L,PreQ-NegP-R,42,2026,Reduced-F1,0.05,0.2,0.05,0.024266936299292215,116.25632015056908
100k-20seg-50L,PreQ-NegP-R,42,2027,Reduced-F1,0.05,0.2,0.05,0.024266936299292215,117.31757898814976
