case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.05,0.1,-0.02506940964977126,1509.831442963332
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.05,0.1,-0.02506940964977126,1497.5972569081932
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.05,0.1,-0.02506940964977126,1609.5379919279367
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.05,0.2,-0.018470357862585315,1475.173493148759
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.05,0.2,-0.018470357862585315,1483.9047559071332
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.05,0.2,-0.018470357862585315,1476.7804890871048
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.05,0.3,-0.013350676890905433,1485.0408020429313
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.05,0.3,-0.013350676890905433,1479.2576988693327
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.05,0.3,-0.013350676890905433,1488.9473100192845
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.05,0.4,-0.005321732831394502,1473.9320110529661
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.05,0.4,-0.005321732831394502,1482.937766937539
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.05,0.4,-0.005321732831394502,1476.2421080376953
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.05,0.5,0.01443908741713538,1487.4848679173738
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.05,0.5,0.01443908741713538,1471.980488859117
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.05,0.5,0.01443908741713538,1482.7187180053443
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.05,0.6,0.029201697067451512,1490.2109599206597
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.05,0.6,0.029201697067451512,1480.5182269774377
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.05,0.6,0.029201697067451512,1482.3043551295996
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.05,0.7,0.053204412764373085,1482.6626759022474
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.05,0.7,0.053204412764373085,1512.114553945139
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.05,0.7,0.053204412764373085,1474.5270099956542
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.05,0.8,0.0795259058728259,1465.560341021046
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.05,0.8,0.0795259058728259,1467.3379079904407
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.05,0.8,0.0795259058728259,1477.5632249657065
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.05,0.9,0.09882528903657312,1486.4298538304865
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.05,0.9,0.09882528903657312,1493.847553851083
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.05,0.9,0.09882528903657312,1602.449235972017
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.05,1.0,0.10762680621969656,1463.601800845936
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.05,1.0,0.10762680621969656,1452.3417009040713
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.05,1.0,0.10762680621969656,1473.684648051858
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.1,0.1,-0.01778225181914321,1758.699384983629
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.1,0.1,-0.01778225181914321,1756.5869130194187
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.1,0.1,-0.01778225181914321,1755.1577661652118
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.1,0.2,-0.011603510612219684,1767.5383931491524
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.1,0.2,-0.011603510612219684,1758.5089199710637
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.1,0.2,-0.011603510612219684,1765.6999530736357
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.1,0.3,-0.014593889477976655,1475.2493649721146
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.1,0.3,-0.014593889477976655,1480.4746250156313
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.1,0.3,-0.014593889477976655,1480.5271320510656
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.1,0.4,-0.002619630840531224,1481.8201479502022
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.1,0.4,-0.002619630840531224,1481.9604370277375
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.1,0.4,-0.002619630840531224,1482.6054740697145
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.1,0.5,0.017230871483856307,1504.712583962828
100k-20seg-50L,AccQ-R,42,2026,UAff-F1,0.1,0.5,0.017230871483856307,1577.6566627901047
100k-20seg-50L,AccQ-R,42,2027,UAff-F1,0.1,0.5,0.017230871483856307,1494.2295670043677
100k-20seg-50L,AccQ-R,42,2025,UAff-F1,0.1,0.6,0.03410535781162765,1489.515356021002
