case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,AccQ,42,2025,UAff-F1,0.1,-0.05887515349328525,914.9914761073887
100k-20seg-50L,AccQ,42,2026,UAff-F1,0.1,-0.008314737442430909,910.265598911792
100k-20seg-50L,AccQ,42,2027,UAff-F1,0.1,-0.02455354627432583,905.3034780081362
100k-20seg-50L,AccQ,42,2025,UAff-F1,0.2,-0.07704413579404622,909.1813589911908
100k-20seg-50L,AccQ,42,2026,UAff-F1,0.2,-0.00995236397554515,907.7574100811034
100k-20seg-50L,AccQ,42,2027,UAff-F1,0.2,-0.026598179720318436,902.3604411631823
100k-20seg-50L,AccQ,42,2025,UAff-F1,0.3,-0.061711349023980996,909.3002290464938
100k-20seg-50L,AccQ,42,2026,UAff-F1,0.3,-0.021160179742383694,902.4358720052987
100k-20seg-50L,AccQ,42,2027,UAff-F1,0.3,-0.014156395716829948,905.9147799853235
100k-20seg-50L,AccQ,42,2025,UAff-F1,0.4,-0.05303047819907641,907.4326360132545
100k-20seg-50L,AccQ,42,2026,UAff-F1,0.4,-0.018027016787147188,904.4501900207251
100k-20seg-50L,AccQ,42,2027,UAff-F1,0.4,-0.026905325166103083,902.4361611809582
100k-20seg-50L,AccQ,42,2025,UAff-F1,0.5,-0.04972269990444752,908.7315229699016
100k-20seg-50L,AccQ,42,2026,UAff-F1,0.5,0.017347066026003555,909.8805778194219
100k-20seg-50L,AccQ,42,2027,UAff-F1,0.5,0.0034431225443397715,907.4931689538062
100k-20seg-50L,AccQ,42,2025,UAff-F1,0.6,-0.021667760708277674,908.2634930964559
100k-20seg-50L,AccQ,42,2026,UAff-F1,0.6,0.01969596907939996,907.0513490587473
100k-20seg-50L,AccQ,42,2027,UAff-F1,0.6,0.025878137700058187,912.1446791104972
100k-20seg-50L,AccQ,42,2025,UAff-F1,0.7,0.001637739213945699,902.1507250145078
100k-20seg-50L,AccQ,42,2026,UAff-F1,0.7,0.07168078315143932,914.040694013238
100k-20seg-50L,AccQ,42,2027,UAff-F1,0.7,0.050391604430372036,909.6235730685294
100k-20seg-50L,AccQ,42,2025,UAff-F1,0.8,0.029963557738764687,907.4636439327151
100k-20seg-50L,AccQ,42,2026,UAff-F1,0.8,0.12426007137575003,912.418742896989
100k-20seg-50L,AccQ,42,2027,UAff-F1,0.8,0.10759872455155493,911.269661039114
100k-20seg-50L,AccQ,42,2025,UAff-F1,0.9,0.16527309568141862,911.1421308480203
100k-20seg-50L,AccQ,42,2026,UAff-F1,0.9,0.2195156725954432,906.1661730520427
100k-20seg-50L,AccQ,42,2027,UAff-F1,0.9,0.1946860872718794,913.951750844717
100k-20seg-50L,AccQ,42,2025,UAff-F1,1.0,0.3391167943748654,878.9640059694648
100k-20seg-50L,AccQ,42,2026,UAff-F1,1.0,0.3819919489082342,883.9488020166755
100k-20seg-50L,AccQ,42,2027,UAff-F1,1.0,0.3768699856923563,878.262093057856
100k-200seg-50L,AccQ,43,2025,UAff-F1,0.1,-0.2718109611899326,3388.095245929435
100k-200seg-50L,AccQ,43,2026,UAff-F1,0.1,-0.30170759215454995,3376.3823308981955
100k-200seg-50L,AccQ,43,2027,UAff-F1,0.1,-0.20401905989602215,3389.850517967716
100k-200seg-50L,AccQ,43,2025,UAff-F1,0.2,-0.22371017144456676,3387.2970738448203
100k-200seg-50L,AccQ,43,2026,UAff-F1,0.2,-0.27048587877208613,3391.470873961225
100k-200seg-50L,AccQ,43,2027,UAff-F1,0.2,-0.15415134781012152,3391.08153921552
100k-200seg-50L,AccQ,43,2025,UAff-F1,0.3,-0.19414706589588704,3386.2161689903587
100k-200seg-50L,AccQ,43,2026,UAff-F1,0.3,-0.2256387953181272,3397.3637390881777
100k-200seg-50L,AccQ,43,2027,UAff-F1,0.3,-0.1122135956297692,3395.5239539500326
100k-200seg-50L,AccQ,43,2025,UAff-F1,0.4,-0.13945534878500698,3389.78005386889
100k-200seg-50L,AccQ,43,2026,UAff-F1,0.4,-0.13269655960660134,3407.2641900274903
100k-200seg-50L,AccQ,43,2027,UAff-F1,0.4,-0.039847684498169306,3403.9272649679333
100k-200seg-50L,AccQ,43,2025,UAff-F1,0.5,-0.0699672498258296,3397.206488996744
100k-200seg-50L,AccQ,43,2026,UAff-F1,0.5,-0.016769098765981837,3410.0775299593806
100k-200seg-50L,AccQ,43,2027,UAff-F1,0.5,0.06273925097491506,3406.4094030763954
