case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.05,0.1,0.007263758326471177,903.8479670416564
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.05,0.1,0.007263758326471177,932.2098989505321
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.05,0.1,0.007263758326471177,978.3669891767204
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.05,0.2,2.9537866857268687e-05,955.7860479690135
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.05,0.2,2.9537866857268687e-05,967.7053650375456
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.05,0.2,2.9537866857268687e-05,958.4110321011394
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.05,0.3,-0.00921434514874539,964.0478531364352
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.05,0.3,-0.00921434514874539,958.7152409367263
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.05,0.3,-0.00921434514874539,966.293100034818
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.05,0.4,0.0032385382093670237,959.0817061252892
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.05,0.4,0.0032385382093670237,958.5315661970526
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.05,0.4,0.0032385382093670237,967.425359878689
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.05,0.5,0.024401138333067583,959.2993690166622
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.05,0.5,0.024401138333067583,954.2234621476382
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.05,0.5,0.024401138333067583,955.2311280276626
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.05,0.6,0.03146669347780771,963.2657929323614
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.05,0.6,0.03146669347780771,954.9965541809797
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.05,0.6,0.03146669347780771,964.679682161659
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.05,0.7,0.053090134410553776,959.9920439068228
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.05,0.7,0.053090134410553776,965.3106238692999
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.05,0.7,0.053090134410553776,956.2675938941538
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.05,0.8,0.08417141771235259,965.0398229714483
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.05,0.8,0.08417141771235259,962.6240900252014
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.05,0.8,0.08417141771235259,963.110868120566
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.05,0.9,0.18896533792782633,955.4414800368249
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.05,0.9,0.18896533792782633,961.07063209638
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.05,0.9,0.18896533792782633,954.3533828109503
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.05,1.0,0.3893974810955354,919.1599281039089
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.05,1.0,0.3893974810955354,927.7724958956242
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.05,1.0,0.3893974810955354,932.5609079096466
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.1,0.1,0.02936140150297094,954.2427428532392
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.1,0.1,0.02936140150297094,974.1452529560775
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.1,0.1,0.02936140150297094,963.8301318045706
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.1,0.2,0.026015427103687237,967.3148868605494
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.1,0.2,0.026015427103687237,972.2223959397525
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.1,0.2,0.026015427103687237,963.1126439198852
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.1,0.3,0.017995533526405483,955.9086700901389
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.1,0.3,0.017995533526405483,959.2039589770138
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.1,0.3,0.017995533526405483,963.5393230710179
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.1,0.4,0.01986650652429779,965.6806101556867
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.1,0.4,0.01986650652429779,963.992128148675
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.1,0.4,0.01986650652429779,958.9306409470737
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.1,0.5,0.03125221481365015,968.2568041607738
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.1,0.5,0.03125221481365015,960.3473038878292
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.1,0.5,0.03125221481365015,966.8719300534576
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.1,0.6,0.04451744667840194,967.5912780221552
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.1,0.6,0.04451744667840194,960.1573119871318
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.1,0.6,0.04451744667840194,962.4090029392391
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.1,0.7,0.06022149878740258,959.4518740195781
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.1,0.7,0.06022149878740258,963.3577619679272
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.1,0.7,0.06022149878740258,954.972012899816
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.1,0.8,0.09267462397862015,968.2401579339057
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.1,0.8,0.09267462397862015,975.043656071648
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.1,0.8,0.09267462397862015,962.6280639786273
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.1,0.9,0.19386038275562825,957.0542711298913
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.1,0.9,0.19386038275562825,955.4267439525574
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.1,0.9,0.19386038275562825,950.7545961532742
100k-20seg-50L,LowDisAccQ-R,42,2025,UAff-F1,0.1,1.0,0.3851318629890101,932.9265870619565
100k-20seg-50L,LowDisAccQ-R,42,2026,UAff-F1,0.1,1.0,0.3851318629890101,927.9755710158497
100k-20seg-50L,LowDisAccQ-R,42,2027,UAff-F1,0.1,1.0,0.3851318629890101,936.4604640286416
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.05,0.1,-0.24361919480974725,3440.8895359374583
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.05,0.1,-0.24361919480974725,3435.6401129625738
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.05,0.1,-0.24361919480974725,3429.3043569196016
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.05,0.2,-0.19294576272080222,3448.2585440855473
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.05,0.2,-0.19294576272080222,3445.940592093393
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.05,0.2,-0.19294576272080222,3437.9826260264963
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.05,0.3,-0.1288580348198737,3438.734735129401
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.05,0.3,-0.1288580348198737,3444.5600959006697
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.05,0.3,-0.1288580348198737,3463.475906988606
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.05,0.4,-0.07281376254841393,3445.7989528309554
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.05,0.4,-0.07281376254841393,3442.2789888922125
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.05,0.4,-0.07281376254841393,3450.766753870994
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.05,0.5,0.037299105442847244,3447.385899024084
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.05,0.5,0.037299105442847244,3441.4719599299133
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.05,0.5,0.037299105442847244,3449.5702132117003
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.05,0.6,0.12995996828808082,3452.9712619259953
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.05,0.6,0.12995996828808082,3474.495792062953
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.05,0.6,0.12995996828808082,3449.075296986848
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.05,0.7,0.25534098430045965,3436.6253598127514
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.05,0.7,0.25534098430045965,3455.5471129715443
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.05,0.7,0.25534098430045965,3567.000726936385
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.05,0.8,0.4129897732654281,3419.3858068902045
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.05,0.8,0.4129897732654281,3419.9071421753615
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.05,0.8,0.4129897732654281,3419.4618719629943
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.05,0.9,0.6225840645194796,3324.6441001538187
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.05,0.9,0.6225840645194796,3343.379155965522
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.05,0.9,0.6225840645194796,3347.73564315401
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.05,1.0,0.9992770719540283,2718.699546996504
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.05,1.0,0.9992770719540283,2723.4399830922484
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.05,1.0,0.9992770719540283,2716.963693033904
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.1,0.1,-0.2516363385945544,3448.2968009542674
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.1,0.1,-0.2516363385945544,3444.339199922979
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.1,0.1,-0.2516363385945544,3443.809201940894
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.1,0.2,-0.21647983684739297,3445.8631430752575
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.1,0.2,-0.21647983684739297,3460.3353440761566
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.1,0.2,-0.21647983684739297,3442.398598883301
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.1,0.3,-0.1327521936314061,3451.5198059380054
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.1,0.3,-0.1327521936314061,3445.065103005618
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.1,0.3,-0.1327521936314061,3447.266713017598
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.1,0.4,-0.0741937100596779,3444.002591073513
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.1,0.4,-0.0741937100596779,3453.9176418911666
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.1,0.4,-0.0741937100596779,3443.706190213561
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.1,0.5,0.02488849014037322,3453.747009858489
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.1,0.5,0.02488849014037322,3459.945307811722
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.1,0.5,0.02488849014037322,3458.3571031689644
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.1,0.6,0.1351299182606634,3447.920399950817
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.1,0.6,0.1351299182606634,3455.6058580055833
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.1,0.6,0.1351299182606634,3445.991060929373
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.1,0.7,0.26051906600090713,3457.581002963707
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.1,0.7,0.26051906600090713,3435.6719641946256
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.1,0.7,0.26051906600090713,3458.2008910365403
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.1,0.8,0.41993163149236423,3410.792129812762
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.1,0.8,0.41993163149236423,3424.436040222645
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.1,0.8,0.41993163149236423,3422.558574937284
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.1,0.9,0.6224061535183982,3331.4762639347464
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.1,0.9,0.6224061535183982,3325.557379052043
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.1,0.9,0.6224061535183982,3331.6199649125338
100k-200seg-50L,LowDisAccQ-R,43,2025,UAff-F1,0.1,1.0,0.9902755086374648,2741.7132910341024
100k-200seg-50L,LowDisAccQ-R,43,2026,UAff-F1,0.1,1.0,0.9902755086374648,2756.4634738955647
100k-200seg-50L,LowDisAccQ-R,43,2027,UAff-F1,0.1,1.0,0.9902755086374648,2740.2998190373182
100k-20seg-50H,LowDisAccQ-R,44,2025,UAff-F1,0.05,0.1,-0.06413951945740931,942.6184920594096
100k-20seg-50H,LowDisAccQ-R,44,2026,UAff-F1,0.05,0.1,-0.06413951945740931,943.0757840164006
100k-20seg-50H,LowDisAccQ-R,44,2027,UAff-F1,0.05,0.1,-0.06413951945740931,945.4510789364576
100k-20seg-50H,LowDisAccQ-R,44,2025,UAff-F1,0.05,0.2,-0.06160922857236599,945.3869389835745
100k-20seg-50H,LowDisAccQ-R,44,2026,UAff-F1,0.05,0.2,-0.06160922857236599,946.0618321318179
100k-20seg-50H,LowDisAccQ-R,44,2027,UAff-F1,0.05,0.2,-0.06160922857236599,945.4697701148689
100k-20seg-50H,LowDisAccQ-R,44,2025,UAff-F1,0.05,0.3,-0.04652177072602105,949.0404019597918
100k-20seg-50H,LowDisAccQ-R,44,2026,UAff-F1,0.05,0.3,-0.04652177072602105,948.9601459354162
100k-20seg-50H,LowDisAccQ-R,44,2027,UAff-F1,0.05,0.3,-0.04652177072602105,940.2789559680969
100k-20seg-50H,LowDisAccQ-R,44,2025,UAff-F1,0.05,0.4,-0.028105718463354017,943.8630880322307
100k-20seg-50H,LowDisAccQ-R,44,2026,UAff-F1,0.05,0.4,-0.028105718463354017,946.346027078107
100k-20seg-50H,LowDisAccQ-R,44,2027,UAff-F1,0.05,0.4,-0.028105718463354017,946.0039620753378
100k-20seg-50H,LowDisAccQ-R,44,2025,UAff-F1,0.05,0.5,-0.014036524043381649,945.956515148282
100k-20seg-50H,LowDisAccQ-R,44,2026,UAff-F1,0.05,0.5,-0.014036524043381649,949.331299867481
100k-20seg-50H,LowDisAccQ-R,44,2027,UAff-F1,0.05,0.5,-0.014036524043381649,946.4899888262153
100k-20seg-50H,LowDisAccQ-R,44,2025,UAff-F1,0.05,0.6,0.0015981990200201201,945.8240440580994
100k-20seg-50H,LowDisAccQ-R,44,2026,UAff-F1,0.05,0.6,0.0015981990200201201,943.6202100478113
100k-20seg-50H,LowDisAccQ-R,44,2027,UAff-F1,0.05,0.6,0.0015981990200201201,958.6025350727141
