case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,LowDisAccQ,42,2025,UAff-F1,0.1,-0.05887515349328525,925.5927931517363
100k-20seg-50L,LowDisAccQ,42,2026,UAff-F1,0.1,-0.008314737442430909,950.9212879929692
100k-20seg-50L,LowDisAccQ,42,2027,UAff-F1,0.1,-0.02455354627432583,984.0667420066893
100k-20seg-50L,LowDisAccQ,42,2025,UAff-F1,0.2,-0.07704413579404622,976.8947251141071
100k-20seg-50L,LowDisAccQ,42,2026,UAff-F1,0.2,-0.00995236397554515,975.3045970574021
100k-20seg-50L,LowDisAccQ,42,2027,UAff-F1,0.2,-0.026598179720318436,972.9358379263431
100k-20seg-50L,LowDisAccQ,42,2025,UAff-F1,0.3,-0.061711349023980996,981.755331158638
100k-20seg-50L,LowDisAccQ,42,2026,UAff-F1,0.3,-0.021160179742383694,969.495452940464
100k-20seg-50L,LowDisAccQ,42,2027,UAff-F1,0.3,-0.014156395716829948,966.4415861479938
100k-20seg-50L,LowDisAccQ,42,2025,UAff-F1,0.4,-0.05303047819907641,975.6324000190943
100k-20seg-50L,LowDisAccQ,42,2026,UAff-F1,0.4,-0.018027016787147188,968.5823610052466
100k-20seg-50L,LowDisAccQ,42,2027,UAff-F1,0.4,-0.026905325166103083,970.9475149866194
100k-20seg-50L,LowDisAccQ,42,2025,UAff-F1,0.5,-0.04972269990444752,971.5196220204234
100k-20seg-50L,LowDisAccQ,42,2026,UAff-F1,0.5,0.017347066026003555,972.7331050671637
100k-20seg-50L,LowDisAccQ,42,2027,UAff-F1,0.5,0.0034431225443397715,970.1967681758106
100k-20seg-50L,LowDisAccQ,42,2025,UAff-F1,0.6,-0.021667760708277674,967.1761631034315
100k-20seg-50L,LowDisAccQ,42,2026,UAff-F1,0.6,0.01969596907939996,976.3793419115245
100k-20seg-50L,LowDisAccQ,42,2027,UAff-F1,0.6,0.025878137700058187,968.5972519218922
100k-20seg-50L,LowDisAccQ,42,2025,UAff-F1,0.7,0.001637739213945699,976.1624429374933
100k-20seg-50L,LowDisAccQ,42,2026,UAff-F1,0.7,0.07168078315143932,970.0381900183856
100k-20seg-50L,LowDisAccQ,42,2027,UAff-F1,0.7,0.050391604430372036,968.1746331043541
100k-20seg-50L,LowDisAccQ,42,2025,UAff-F1,0.8,0.029963557738764687,966.5740539785475
100k-20seg-50L,LowDisAccQ,42,2026,UAff-F1,0.8,0.12426007137575003,963.0034340079874
100k-20seg-50L,LowDisAccQ,42,2027,UAff-F1,0.8,0.10759872455155493,963.022616924718
100k-20seg-50L,LowDisAccQ,42,2025,UAff-F1,0.9,0.16527309568141862,967.3538759816438
100k-20seg-50L,LowDisAccQ,42,2026,UAff-F1,0.9,0.2195156725954432,968.9820259809494
100k-20seg-50L,LowDisAccQ,42,2027,UAff-F1,0.9,0.1946860872718794,973.1544971000403
100k-20seg-50L,LowDisAccQ,42,2025,UAff-F1,1.0,0.3391167943748654,931.5822408534586
100k-20seg-50L,LowDisAccQ,42,2026,UAff-F1,1.0,0.3819919489082342,942.1515960711986
100k-20seg-50L,LowDisAccQ,42,2027,UAff-F1,1.0,0.3768699856923563,932.4458290357143
100k-200seg-50L,LowDisAccQ,43,2025,UAff-F1,0.1,-0.2718109611899326,3460.989647079259
100k-200seg-50L,LowDisAccQ,43,2026,UAff-F1,0.1,-0.30170759215454995,3449.759013019502
100k-200seg-50L,LowDisAccQ,43,2027,UAff-F1,0.1,-0.20401905989602215,3457.1209351997823
100k-200seg-50L,LowDisAccQ,43,2025,UAff-F1,0.2,-0.22371017144456676,3445.0170430354774
100k-200seg-50L,LowDisAccQ,43,2026,UAff-F1,0.2,-0.27048587877208613,3448.585412930697
100k-200seg-50L,LowDisAccQ,43,2027,UAff-F1,0.2,-0.15415134781012152,3454.2624710593373
100k-200seg-50L,LowDisAccQ,43,2025,UAff-F1,0.3,-0.19414706589588704,3448.5537020955235
100k-200seg-50L,LowDisAccQ,43,2026,UAff-F1,0.3,-0.2256387953181272,3449.4254221208394
100k-200seg-50L,LowDisAccQ,43,2027,UAff-F1,0.3,-0.1122135956297692,3461.2854460719973
100k-200seg-50L,LowDisAccQ,43,2025,UAff-F1,0.4,-0.13945534878500698,3466.999642085284
100k-200seg-50L,LowDisAccQ,43,2026,UAff-F1,0.4,-0.13269655960660134,3456.658845068887
100k-200seg-50L,LowDisAccQ,43,2027,UAff-F1,0.4,-0.039847684498169306,3470.420696074143
100k-200seg-50L,LowDisAccQ,43,2025,UAff-F1,0.5,-0.0699672498258296,3467.703555012122
100k-200seg-50L,LowDisAccQ,43,2026,UAff-F1,0.5,-0.016769098765981837,3467.1131900977343
100k-200seg-50L,LowDisAccQ,43,2027,UAff-F1,0.5,0.06273925097491506,3464.8224089760333
100k-200seg-50L,LowDisAccQ,43,2025,UAff-F1,0.6,0.06599035431215841,3463.3842860348523
100k-200seg-50L,LowDisAccQ,43,2026,UAff-F1,0.6,0.12558737411932452,3466.8835871852934
100k-200seg-50L,LowDisAccQ,43,2027,UAff-F1,0.6,0.17718496059497946,3467.7602821029723
100k-200seg-50L,LowDisAccQ,43,2025,UAff-F1,0.7,0.21977772440350232,3450.254410970956
100k-200seg-50L,LowDisAccQ,43,2026,UAff-F1,0.7,0.2556273952358181,3464.2093998845667
100k-200seg-50L,LowDisAccQ,43,2027,UAff-F1,0.7,0.3059994533226804,3477.0371350459754
100k-200seg-50L,LowDisAccQ,43,2025,UAff-F1,0.8,0.37842946344884465,3430.8486918453127
100k-200seg-50L,LowDisAccQ,43,2026,UAff-F1,0.8,0.4195171768505108,3423.3631710521877
100k-200seg-50L,LowDisAccQ,43,2027,UAff-F1,0.8,0.4392068098213833,3444.8629079852253
100k-200seg-50L,LowDisAccQ,43,2025,UAff-F1,0.9,0.6143549538604887,3360.652928939089
100k-200seg-50L,LowDisAccQ,43,2026,UAff-F1,0.9,0.6221108410623666,3345.6706788856536
100k-200seg-50L,LowDisAccQ,43,2027,UAff-F1,0.9,0.6295276721674569,3361.093719024211
100k-200seg-50L,LowDisAccQ,43,2025,UAff-F1,1.0,0.9992660426710427,2737.0328311808407
100k-200seg-50L,LowDisAccQ,43,2026,UAff-F1,1.0,0.9993002362140211,2742.1983999665827
100k-200seg-50L,LowDisAccQ,43,2027,UAff-F1,1.0,0.9992810800175672,2754.7812717966735
100k-20seg-50H,LowDisAccQ,44,2025,UAff-F1,0.1,-0.015626380588854,1064.4136159680784
