case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.1,0.01,0.022605511269150818,1131.3973141368479
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.1,0.01,0.022605511269150818,1119.9445289094
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.1,0.01,0.022605511269150818,1073.9991769660264
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.1,0.05,0.04105301511350531,1097.6750880945474
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.1,0.05,0.04105301511350531,1069.8057720437646
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.1,0.05,0.04105301511350531,1091.5443380363286
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.1,0.1,0.022261701353837156,1120.4545269720256
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.1,0.1,0.022261701353837156,1113.201920175925
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.1,0.1,0.022261701353837156,1114.2799549270421
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.1,0.3,-0.005576635150250333,1095.0726771261543
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.1,0.3,-0.005576635150250333,1101.924248971045
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.1,0.3,-0.005576635150250333,1117.5733541604131
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.2,0.01,0.07492855736435237,1114.9608311243355
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.2,0.01,0.07492855736435237,1111.4241410978138
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.2,0.01,0.07492855736435237,1116.2519720382988
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.2,0.05,0.10145178362815697,1106.9916300475597
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.2,0.05,0.10145178362815697,1111.8061088491231
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.2,0.05,0.10145178362815697,1095.5386620480567
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.2,0.1,0.05011657944131542,1095.4013979062438
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.2,0.1,0.05011657944131542,1098.7525419332087
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.2,0.1,0.05011657944131542,1113.77403116785
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.2,0.3,0.022780851303565167,1100.0322359614074
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.2,0.3,0.022780851303565167,1092.3802240286022
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.2,0.3,0.022780851303565167,1115.702224895358
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.3,0.01,0.15913926685412336,1092.4784999806434
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.3,0.01,0.15913926685412336,1103.2221699133515
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.3,0.01,0.15913926685412336,1082.2304948233068
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.3,0.05,0.10888300602716149,1083.1512599252164
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.3,0.05,0.10888300602716149,1068.0504040792584
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.3,0.05,0.10888300602716149,1098.6503050662577
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.3,0.1,0.09694239966454157,1068.4542569797486
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.3,0.1,0.09694239966454157,1065.588474040851
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.3,0.1,0.09694239966454157,1091.619161190465
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.3,0.3,-0.031442209889059755,1103.290535043925
100k-20seg-50L,PreQ-NegP-R,42,2026,UAff-F1,0.05,0.3,0.3,-0.031442209889059755,1102.0294548943639
100k-20seg-50L,PreQ-NegP-R,42,2027,UAff-F1,0.05,0.3,0.3,-0.031442209889059755,1084.3071199487895
100k-20seg-50L,PreQ-NegP-R,42,2025,UAff-F1,0.05,0.4,0.01,0.19101751213799148,1129.7267889603972
