case_name,model_name,case_seed,score_seed,metric_name,q,p,val,latency
100k-20seg-50L,PreQ-NegP,42,2025,UAff-F1,0.1,0.01,0.03744084547891032,908.6495658848435
100k-20seg-50L,PreQ-NegP,42,2026,UAff-F1,0.1,0.01,0.0825492260624326,910.0952909793705
100k-20seg-50L,PreQ-NegP,42,2027,UAff-F1,0.1,0.01,0.02333405288100049,917.153598042205
100k-20seg-50L,PreQ-NegP,42,2025,UAff-F1,0.1,0.05,0.0703649290350698,907.5283980928361
100k-20seg-50L,PreQ-NegP,42,2026,UAff-F1,0.1,0.05,-0.04273716806583243,906.256363959983
100k-20seg-50L,PreQ-NegP,42,2027,UAff-F1,0.1,0.05,0.013552150010465764,907.5702738482505
100k-20seg-50L,PreQ-NegP,42,2025,UAff-F1,0.1,0.1,0.04910337056412606,909.1079249046743
100k-20seg-50L,PreQ-NegP,42,2026,UAff-F1,0.1,0.1,0.025320887870673266,909.9969980306923
100k-20seg-50L,PreQ-NegP,42,2027,UAff-F1,0.1,0.1,0.005428534198831975,910.3303679730743
100k-20seg-50L,PreQ-NegP,42,2025,UAff-F1,0.1,0.3,-0.03318648492833175,910.856771050021
100k-20seg-50L,PreQ-NegP,42,2026,UAff-F1,0.1,0.3,-0.06309220920425773,915.2916639577597
100k-20seg-50L,PreQ-NegP,42,2027,UAff-F1,0.1,0.3,-0.059905799838428773,907.5457779690623
100k-20seg-50L,PreQ-NegP,42,2025,UAff-F1,0.2,0.01,0.0942242984784674,914.6246858872473
100k-20seg-50L,PreQ-NegP,42,2026,UAff-F1,0.2,0.01,0.09493711601066183,907.8907310031354
100k-20seg-50L,PreQ-NegP,42,2027,UAff-F1,0.2,0.01,0.08544928966613609,910.6989728752524
100k-20seg-50L,PreQ-NegP,42,2025,UAff-F1,0.2,0.05,0.10782004021827041,912.6049380283803
100k-20seg-50L,PreQ-NegP,42,2026,UAff-F1,0.2,0.05,0.07578640290193975,915.5630068853498
100k-20seg-50L,PreQ-NegP,42,2027,UAff-F1,0.2,0.05,0.08270756825868969,907.5504480861127
100k-20seg-50L,PreQ-NegP,42,2025,UAff-F1,0.2,0.1,0.11343563954256299,907.4875188525766
100k-20seg-50L,PreQ-NegP,42,2026,UAff-F1,0.2,0.1,0.07325692393444275,907.5515728909522
100k-20seg-50L,PreQ-NegP,42,2027,UAff-F1,0.2,0.1,0.025087623279172633,910.3627421427518
100k-20seg-50L,PreQ-NegP,42,2025,UAff-F1,0.2,0.3,0.014677247976101955,915.740709984675
100k-20seg-50L,PreQ-NegP,42,2026,UAff-F1,0.2,0.3,-0.0048210853169187795,911.773385014385
100k-20seg-50L,PreQ-NegP,42,2027,UAff-F1,0.2,0.3,-0.005056960858449869,912.1157289482653
100k-20seg-50L,PreQ-NegP,42,2025,UAff-F1,0.3,0.01,0.1639995045745863,908.3079299889505
