case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.05,0.1,0.578563694542523,8322.236886946484
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.05,0.1,0.578563694542523,7918.306973064318
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.05,0.1,0.578563694542523,7513.695544097573
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.05,0.2,0.6196006383690268,7442.672170931473
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.05,0.2,0.6196006383690268,7455.036906991154
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.05,0.2,0.6196006383690268,7611.959700938314
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.05,0.3,0.6656270119766314,7444.744209060445
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.05,0.3,0.6656270119766314,7307.009553071111
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.05,0.3,0.6656270119766314,7364.496822934598
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.05,0.4,0.7071681020417542,7612.979830941185
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.05,0.4,0.7071681020417542,7374.668567907065
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.05,0.4,0.7071681020417542,7443.369958084077
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.05,0.5,0.7579628798813506,7574.04797594063
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.05,0.5,0.7579628798813506,7542.215337045491
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.05,0.5,0.7579628798813506,7694.219577824697
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.05,0.6,0.8023374547041968,7653.08275911957
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.05,0.6,0.8023374547041968,7675.375520018861
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.05,0.6,0.8023374547041968,7583.580568898469
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.05,0.7,0.8500118024279474,7824.0396389737725
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.05,0.7,0.8500118024279474,7451.938734855503
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.05,0.7,0.8500118024279474,6690.697151934728
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.05,0.8,0.8978278424191826,6715.907665202394
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.05,0.8,0.8978278424191826,6724.55727099441
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.05,0.8,0.8978278424191826,9180.242229951546
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.05,0.9,0.9503791271472434,7597.511732950807
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.05,0.9,0.9503791271472434,7234.314656117931
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.05,0.9,0.9503791271472434,6543.789098970592
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.05,1.0,0.9993414037444913,6660.077266860753
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.05,1.0,0.9993414037444913,6674.231590004638
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.05,1.0,0.9993414037444913,9296.799014089629
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.1,0.1,0.5743174984014965,8251.816933974624
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.1,0.1,0.5743174984014965,7820.95896708779
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.1,0.1,0.5743174984014965,7627.346088876948
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.1,0.2,0.6173052438100406,7389.452810864896
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.1,0.2,0.6173052438100406,7548.896190011874
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.1,0.2,0.6173052438100406,7554.813283029944
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.1,0.3,0.6650193812434777,7648.9430328365415
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.1,0.3,0.6650193812434777,7905.377442017198
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.1,0.3,0.6650193812434777,7892.790250014514
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.1,0.4,0.7064985309383889,7895.991284167394
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.1,0.4,0.7064985309383889,7912.372621940449
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.1,0.4,0.7064985309383889,7796.591399004683
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.1,0.5,0.758209921893031,7919.8062508367
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.1,0.5,0.758209921893031,7835.521666100249
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.1,0.5,0.758209921893031,7575.959871057421
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.1,0.6,0.8028501045705556,7690.292761893943
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.1,0.6,0.8028501045705556,7784.9551839753985
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.1,0.6,0.8028501045705556,7616.633984958753
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.1,0.7,0.8503366033088995,7781.579416943714
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.1,0.7,0.8503366033088995,7723.495520185679
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.1,0.7,0.8503366033088995,7691.121920011938
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.1,0.8,0.8984689341566311,7865.8245170954615
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.1,0.8,0.8984689341566311,7876.921941991895
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.1,0.8,0.8984689341566311,7917.265268974006
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.1,0.9,0.9507915391508475,7947.503827046603
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.1,0.9,0.9507915391508475,8076.472636079416
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.1,0.9,0.9507915391508475,7807.7725421171635
100k-20seg-50L,AccQ-R,42,2025,VUS-ROC,0.1,1.0,0.9994125322342794,7472.0764281228185
100k-20seg-50L,AccQ-R,42,2026,VUS-ROC,0.1,1.0,0.9994125322342794,7658.488907851279
100k-20seg-50L,AccQ-R,42,2027,VUS-ROC,0.1,1.0,0.9994125322342794,7799.757566070184
100k-200seg-50L,AccQ-R,43,2025,VUS-ROC,0.05,0.1,0.5886222479075236,37341.96085506119
100k-200seg-50L,AccQ-R,43,2026,VUS-ROC,0.05,0.1,0.5886222479075236,36152.7285061311
100k-200seg-50L,AccQ-R,43,2027,VUS-ROC,0.05,0.1,0.5886222479075236,35756.28724694252
100k-200seg-50L,AccQ-R,43,2025,VUS-ROC,0.05,0.2,0.6324098519090946,36102.696142857894
100k-200seg-50L,AccQ-R,43,2026,VUS-ROC,0.05,0.2,0.6324098519090946,37007.74417608045
100k-200seg-50L,AccQ-R,43,2027,VUS-ROC,0.05,0.2,0.6324098519090946,37468.56433595531
100k-200seg-50L,AccQ-R,43,2025,VUS-ROC,0.05,0.3,0.6781856012621357,37797.383696073666
100k-200seg-50L,AccQ-R,43,2026,VUS-ROC,0.05,0.3,0.6781856012621357,35867.88730416447
100k-200seg-50L,AccQ-R,43,2027,VUS-ROC,0.05,0.3,0.6781856012621357,35544.638531981036
100k-200seg-50L,AccQ-R,43,2025,VUS-ROC,0.05,0.4,0.721278565397657,34878.57065489516
100k-200seg-50L,AccQ-R,43,2026,VUS-ROC,0.05,0.4,0.721278565397657,41778.800427913666
100k-200seg-50L,AccQ-R,43,2027,VUS-ROC,0.05,0.4,0.721278565397657,38315.050126984715
100k-200seg-50L,AccQ-R,43,2025,VUS-ROC,0.05,0.5,0.7664815370417093,37516.48828294128
100k-200seg-50L,AccQ-R,43,2026,VUS-ROC,0.05,0.5,0.7664815370417093,37552.71349614486
100k-200seg-50L,AccQ-R,43,2027,VUS-ROC,0.05,0.5,0.7664815370417093,36633.99744709022
100k-200seg-50L,AccQ-R,43,2025,VUS-ROC,0.05,0.6,0.8118195035275325,35587.42506685667
100k-200seg-50L,AccQ-R,43,2026,VUS-ROC,0.05,0.6,0.8118195035275325,35998.945503961295
100k-200seg-50L,AccQ-R,43,2027,VUS-ROC,0.05,0.6,0.8118195035275325,41086.8664549198
100k-200seg-50L,AccQ-R,43,2025,VUS-ROC,0.05,0.7,0.8584104215862206,39452.885519945994
100k-200seg-50L,AccQ-R,43,2026,VUS-ROC,0.05,0.7,0.8584104215862206,39078.93407694064
100k-200seg-50L,AccQ-R,43,2027,VUS-ROC,0.05,0.7,0.8584104215862206,37439.54009003937
100k-200seg-50L,AccQ-R,43,2025,VUS-ROC,0.05,0.8,0.9062469466221034,36006.132355192676
100k-200seg-50L,AccQ-R,43,2026,VUS-ROC,0.05,0.8,0.9062469466221034,35827.670188155025
100k-200seg-50L,AccQ-R,43,2027,VUS-ROC,0.05,0.8,0.9062469466221034,35771.97714196518
100k-200seg-50L,AccQ-R,43,2025,VUS-ROC,0.05,0.9,0.9544146951945036,35328.32804485224
100k-200seg-50L,AccQ-R,43,2026,VUS-ROC,0.05,0.9,0.9544146951945036,34250.712655019015
100k-200seg-50L,AccQ-R,43,2027,VUS-ROC,0.05,0.9,0.9544146951945036,34949.36419208534
100k-200seg-50L,AccQ-R,43,2025,VUS-ROC,0.05,1.0,0.9997707547731922,35050.241301069036
