case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,LowDisAccQ-R,42,2025,VUS-ROC,0.05,0.1,0.5799858213617867,8973.242301028222
100k-20seg-50L,LowDisAccQ-R,42,2026,VUS-ROC,0.05,0.1,0.5799858213617867,7661.761761875823
100k-20seg-50L,LowDisAccQ-R,42,2027,VUS-ROC,0.05,0.1,0.5799858213617867,7589.876257115975
100k-20seg-50L,LowDisAccQ-R,42,2025,VUS-ROC,0.05,0.2,0.6203840458688361,7575.507414061576
100k-20seg-50L,LowDisAccQ-R,42,2026,VUS-ROC,0.05,0.2,0.6203840458688361,7573.3001618646085
100k-20seg-50L,LowDisAccQ-R,42,2027,VUS-ROC,0.05,0.2,0.6203840458688361,7679.093940882012
100k-20seg-50L,LowDisAccQ-R,42,2025,VUS-ROC,0.05,0.3,0.6663546311954024,7615.318272029981
100k-20seg-50L,LowDisAccQ-R,42,2026,VUS-ROC,0.05,0.3,0.6663546311954024,7722.009462071583
100k-20seg-50L,LowDisAccQ-R,42,2027,VUS-ROC,0.05,0.3,0.6663546311954024,7242.117851041257
100k-20seg-50L,LowDisAccQ-R,42,2025,VUS-ROC,0.05,0.4,0.7074250768952404,7214.396751020104
100k-20seg-50L,LowDisAccQ-R,42,2026,VUS-ROC,0.05,0.4,0.7074250768952404,7136.870226124302
100k-20seg-50L,LowDisAccQ-R,42,2027,VUS-ROC,0.05,0.4,0.7074250768952404,7236.081223934889
100k-20seg-50L,LowDisAccQ-R,42,2025,VUS-ROC,0.05,0.5,0.7580408604788875,7200.734894955531
100k-20seg-50L,LowDisAccQ-R,42,2026,VUS-ROC,0.05,0.5,0.7580408604788875,7299.673706060275
100k-20seg-50L,LowDisAccQ-R,42,2027,VUS-ROC,0.05,0.5,0.7580408604788875,7260.574058163911
100k-20seg-50L,LowDisAccQ-R,42,2025,VUS-ROC,0.05,0.6,0.8021926874533694,7277.187504107133
100k-20seg-50L,LowDisAccQ-R,42,2026,VUS-ROC,0.05,0.6,0.8021926874533694,7253.857911098748
100k-20seg-50L,LowDisAccQ-R,42,2027,VUS-ROC,0.05,0.6,0.8021926874533694,7384.844898944721
100k-20seg-50L,LowDisAccQ-R,42,2025,VUS-ROC,0.05,0.7,0.8494380813605238,7313.621532870457
100k-20seg-50L,LowDisAccQ-R,42,2026,VUS-ROC,0.05,0.7,0.8494380813605238,7344.038558192551
100k-20seg-50L,LowDisAccQ-R,42,2027,VUS-ROC,0.05,0.7,0.8494380813605238,7235.427082981914
100k-20seg-50L,LowDisAccQ-R,42,2025,VUS-ROC,0.05,0.8,0.8974473386762032,7405.279468977824
100k-20seg-50L,LowDisAccQ-R,42,2026,VUS-ROC,0.05,0.8,0.8974473386762032,7360.2127018384635
100k-20seg-50L,LowDisAccQ-R,42,2027,VUS-ROC,0.05,0.8,0.8974473386762032,7343.606305075809
100k-20seg-50L,LowDisAccQ-R,42,2025,VUS-ROC,0.05,0.9,0.950254194005891,7191.895864903927
100k-20seg-50L,LowDisAccQ-R,42,2026,VUS-ROC,0.05,0.9,0.950254194005891,8557.106303051114
100k-20seg-50L,LowDisAccQ-R,42,2027,VUS-ROC,0.05,0.9,0.950254194005891,9239.468298153952
100k-20seg-50L,LowDisAccQ-R,42,2025,VUS-ROC,0.05,1.0,0.9991766245276498,7659.377534175292
