case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,LowDisAccQ,42,2025,VUS-ROC,0.1,0.578550290538072,7588.76076200977
100k-20seg-50L,LowDisAccQ,42,2026,VUS-ROC,0.1,0.5830819498007567,7476.3521938584745
100k-20seg-50L,LowDisAccQ,42,2027,VUS-ROC,0.1,0.5752246976357018,7454.5505091082305
100k-20seg-50L,LowDisAccQ,42,2025,VUS-ROC,0.2,0.6189873132751864,7467.304643010721
100k-20seg-50L,LowDisAccQ,42,2026,VUS-ROC,0.2,0.6241656738132332,7469.767077127472
100k-20seg-50L,LowDisAccQ,42,2027,VUS-ROC,0.2,0.6124530471167624,7547.153152059764
100k-20seg-50L,LowDisAccQ,42,2025,VUS-ROC,0.3,0.6628588161092656,7545.009510824457
100k-20seg-50L,LowDisAccQ,42,2026,VUS-ROC,0.3,0.6664752249099126,7703.667037887499
100k-20seg-50L,LowDisAccQ,42,2027,VUS-ROC,0.3,0.6565120492529595,7646.989559056237
100k-20seg-50L,LowDisAccQ,42,2025,VUS-ROC,0.4,0.7112407180970872,7554.814139846712
100k-20seg-50L,LowDisAccQ,42,2026,VUS-ROC,0.4,0.7044324363271363,7298.64638694562
100k-20seg-50L,LowDisAccQ,42,2027,VUS-ROC,0.4,0.7084441933982734,6431.568752974272
100k-20seg-50L,LowDisAccQ,42,2025,VUS-ROC,0.5,0.7561962856834382,6429.748537950218
100k-20seg-50L,LowDisAccQ,42,2026,VUS-ROC,0.5,0.7452875124809549,6438.314868835732
100k-20seg-50L,LowDisAccQ,42,2027,VUS-ROC,0.5,0.7524255149400414,6687.598827993497
100k-20seg-50L,LowDisAccQ,42,2025,VUS-ROC,0.6,0.7991132015448941,6755.501919193193
100k-20seg-50L,LowDisAccQ,42,2026,VUS-ROC,0.6,0.7947584064248152,6776.278788922355
100k-20seg-50L,LowDisAccQ,42,2027,VUS-ROC,0.6,0.7977041730717083,6796.264155069366
100k-20seg-50L,LowDisAccQ,42,2025,VUS-ROC,0.7,0.851608130042806,6834.809543099254
100k-20seg-50L,LowDisAccQ,42,2026,VUS-ROC,0.7,0.84372599470645,6818.307259120047
100k-20seg-50L,LowDisAccQ,42,2027,VUS-ROC,0.7,0.8432019252226765,6802.364878123626
100k-20seg-50L,LowDisAccQ,42,2025,VUS-ROC,0.8,0.8974516266401167,6787.270236061886
100k-20seg-50L,LowDisAccQ,42,2026,VUS-ROC,0.8,0.8975383253234378,6831.714657135308
100k-20seg-50L,LowDisAccQ,42,2027,VUS-ROC,0.8,0.8940719112155525,6959.652815014124
100k-20seg-50L,LowDisAccQ,42,2025,VUS-ROC,0.9,0.9471689907379467,7207.264291122556
100k-20seg-50L,LowDisAccQ,42,2026,VUS-ROC,0.9,0.9489805425725834,8660.86357505992
100k-20seg-50L,LowDisAccQ,42,2027,VUS-ROC,0.9,0.946194851407231,8174.258477985859
100k-20seg-50L,LowDisAccQ,42,2025,VUS-ROC,1.0,0.9992096495848029,8593.803379917517
100k-20seg-50L,LowDisAccQ,42,2026,VUS-ROC,1.0,0.9992133827338385,8124.9917899258435
100k-20seg-50L,LowDisAccQ,42,2027,VUS-ROC,1.0,0.9991978430882315,6537.714006146416
100k-200seg-50L,LowDisAccQ,43,2025,VUS-ROC,0.1,0.584678099302026,36676.5451352112
100k-200seg-50L,LowDisAccQ,43,2026,VUS-ROC,0.1,0.586689107761579,36863.92541392706
100k-200seg-50L,LowDisAccQ,43,2027,VUS-ROC,0.1,0.5904724593406321,36424.87550689839
100k-200seg-50L,LowDisAccQ,43,2025,VUS-ROC,0.2,0.6284692394051713,36398.81429588422
100k-200seg-50L,LowDisAccQ,43,2026,VUS-ROC,0.2,0.630602846458577,36653.60280801542
100k-200seg-50L,LowDisAccQ,43,2027,VUS-ROC,0.2,0.6326863511400982,36904.758280841634
100k-200seg-50L,LowDisAccQ,43,2025,VUS-ROC,0.3,0.6723562010319033,36526.864925865084
100k-200seg-50L,LowDisAccQ,43,2026,VUS-ROC,0.3,0.6758395149767279,36803.95537405275
100k-200seg-50L,LowDisAccQ,43,2027,VUS-ROC,0.3,0.6760627719413823,36165.4815711081
100k-200seg-50L,LowDisAccQ,43,2025,VUS-ROC,0.4,0.7185670688681889,37246.537246974185
100k-200seg-50L,LowDisAccQ,43,2026,VUS-ROC,0.4,0.7213139369818153,36665.024240035564
100k-200seg-50L,LowDisAccQ,43,2027,VUS-ROC,0.4,0.7210072895256995,36898.94683705643
100k-200seg-50L,LowDisAccQ,43,2025,VUS-ROC,0.5,0.7650148645236821,36698.2801691629
100k-200seg-50L,LowDisAccQ,43,2026,VUS-ROC,0.5,0.7667282689873951,38561.43898400478
100k-200seg-50L,LowDisAccQ,43,2027,VUS-ROC,0.5,0.7652451985434793,39680.67753291689
100k-200seg-50L,LowDisAccQ,43,2025,VUS-ROC,0.6,0.8118488548621631,36978.292373009026
100k-200seg-50L,LowDisAccQ,43,2026,VUS-ROC,0.6,0.8130427590038386,36956.24307403341
100k-200seg-50L,LowDisAccQ,43,2027,VUS-ROC,0.6,0.8106473625875851,36801.18438205682
100k-200seg-50L,LowDisAccQ,43,2025,VUS-ROC,0.7,0.858452278482789,36947.66959315166
100k-200seg-50L,LowDisAccQ,43,2026,VUS-ROC,0.7,0.8595839158452814,36663.92776207067
100k-200seg-50L,LowDisAccQ,43,2027,VUS-ROC,0.7,0.8570223109203146,36288.4576600045
100k-200seg-50L,LowDisAccQ,43,2025,VUS-ROC,0.8,0.9046072200852538,36162.131007993594
100k-200seg-50L,LowDisAccQ,43,2026,VUS-ROC,0.8,0.907891468109288,35783.32079201937
100k-200seg-50L,LowDisAccQ,43,2027,VUS-ROC,0.8,0.9050507402674298,36882.648777915165
100k-200seg-50L,LowDisAccQ,43,2025,VUS-ROC,0.9,0.9524388770805021,37212.953687878326
100k-200seg-50L,LowDisAccQ,43,2026,VUS-ROC,0.9,0.9542656464629368,37002.79624504037
100k-200seg-50L,LowDisAccQ,43,2027,VUS-ROC,0.9,0.9526661796940646,35648.85931299068
100k-200seg-50L,LowDisAccQ,43,2025,VUS-ROC,1.0,0.9997727318610237,35111.51980818249
100k-200seg-50L,LowDisAccQ,43,2026,VUS-ROC,1.0,0.9997672737886953,34199.662810890004
100k-200seg-50L,LowDisAccQ,43,2027,VUS-ROC,1.0,0.9997840244458236,37645.11196198873
100k-20seg-50H,LowDisAccQ,44,2025,VUS-ROC,0.1,0.5250292513131549,7537.456081015989
