case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.1,0.01,0.7884192835221309,8879.113745875657
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.1,0.01,0.7884192835221309,7467.40035014227
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.1,0.01,0.7884192835221309,7412.920553935692
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.1,0.05,0.7724070862781883,7177.978137973696
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.1,0.05,0.7724070862781883,7442.733039846644
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.1,0.05,0.7724070862781883,7165.673994924873
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.1,0.1,0.7577852246149184,7341.678434982896
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.1,0.1,0.7577852246149184,7176.48954805918
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.1,0.1,0.7577852246149184,7629.01055207476
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.1,0.3,0.6985005996907439,7538.065281929448
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.1,0.3,0.6985005996907439,7656.44780988805
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.1,0.3,0.6985005996907439,7349.694899050519
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.2,0.01,0.81963057600777,7456.005895044655
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.2,0.01,0.81963057600777,7327.348673017696
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.2,0.01,0.81963057600777,7548.036409076303
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.2,0.05,0.8012298871814705,7244.338027900085
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.2,0.05,0.8012298871814705,7711.041960166767
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.2,0.05,0.8012298871814705,7380.270529771224
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.2,0.1,0.7873252286479596,7475.531120086089
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.2,0.1,0.7873252286479596,7377.665659878403
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.2,0.1,0.7873252286479596,7342.895728070289
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.2,0.3,0.7348661930839573,7294.060152024031
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.2,0.3,0.7348661930839573,7553.065154002979
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.2,0.3,0.7348661930839573,7327.294737100601
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.3,0.01,0.8458313482234121,7468.498261878267
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.3,0.01,0.8458313482234121,7285.680393921211
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.3,0.01,0.8458313482234121,7383.325377944857
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.3,0.05,0.8284931082747656,7299.355989089236
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.3,0.05,0.8284931082747656,7573.100822977722
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.3,0.05,0.8284931082747656,7257.067997939885
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.3,0.1,0.8108219490089744,7119.6059649810195
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.3,0.1,0.8108219490089744,6991.692170035094
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.3,0.1,0.8108219490089744,7225.544234039262
100k-20seg-50L,PreQ-NegP-R,42,2025,VUS-ROC,0.05,0.3,0.3,0.7641847673065074,7106.156399939209
100k-20seg-50L,PreQ-NegP-R,42,2026,VUS-ROC,0.05,0.3,0.3,0.7641847673065074,7253.559693926945
100k-20seg-50L,PreQ-NegP-R,42,2027,VUS-ROC,0.05,0.3,0.3,0.7641847673065074,7162.637306144461
