case_name,model_name,case_seed,score_seed,metric_name,q,p,val,latency
100k-20seg-50L,PreQ-NegP,42,2025,VUS-ROC,0.1,0.01,0.7800407784427865,8216.831893194467
100k-20seg-50L,PreQ-NegP,42,2026,VUS-ROC,0.1,0.01,0.7841757466027585,7374.185825930908
100k-20seg-50L,PreQ-NegP,42,2027,VUS-ROC,0.1,0.01,0.7702418129441856,7446.35731796734
100k-20seg-50L,PreQ-NegP,42,2025,VUS-ROC,0.1,0.05,0.7696371722125757,7436.678426107392
100k-20seg-50L,PreQ-NegP,42,2026,VUS-ROC,0.1,0.05,0.7702973488837317,7414.327288977802
100k-20seg-50L,PreQ-NegP,42,2027,VUS-ROC,0.1,0.05,0.7570594727318519,7384.013693081215
100k-20seg-50L,PreQ-NegP,42,2025,VUS-ROC,0.1,0.1,0.7571886699378384,7496.5481441468
100k-20seg-50L,PreQ-NegP,42,2026,VUS-ROC,0.1,0.1,0.7597284651103889,7459.038588916883
100k-20seg-50L,PreQ-NegP,42,2027,VUS-ROC,0.1,0.1,0.7444177204564889,7503.673519007862
100k-20seg-50L,PreQ-NegP,42,2025,VUS-ROC,0.1,0.3,0.7037735038348133,7550.699691986665
100k-20seg-50L,PreQ-NegP,42,2026,VUS-ROC,0.1,0.3,0.7116978234803442,7676.778788212687
100k-20seg-50L,PreQ-NegP,42,2027,VUS-ROC,0.1,0.3,0.6943738470819003,7432.807757984847
100k-20seg-50L,PreQ-NegP,42,2025,VUS-ROC,0.2,0.01,0.8089810156154892,7604.082044912502
100k-20seg-50L,PreQ-NegP,42,2026,VUS-ROC,0.2,0.01,0.8138412138542956,7658.545956015587
100k-20seg-50L,PreQ-NegP,42,2027,VUS-ROC,0.2,0.01,0.8026837856567897,7585.3000020142645
100k-20seg-50L,PreQ-NegP,42,2025,VUS-ROC,0.2,0.05,0.7962858536713899,7685.233491007239
100k-20seg-50L,PreQ-NegP,42,2026,VUS-ROC,0.2,0.05,0.8025366237917712,7598.640064010397
100k-20seg-50L,PreQ-NegP,42,2027,VUS-ROC,0.2,0.05,0.7906158877035249,7736.62014096044
100k-20seg-50L,PreQ-NegP,42,2025,VUS-ROC,0.2,0.1,0.7838092055687256,7652.406663866714
100k-20seg-50L,PreQ-NegP,42,2026,VUS-ROC,0.2,0.1,0.790559001724365,7562.426354037598
100k-20seg-50L,PreQ-NegP,42,2027,VUS-ROC,0.2,0.1,0.7757183091467027,7703.053031116724
100k-20seg-50L,PreQ-NegP,42,2025,VUS-ROC,0.2,0.3,0.734478892426878,7591.721951030195
100k-20seg-50L,PreQ-NegP,42,2026,VUS-ROC,0.2,0.3,0.7430456407420938,7595.528876874596
