case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,AccQ,42,2025,F1,0.1,0.0017003910899506887,47.733925050124526
100k-20seg-50L,AccQ,42,2025,CCE,0.1,-0.7324927581587898,57.81925795599818
100k-20seg-50L,AccQ,42,2026,F1,0.1,0.002380547525930964,47.92466713115573
100k-20seg-50L,AccQ,42,2026,CCE,0.1,-0.7473913022270358,56.82243010960519
100k-20seg-50L,AccQ,42,2027,F1,0.1,0.0013603128719605509,45.915865106508136
100k-20seg-50L,AccQ,42,2027,CCE,0.1,-0.736122125858735,55.966931860893965
100k-20seg-50L,AccQ,42,2025,F1,0.2,0.0030607039619112396,48.88831893913448
100k-20seg-50L,AccQ,42,2025,CCE,0.2,-0.5521119096730279,58.77966992557049
100k-20seg-50L,AccQ,42,2026,F1,0.2,0.0037408603978915152,46.29906383343041
100k-20seg-50L,AccQ,42,2026,CCE,0.2,-0.5671796390582795,56.53004301711917
100k-20seg-50L,AccQ,42,2027,F1,0.2,0.0037408603978915152,45.903922989964485
100k-20seg-50L,AccQ,42,2027,CCE,0.2,-0.5663299503044699,57.42204701527953
100k-20seg-50L,AccQ,42,2025,F1,0.3,0.005781329705832341,48.700411105528474
100k-20seg-50L,AccQ,42,2025,CCE,0.3,-0.37198316492206507,56.98765208944678
100k-20seg-50L,AccQ,42,2026,F1,0.3,0.004421016833871791,44.16490299627185
100k-20seg-50L,AccQ,42,2026,CCE,0.3,-0.38674432830453964,55.92315411195159
100k-20seg-50L,AccQ,42,2027,F1,0.3,0.006121407923822479,57.619052939116955
100k-20seg-50L,AccQ,42,2027,CCE,0.3,-0.37575119336565904,55.284439818933606
100k-20seg-50L,AccQ,42,2025,F1,0.4,0.009522190103723856,42.76933195069432
100k-20seg-50L,AccQ,42,2025,CCE,0.4,-0.1764429307653885,78.63800693303347
100k-20seg-50L,AccQ,42,2026,F1,0.4,0.008501955449753443,43.34870399907231
100k-20seg-50L,AccQ,42,2026,CCE,0.4,-0.20540939310194917,54.14343089796603
100k-20seg-50L,AccQ,42,2027,F1,0.4,0.009522190103723856,69.84111107885838
