case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.05,0.1,0.0,3012.9678130615503
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.05,0.1,0.0,2870.5645920708776
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.05,0.1,0.0,2992.4894960131496
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.05,0.2,0.0010573040082845894,2985.3668629657477
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.05,0.2,0.0010573040082845894,2920.1664649881423
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.05,0.2,0.0010573040082845894,3126.231577945873
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.05,0.3,0.005475724801439352,2977.392944972962
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.05,0.3,0.005475724801439352,3058.483867906034
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.05,0.3,0.005475724801439352,2991.3691750261933
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.05,0.4,0.011074091549550994,3033.731580944732
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.05,0.4,0.011074091549550994,2982.05801891163
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.05,0.4,0.011074091549550994,3036.800738889724
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.05,0.5,0.01637828857074327,3075.605404097587
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.05,0.5,0.01637828857074327,3064.02828800492
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.05,0.5,0.01637828857074327,3036.8239500094205
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.05,0.6,0.023323251653858845,2941.1428440362215
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.05,0.6,0.023323251653858845,3247.3853698465973
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.05,0.6,0.023323251653858845,2944.234508089721
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.05,0.7,0.02929571970727677,3063.893272075802
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.05,0.7,0.02929571970727677,2882.242131046951
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.05,0.7,0.02929571970727677,3035.733005963266
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.05,0.8,0.027845579730763834,3038.6139159090817
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.05,0.8,0.027845579730763834,2995.5761251039803
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.05,0.8,0.027845579730763834,2933.302900986746
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.05,0.9,0.021333445172261496,2992.7956559695303
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.05,0.9,0.021333445172261496,3084.483478916809
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.05,0.9,0.021333445172261496,2951.3346389867365
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.05,1.0,0.012758215351552176,2995.922229019925
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.05,1.0,0.012758215351552176,2797.6972879841924
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.05,1.0,0.012758215351552176,2962.281556101516
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.1,0.1,0.0,3784.9314759951085
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.1,0.1,0.0,3603.4146728925407
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.1,0.1,0.0,3517.1323108952492
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.1,0.2,0.002725749990538246,3617.0784800779074
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.1,0.2,0.002725749990538246,3862.358066951856
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.1,0.2,0.002725749990538246,3739.6616630721837
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.1,0.3,0.005357118140297899,2928.0081598553807
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.1,0.3,0.005357118140297899,3509.584405925125
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.1,0.3,0.005357118140297899,3166.8858400080353
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.1,0.4,0.01090113094455384,3079.811924835667
100k-20seg-50L,AccQ-R,42,2026,eTaPR,0.1,0.4,0.01090113094455384,2881.2198678497225
100k-20seg-50L,AccQ-R,42,2027,eTaPR,0.1,0.4,0.01090113094455384,3063.9218140859157
100k-20seg-50L,AccQ-R,42,2025,eTaPR,0.1,0.5,0.017205213313389128,3094.8695989791304
