case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,AccQ,42,2025,eTaPR,0.1,0.0,995.1650341972709
100k-20seg-50L,AccQ,42,2026,eTaPR,0.1,0.0,914.862577104941
100k-20seg-50L,AccQ,42,2027,eTaPR,0.1,0.0,900.5964261014014
100k-20seg-50L,AccQ,42,2025,eTaPR,0.2,0.0,912.1344888117164
100k-20seg-50L,AccQ,42,2026,eTaPR,0.2,0.0,906.8125779740512
100k-20seg-50L,AccQ,42,2027,eTaPR,0.2,0.0,910.3254959918559
100k-20seg-50L,AccQ,42,2025,eTaPR,0.3,0.0,905.6301370728761
100k-20seg-50L,AccQ,42,2026,eTaPR,0.3,0.0,1011.5503119304776
100k-20seg-50L,AccQ,42,2027,eTaPR,0.3,0.0,901.9655659794807
100k-20seg-50L,AccQ,42,2025,eTaPR,0.4,0.0,903.6142840050161
100k-20seg-50L,AccQ,42,2026,eTaPR,0.4,0.0,901.1058348696679
100k-20seg-50L,AccQ,42,2027,eTaPR,0.4,0.0,903.1567331403494
100k-20seg-50L,AccQ,42,2025,eTaPR,0.5,0.003374805314998855,906.1455139890313
100k-20seg-50L,AccQ,42,2026,eTaPR,0.5,0.007706907954270948,910.2459889836609
100k-20seg-50L,AccQ,42,2027,eTaPR,0.5,0.0035963541499274532,1012.2592709958553
100k-20seg-50L,AccQ,42,2025,eTaPR,0.6,0.013449298815561122,912.4630219303071
100k-20seg-50L,AccQ,42,2026,eTaPR,0.6,0.017193347090335567,905.0641199573874
100k-20seg-50L,AccQ,42,2027,eTaPR,0.6,0.009865408355464638,913.8266171794385
100k-20seg-50L,AccQ,42,2025,eTaPR,0.7,0.028022424879722483,904.9307978712022
100k-20seg-50L,AccQ,42,2026,eTaPR,0.7,0.028772970219810123,912.1023430489004
100k-20seg-50L,AccQ,42,2027,eTaPR,0.7,0.024569856881594344,910.6856919825077
100k-20seg-50L,AccQ,42,2025,eTaPR,0.8,0.05641324218598051,907.0590920746326
100k-20seg-50L,AccQ,42,2026,eTaPR,0.8,0.05976593953702823,1003.672372084111
100k-20seg-50L,AccQ,42,2027,eTaPR,0.8,0.053687742372231805,910.5169959366322
100k-20seg-50L,AccQ,42,2025,eTaPR,0.9,0.10678824250953876,891.2006681784987
100k-20seg-50L,AccQ,42,2026,eTaPR,0.9,0.10479209653097338,892.1951178926975
100k-20seg-50L,AccQ,42,2027,eTaPR,0.9,0.10124905299796977,894.0747519955039
100k-20seg-50L,AccQ,42,2025,eTaPR,1.0,0.06176433327974555,815.9750178456306
100k-20seg-50L,AccQ,42,2026,eTaPR,1.0,0.06195804267068282,808.9091470465064
100k-20seg-50L,AccQ,42,2027,eTaPR,1.0,0.06198375224424113,814.9301011580974
