case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,val,latency
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.05,0.1,0.0,1035.2803089190274
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.05,0.1,0.0,945.602121995762
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.05,0.1,0.0,946.3656418956816
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.05,0.2,0.0,950.6455659866333
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.05,0.2,0.0,956.9213949143887
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.05,0.2,0.0,951.6399230342358
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.05,0.3,0.0,946.4221179950982
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.05,0.3,0.0,1050.553475972265
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.05,0.3,0.0,954.8911140300333
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.05,0.4,0.0,951.0499208699912
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.05,0.4,0.0,945.9667298942804
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.05,0.4,0.0,945.4856221564114
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.05,0.5,0.0027409576978415463,954.4520399067551
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.05,0.5,0.0027409576978415463,948.4710399992764
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.05,0.5,0.0027409576978415463,950.1201829407364
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.05,0.6,0.008640672524731942,1056.0812440235168
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.05,0.6,0.008640672524731942,955.5163311306387
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.05,0.6,0.008640672524731942,945.1146139763296
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.05,0.7,0.02249494028148258,946.1105410009623
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.05,0.7,0.02249494028148258,945.2580988872796
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.05,0.7,0.02249494028148258,950.0991660170257
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.05,0.8,0.054885946542549004,949.6113520581275
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.05,0.8,0.054885946542549004,1061.4565981086344
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.05,0.8,0.054885946542549004,955.3894298151135
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.05,0.9,0.10291235522512705,932.8258510213345
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.05,0.9,0.10291235522512705,934.9779391195625
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.05,0.9,0.10291235522512705,936.647268012166
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.05,1.0,0.061964024117216056,848.049103980884
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.05,1.0,0.061964024117216056,845.7972800824791
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.05,1.0,0.061964024117216056,849.9856491107494
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.1,0.1,0.0,1058.0917890183628
100k-20seg-50L,LowDisAccQ-R,42,2026,eTaPR,0.1,0.1,0.0,945.8778528496623
100k-20seg-50L,LowDisAccQ-R,42,2027,eTaPR,0.1,0.1,0.0,960.0905689876527
100k-20seg-50L,LowDisAccQ-R,42,2025,eTaPR,0.1,0.2,0.0,953.090880997479
