case_name,model_name,case_seed,score_seed,metric_name,q,val,latency
100k-20seg-50L,LowDisAccQ,42,2025,eTaPR,0.1,0.0,987.6309880055487
100k-20seg-50L,LowDisAccQ,42,2026,eTaPR,0.1,0.0,902.6133178267628
100k-20seg-50L,LowDisAccQ,42,2027,eTaPR,0.1,0.0,902.5608659721911
100k-20seg-50L,LowDisAccQ,42,2025,eTaPR,0.2,0.0,899.6771120000631
100k-20seg-50L,LowDisAccQ,42,2026,eTaPR,0.2,0.0,895.1023379340768
100k-20seg-50L,LowDisAccQ,42,2027,eTaPR,0.2,0.0,894.6695439517498
100k-20seg-50L,LowDisAccQ,42,2025,eTaPR,0.3,0.0,899.1193480324
100k-20seg-50L,LowDisAccQ,42,2026,eTaPR,0.3,0.0,1006.5189481247216
100k-20seg-50L,LowDisAccQ,42,2027,eTaPR,0.3,0.0,891.9231488835067
100k-20seg-50L,LowDisAccQ,42,2025,eTaPR,0.4,0.0,899.9633190687746
100k-20seg-50L,LowDisAccQ,42,2026,eTaPR,0.4,0.0,895.8010610658675
100k-20seg-50L,LowDisAccQ,42,2027,eTaPR,0.4,0.0,894.6769030299038
100k-20seg-50L,LowDisAccQ,42,2025,eTaPR,0.5,0.003374805314998855,899.1077940445393
100k-20seg-50L,LowDisAccQ,42,2026,eTaPR,0.5,0.007706907954270948,905.1588210277259
100k-20seg-50L,LowDisAccQ,42,2027,eTaPR,0.5,0.0035963541499274532,1011.3273239694536
100k-20seg-50L,LowDisAccQ,42,2025,eTaPR,0.6,0.013449298815561122,901.7492679413408
100k-20seg-50L,LowDisAccQ,42,2026,eTaPR,0.6,0.017193347090335567,901.0048750787973
100k-20seg-50L,LowDisAccQ,42,2027,eTaPR,0.6,0.009865408355464638,899.1730541456491
100k-20seg-50L,LowDisAccQ,42,2025,eTaPR,0.7,0.028022424879722483,889.5101090893149
100k-20seg-50L,LowDisAccQ,42,2026,eTaPR,0.7,0.028772970219810123,900.7414819207042
100k-20seg-50L,LowDisAccQ,42,2027,eTaPR,0.7,0.024569856881594344,905.6932390667498
100k-20seg-50L,LowDisAccQ,42,2025,eTaPR,0.8,0.05641324218598051,900.146669941023
100k-20seg-50L,LowDisAccQ,42,2026,eTaPR,0.8,0.05976593953702823,1006.7494169343263
100k-20seg-50L,LowDisAccQ,42,2027,eTaPR,0.8,0.053687742372231805,909.3692190945148
100k-20seg-50L,LowDisAccQ,42,2025,eTaPR,0.9,0.10678824250953876,893.4880162123591
100k-20seg-50L,LowDisAccQ,42,2026,eTaPR,0.9,0.10479209653097338,881.4525930210948
100k-20seg-50L,LowDisAccQ,42,2027,eTaPR,0.9,0.10124905299796977,883.1083609256893
100k-20seg-50L,LowDisAccQ,42,2025,eTaPR,1.0,0.06176433327974555,812.665315810591
100k-20seg-50L,LowDisAccQ,42,2026,eTaPR,1.0,0.06195804267068282,803.3906591590494
100k-20seg-50L,LowDisAccQ,42,2027,eTaPR,1.0,0.06198375224424113,809.5949050039053
100k-200seg-50L,LowDisAccQ,43,2025,eTaPR,0.1,0.0,5310.213807038963
100k-200seg-50L,LowDisAccQ,43,2026,eTaPR,0.1,0.0,5185.13637711294
100k-200seg-50L,LowDisAccQ,43,2027,eTaPR,0.1,0.0,5202.316659037024
100k-200seg-50L,LowDisAccQ,43,2025,eTaPR,0.2,0.0,5203.659330029041
100k-200seg-50L,LowDisAccQ,43,2026,eTaPR,0.2,0.0,5194.01208893396
100k-200seg-50L,LowDisAccQ,43,2027,eTaPR,0.2,0.0,5197.49803096056
100k-200seg-50L,LowDisAccQ,43,2025,eTaPR,0.3,0.0,5190.2329828590155
100k-200seg-50L,LowDisAccQ,43,2026,eTaPR,0.3,0.0012988188261429533,5306.714887032285
100k-200seg-50L,LowDisAccQ,43,2027,eTaPR,0.3,0.0,5196.340900845826
100k-200seg-50L,LowDisAccQ,43,2025,eTaPR,0.4,0.006990882582039714,5209.274608176202
100k-200seg-50L,LowDisAccQ,43,2026,eTaPR,0.4,0.006329285139625333,5212.378791067749
100k-200seg-50L,LowDisAccQ,43,2027,eTaPR,0.4,0.006324104699687655,5209.546905942261
100k-200seg-50L,LowDisAccQ,43,2025,eTaPR,0.5,0.02231569880519539,5219.309909967706
100k-200seg-50L,LowDisAccQ,43,2026,eTaPR,0.5,0.031234438653264394,5215.6756080221385
100k-200seg-50L,LowDisAccQ,43,2027,eTaPR,0.5,0.02707068349340459,5290.524675976485
100k-200seg-50L,LowDisAccQ,43,2025,eTaPR,0.6,0.07167492881328223,5215.2116019278765
100k-200seg-50L,LowDisAccQ,43,2026,eTaPR,0.6,0.09271373701182913,5247.968052979559
100k-200seg-50L,LowDisAccQ,43,2027,eTaPR,0.6,0.08218653951939531,5229.399669915438
100k-200seg-50L,LowDisAccQ,43,2025,eTaPR,0.7,0.1788424398916492,5198.58189788647
100k-200seg-50L,LowDisAccQ,43,2026,eTaPR,0.7,0.2002580389350256,5185.022438876331
100k-200seg-50L,LowDisAccQ,43,2027,eTaPR,0.7,0.1766983375376179,5234.064304968342
100k-200seg-50L,LowDisAccQ,43,2025,eTaPR,0.8,0.32435540548133107,5216.374499024823
100k-200seg-50L,LowDisAccQ,43,2026,eTaPR,0.8,0.3464463204475572,5057.258426910266
100k-200seg-50L,LowDisAccQ,43,2027,eTaPR,0.8,0.32254042215482676,5102.000968065113
100k-200seg-50L,LowDisAccQ,43,2025,eTaPR,0.9,0.4944754224495996,4800.476691918448
100k-200seg-50L,LowDisAccQ,43,2026,eTaPR,0.9,0.5045469917620862,4740.754264174029
100k-200seg-50L,LowDisAccQ,43,2027,eTaPR,0.9,0.49015434041458195,4791.459221160039
100k-200seg-50L,LowDisAccQ,43,2025,eTaPR,1.0,0.8916667890955438,2402.7090661693364
100k-200seg-50L,LowDisAccQ,43,2026,eTaPR,1.0,0.891376573686809,2454.7027449589223
100k-200seg-50L,LowDisAccQ,43,2027,eTaPR,1.0,0.8908339812609167,2431.3236938323826
100k-20seg-50H,LowDisAccQ,44,2025,eTaPR,0.1,0.0,963.2027288898826
100k-20seg-50H,LowDisAccQ,44,2026,eTaPR,0.1,0.0,875.5931279156357
100k-20seg-50H,LowDisAccQ,44,2027,eTaPR,0.1,0.0,869.1607101354748
100k-20seg-50H,LowDisAccQ,44,2025,eTaPR,0.2,0.0,874.7599089983851
100k-20seg-50H,LowDisAccQ,44,2026,eTaPR,0.2,0.0004102816777575979,868.0238551460207
100k-20seg-50H,LowDisAccQ,44,2027,eTaPR,0.2,0.0,873.4898108523339
100k-20seg-50H,LowDisAccQ,44,2025,eTaPR,0.3,0.0,868.2890250347555
100k-20seg-50H,LowDisAccQ,44,2026,eTaPR,0.3,0.0004102985352204416,939.8721000179648
100k-20seg-50H,LowDisAccQ,44,2027,eTaPR,0.3,0.0,871.3568809907883
100k-20seg-50H,LowDisAccQ,44,2025,eTaPR,0.4,0.0,881.3404238317162
100k-20seg-50H,LowDisAccQ,44,2026,eTaPR,0.4,0.0004102657413944527,874.8307898640633
100k-20seg-50H,LowDisAccQ,44,2027,eTaPR,0.4,0.0004094500479523095,871.3992401026189
100k-20seg-50H,LowDisAccQ,44,2025,eTaPR,0.5,0.0,869.2059209570289
100k-20seg-50H,LowDisAccQ,44,2026,eTaPR,0.5,0.0008176873386482905,877.3825180251151
100k-20seg-50H,LowDisAccQ,44,2027,eTaPR,0.5,0.002823967206548351,872.8089758660644
100k-20seg-50H,LowDisAccQ,44,2025,eTaPR,0.6,0.012162305795051875,942.0941919088364
100k-20seg-50H,LowDisAccQ,44,2026,eTaPR,0.6,0.004427244323102762,876.3008320238441
100k-20seg-50H,LowDisAccQ,44,2027,eTaPR,0.6,0.004973255751438005,875.3753048367798
100k-20seg-50H,LowDisAccQ,44,2025,eTaPR,0.7,0.026420514988253437,868.4501179959625
100k-20seg-50H,LowDisAccQ,44,2026,eTaPR,0.7,0.035192451215141946,875.5651949904859
100k-20seg-50H,LowDisAccQ,44,2027,eTaPR,0.7,0.025332532006075225,870.3427931759506
100k-20seg-50H,LowDisAccQ,44,2025,eTaPR,0.8,0.0673795438718397,875.8793838787824
100k-20seg-50H,LowDisAccQ,44,2026,eTaPR,0.8,0.07019895334381698,937.6996650826186
100k-20seg-50H,LowDisAccQ,44,2027,eTaPR,0.8,0.06635850681945234,866.5958689525723
100k-20seg-50H,LowDisAccQ,44,2025,eTaPR,0.9,0.12408568300370192,864.9320090189576
100k-20seg-50H,LowDisAccQ,44,2026,eTaPR,0.9,0.12316926583182983,857.4635309632868
100k-20seg-50H,LowDisAccQ,44,2027,eTaPR,0.9,0.12377212958723013,859.9722478538752
100k-20seg-50H,LowDisAccQ,44,2025,eTaPR,1.0,0.0645509777126955,772.752485005185
100k-20seg-50H,LowDisAccQ,44,2026,eTaPR,1.0,0.06471599684218503,765.1028849650174
100k-20seg-50H,LowDisAccQ,44,2027,eTaPR,1.0,0.0648202055701967,766.2116070277989
100k-200seg-50H,LowDisAccQ,45,2025,eTaPR,0.1,0.0,5265.593389049172
100k-200seg-50H,LowDisAccQ,45,2026,eTaPR,0.1,0.0,5148.404193110764
100k-200seg-50H,LowDisAccQ,45,2027,eTaPR,0.1,0.0,5173.2314471155405
100k-200seg-50H,LowDisAccQ,45,2025,eTaPR,0.2,0.0,5197.094043018296
100k-200seg-50H,LowDisAccQ,45,2026,eTaPR,0.2,0.0011272589437614853,5201.32494205609
100k-200seg-50H,LowDisAccQ,45,2027,eTaPR,0.2,0.0,5182.67450388521
100k-200seg-50H,LowDisAccQ,45,2025,eTaPR,0.3,0.0023157411455860606,5177.150862989947
100k-200seg-50H,LowDisAccQ,45,2026,eTaPR,0.3,0.002256895902605016,5258.057307917625
100k-200seg-50H,LowDisAccQ,45,2027,eTaPR,0.3,0.0017670179823764444,5223.563807085156
100k-200seg-50H,LowDisAccQ,45,2025,eTaPR,0.4,0.009227489436776981,5193.640971090645
100k-200seg-50H,LowDisAccQ,45,2026,eTaPR,0.4,0.006294025212627335,5185.0716709159315
100k-200seg-50H,LowDisAccQ,45,2027,eTaPR,0.4,0.005295431254160197,5205.468032043427
100k-200seg-50H,LowDisAccQ,45,2025,eTaPR,0.5,0.020064453659000874,5226.090587908402
100k-200seg-50H,LowDisAccQ,45,2026,eTaPR,0.5,0.02018845293099265,5200.406323187053
100k-200seg-50H,LowDisAccQ,45,2027,eTaPR,0.5,0.019882807757123207,5264.86176205799
100k-200seg-50H,LowDisAccQ,45,2025,eTaPR,0.6,0.06594304543557278,5193.781005917117
100k-200seg-50H,LowDisAccQ,45,2026,eTaPR,0.6,0.07543259059200044,5281.365394126624
100k-200seg-50H,LowDisAccQ,45,2027,eTaPR,0.6,0.06251851145263468,5247.80201097019
100k-200seg-50H,LowDisAccQ,45,2025,eTaPR,0.7,0.17747766922968675,5173.073832178488
100k-200seg-50H,LowDisAccQ,45,2026,eTaPR,0.7,0.20420420621766824,5180.449462030083
100k-200seg-50H,LowDisAccQ,45,2027,eTaPR,0.7,0.16695924547274216,5204.791666008532
100k-200seg-50H,LowDisAccQ,45,2025,eTaPR,0.8,0.33573597371823244,5142.434919951484
100k-200seg-50H,LowDisAccQ,45,2026,eTaPR,0.8,0.36242319439476667,5086.333755869418
100k-200seg-50H,LowDisAccQ,45,2027,eTaPR,0.8,0.3180568478957632,5128.4881378524005
100k-200seg-50H,LowDisAccQ,45,2025,eTaPR,0.9,0.5155191916723464,4802.326880861074
100k-200seg-50H,LowDisAccQ,45,2026,eTaPR,0.9,0.5264133782037675,4754.351519048214
100k-200seg-50H,LowDisAccQ,45,2027,eTaPR,0.9,0.5073724962558422,4835.881697013974
100k-200seg-50H,LowDisAccQ,45,2025,eTaPR,1.0,0.867996528845201,2751.0461860802025
100k-200seg-50H,LowDisAccQ,45,2026,eTaPR,1.0,0.8695400957129003,2784.596787998453
100k-200seg-50H,LowDisAccQ,45,2027,eTaPR,1.0,0.8698876406600808,2776.038305135444
100k-50seg-20L,LowDisAccQ,46,2025,eTaPR,0.1,0.0009727279768540714,1751.0794361587614
100k-50seg-20L,LowDisAccQ,46,2026,eTaPR,0.1,0.0,1663.6744448915124
100k-50seg-20L,LowDisAccQ,46,2027,eTaPR,0.1,0.00040558158148602124,1665.1442828588188
100k-50seg-20L,LowDisAccQ,46,2025,eTaPR,0.2,0.0009738189976298858,1676.4908048789948
100k-50seg-20L,LowDisAccQ,46,2026,eTaPR,0.2,0.0,1667.9585832171142
100k-50seg-20L,LowDisAccQ,46,2027,eTaPR,0.2,0.0004046366631378672,1676.4284300152212
100k-50seg-20L,LowDisAccQ,46,2025,eTaPR,0.3,0.00218069889355286,1665.27543310076
100k-50seg-20L,LowDisAccQ,46,2026,eTaPR,0.3,0.0008107380332889464,1752.3663020692766
100k-50seg-20L,LowDisAccQ,46,2027,eTaPR,0.3,0.0020181909876573973,1670.6529471557587
100k-50seg-20L,LowDisAccQ,46,2025,eTaPR,0.4,0.00655211871971194,1671.784033998847
100k-50seg-20L,LowDisAccQ,46,2026,eTaPR,0.4,0.0032235682714987753,1674.9578630551696
100k-50seg-20L,LowDisAccQ,46,2027,eTaPR,0.4,0.004016772436109621,1670.6585760693997
100k-50seg-20L,LowDisAccQ,46,2025,eTaPR,0.5,0.010123023783853801,1665.0369549170136
100k-50seg-20L,LowDisAccQ,46,2026,eTaPR,0.5,0.008371065154390397,1684.0389841236174
100k-50seg-20L,LowDisAccQ,46,2027,eTaPR,0.5,0.007382155085211612,1747.9862768668681
100k-50seg-20L,LowDisAccQ,46,2025,eTaPR,0.6,0.01825219640885606,1680.6449049618095
100k-50seg-20L,LowDisAccQ,46,2026,eTaPR,0.6,0.014244774816423205,1683.5898749995977
100k-50seg-20L,LowDisAccQ,46,2027,eTaPR,0.6,0.01873545097980503,1674.4280520360917
100k-50seg-20L,LowDisAccQ,46,2025,eTaPR,0.7,0.03391573859005162,1679.117863997817
100k-50seg-20L,LowDisAccQ,46,2026,eTaPR,0.7,0.0330375510168367,1662.0334349572659
