case_name,model_name,case_seed,score_seed,metric_name,noise_std,q,p,val,latency
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.1,0.01,0.04146510277966998,1039.5298008807003
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.1,0.01,0.04146510277966998,950.3785020206124
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.1,0.01,0.04146510277966998,951.0570319835097
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.1,0.05,0.02697207740171051,958.2729388494045
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.1,0.05,0.02697207740171051,955.6525100488216
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.1,0.05,0.02697207740171051,958.8552368804812
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.1,0.1,0.00998447136476921,955.7082650717348
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.1,0.1,0.00998447136476921,1066.3887241389602
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.1,0.1,0.00998447136476921,954.8829859122634
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.1,0.3,0.0,955.3064669016749
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.1,0.3,0.0,965.410629985854
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.1,0.3,0.0,951.3618748169392
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.2,0.01,0.0654771435298275,945.8551979623735
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.2,0.01,0.0654771435298275,948.3338471036404
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.2,0.01,0.0654771435298275,1062.2850467916578
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.2,0.05,0.059860257005937376,950.5208409391344
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.2,0.05,0.059860257005937376,941.1451928317547
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.2,0.05,0.059860257005937376,948.584052035585
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.2,0.1,0.04202683693228539,958.751515019685
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.2,0.1,0.04202683693228539,954.7014420386404
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.2,0.1,0.04202683693228539,951.4206629246473
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.2,0.3,0.007704680559904794,1057.3910060338676
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.2,0.3,0.007704680559904794,954.0710540022701
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.2,0.3,0.007704680559904794,951.3596589677036
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.3,0.01,0.0876373885095885,942.4719060771167
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.3,0.01,0.0876373885095885,950.5529429297894
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.3,0.01,0.0876373885095885,941.277276026085
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.3,0.05,0.08298310297431441,946.2017379701138
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.3,0.05,0.08298310297431441,942.9799888748676
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.3,0.05,0.08298310297431441,1035.0385920610279
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.3,0.1,0.0637553915315227,945.5434889532626
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.3,0.1,0.0637553915315227,950.1121488865465
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.3,0.1,0.0637553915315227,947.6848631165922
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.3,0.3,0.011090197113076126,950.9806188289076
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.3,0.3,0.011090197113076126,954.1644109413028
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.3,0.3,0.011090197113076126,949.8218910302967
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.4,0.01,0.10578677384147951,1014.098732965067
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.4,0.01,0.10578677384147951,936.3803551532328
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.4,0.01,0.10578677384147951,941.1460019182414
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.4,0.05,0.10204922000297868,938.7824621517211
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.4,0.05,0.10204922000297868,937.9922419320792
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.4,0.05,0.10204922000297868,942.5144731067121
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.4,0.1,0.08030150090185749,947.3537360318005
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.4,0.1,0.08030150090185749,1013.8196130283177
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.4,0.1,0.08030150090185749,946.5917539782822
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.4,0.3,0.01845126887809146,954.5068708248436
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.4,0.3,0.01845126887809146,957.9820078797638
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.4,0.3,0.01845126887809146,948.1015328783542
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.5,0.01,0.11899693106242352,937.6234468072653
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.5,0.01,0.11899693106242352,932.3869629297405
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.5,0.01,0.11899693106242352,929.9609567970037
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.5,0.05,0.1162271370264486,1001.5763910487294
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.5,0.05,0.1162271370264486,927.7514959685504
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.5,0.05,0.1162271370264486,933.8918181601912
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.5,0.1,0.09295858875199262,948.4088071621954
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.5,0.1,0.09295858875199262,952.6128680445254
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.5,0.1,0.09295858875199262,951.3966860249639
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.5,0.3,0.036469843737859386,951.6039630398154
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.5,0.3,0.036469843737859386,951.3747720047832
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.5,0.3,0.036469843737859386,1020.5524198245257
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.6,0.01,0.12911723550977205,918.447928968817
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.6,0.01,0.12911723550977205,916.5681679733098
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.6,0.01,0.12911723550977205,915.1889618951827
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.6,0.05,0.12764676068967748,927.4563200306147
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.6,0.05,0.12764676068967748,926.2397340498865
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.6,0.05,0.12764676068967748,923.2282959856093
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.6,0.1,0.10617726773185404,945.9523339755833
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.6,0.1,0.10617726773185404,1023.4516928903759
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.6,0.1,0.10617726773185404,936.4963499829173
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.6,0.3,0.044073753993666115,948.4155171085149
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.6,0.3,0.044073753993666115,957.6612180098891
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.6,0.3,0.044073753993666115,958.9709369465709
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.7,0.01,0.130436313088168,911.7123519536108
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.7,0.01,0.130436313088168,905.2956439554691
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.7,0.01,0.130436313088168,996.6901841107756
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.7,0.05,0.12958671360503723,908.7639078497887
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.7,0.05,0.12958671360503723,919.6512470953166
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.7,0.05,0.12958671360503723,912.6152000389993
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.7,0.1,0.12001138585729779,934.1144030913711
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.7,0.1,0.12001138585729779,944.8270269203931
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.7,0.1,0.12001138585729779,943.7944749370217
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.7,0.3,0.05281707232728311,951.1389690451324
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.7,0.3,0.05281707232728311,1020.7492201589048
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.7,0.3,0.05281707232728311,947.3191180732101
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.8,0.01,0.12804302163304934,896.0552690550685
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.8,0.01,0.12804302163304934,897.1604399848729
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.8,0.01,0.12804302163304934,887.7053521573544
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.8,0.05,0.1292159669493551,889.1124790534377
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.8,0.05,0.1292159669493551,895.6203979905695
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.8,0.05,0.1292159669493551,901.4167480636388
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.8,0.1,0.12510737890243104,994.2097149323672
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.8,0.1,0.12510737890243104,930.2556409966201
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.8,0.1,0.12510737890243104,929.4747679959983
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.8,0.3,0.05529092288898552,951.1304530315101
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.8,0.3,0.05529092288898552,962.6417991239578
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.8,0.3,0.05529092288898552,954.6248149126768
100k-20seg-50L,PreQ-NegP-R,42,2025,eTaPR,0.05,0.9,0.01,0.10960226853980974,873.8212010357529
100k-20seg-50L,PreQ-NegP-R,42,2026,eTaPR,0.05,0.9,0.01,0.10960226853980974,876.7522620037198
100k-20seg-50L,PreQ-NegP-R,42,2027,eTaPR,0.05,0.9,0.01,0.10960226853980974,941.0126789007336
