case_name,model_name,case_seed,score_seed,metric_name,q,p,val,latency
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.1,0.01,0.03572550966635393,990.3510268777609
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.1,0.01,0.04268915491324914,906.4310889225453
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.1,0.01,0.03572645312730889,914.3622310366482
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.1,0.05,0.026172138267361835,906.897442182526
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.1,0.05,0.023089150977133776,900.9816600009799
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.1,0.05,0.0239759926546344,904.0678839664906
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.1,0.1,0.010807844965613284,899.0926290862262
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.1,0.1,0.010022151431600082,998.4545418992639
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.1,0.1,0.01534935161410564,905.5808598641306
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.1,0.3,0.0,900.9120638947934
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.1,0.3,0.0,904.0857490617782
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.1,0.3,0.0,902.7545191347599
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.2,0.01,0.06906860083763984,904.3712350539863
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.2,0.01,0.0683332724235224,895.2636071480811
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.2,0.01,0.06617014731593758,912.575471913442
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.2,0.05,0.060537974358000964,1026.429058983922
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.2,0.05,0.05910696073955802,904.393631964922
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.2,0.05,0.059687086735031154,901.4201480895281
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.2,0.1,0.04571586993206167,903.5559608601034
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.2,0.1,0.04569415750484361,914.3843420315534
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.2,0.1,0.04322322424934059,905.0862439908087
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.2,0.3,0.0,918.4642580803484
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.2,0.3,0.001599422397091761,998.8886860664934
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.2,0.3,0.003221826120272133,908.1909579690546
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.3,0.01,0.08749382773841334,898.0836269911379
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.3,0.01,0.09030372580750944,899.558356963098
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.3,0.01,0.08804823485187985,895.5660969950259
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.3,0.05,0.08245513098108075,896.7382400296628
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.3,0.05,0.08274075024759624,904.0293789003044
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.3,0.05,0.08570091325491348,974.1388480179012
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.3,0.1,0.0658840693784291,904.1898590512574
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.3,0.1,0.06396475800224609,900.1892791129649
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.3,0.1,0.06606556334658584,900.3328171093017
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.3,0.3,0.0159471332671378,901.1911649722606
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.3,0.3,0.008316905348417817,904.1115569416434
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.3,0.3,0.012032491508148432,907.7758900821209
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.4,0.01,0.10476526734107072,891.7392990551889
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.4,0.01,0.10758447621899588,956.3903899397701
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.4,0.01,0.10790476862809757,898.802338866517
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.4,0.05,0.10061195833049559,892.1127230860293
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.4,0.05,0.10190084537539014,893.9700990449637
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.4,0.05,0.1057684996984043,894.6436918340623
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.4,0.1,0.0824233763045041,903.1796681229025
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.4,0.1,0.07991642285376772,903.6685260944068
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.4,0.1,0.08368865774860938,962.7051129937172
100k-20seg-50L,PreQ-NegP,42,2025,eTaPR,0.4,0.3,0.025157019887991957,906.5807990264148
100k-20seg-50L,PreQ-NegP,42,2026,eTaPR,0.4,0.3,0.020051315188457194,907.2387281339616
100k-20seg-50L,PreQ-NegP,42,2027,eTaPR,0.4,0.3,0.016946331432836723,902.9713340569288
